GloveManager recording started on 11/02/16 at 16:05:07

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.018021,0.018021,1164,1927,1354,2377,3560,2856,2600,3319,3034,2053,3500,3089,2362,2815,,0.252071,0.129082,0.304392,0.761733,0.982235,0.874092,0.711942,0.966195,0.742890,0.883186,0.972739,0.835012,0.973238,0.688540
0.018000,0.036022,1165,1927,1355,2377,3559,2857,2599,3320,3033,2052,3499,3089,2362,2814,,0.253254,0.129082,0.305414,0.761733,0.981495,0.874697,0.711030,0.966981,0.741752,0.882301,0.971499,0.835012,0.973238,0.687616
0.017997,0.054019,1164,1928,1354,2375,3560,2857,2597,3320,3034,2051,3500,3089,2362,2814,,0.252071,0.129860,0.304392,0.759326,0.982235,0.874697,0.709207,0.966981,0.742890,0.881416,0.972739,0.835012,0.973238,0.687616
0.018003,0.072022,1164,1929,1353,2375,3560,2856,2596,3320,3033,2049,3500,3089,2362,2815,,0.252071,0.130638,0.303371,0.759326,0.982235,0.874092,0.708295,0.966981,0.741752,0.879646,0.972739,0.835012,0.973238,0.688540
0.018001,0.090023,1163,1931,1352,2375,3560,2856,2594,3321,3033,2049,3500,3089,2362,2814,,0.250888,0.132193,0.302349,0.759326,0.982235,0.874092,0.706472,0.967767,0.741752,0.879646,0.972739,0.835012,0.973238,0.687616
0.017998,0.108022,1163,1931,1353,2375,3559,2857,2593,3321,3033,2048,3500,3090,2363,2814,,0.250888,0.132193,0.303371,0.759326,0.981495,0.874697,0.705561,0.967767,0.741752,0.878761,0.972739,0.835786,0.974130,0.687616
0.018005,0.126027,1163,1933,1353,2376,3559,2856,2593,3320,3033,2048,3499,3089,2362,2814,,0.250888,0.133748,0.303371,0.760529,0.981495,0.874092,0.705561,0.966981,0.741752,0.878761,0.971499,0.835012,0.973238,0.687616
0.018000,0.144026,1163,1933,1353,2376,3559,2856,2593,3320,3033,2048,3499,3089,2362,2814,,0.250888,0.133748,0.303371,0.760529,0.981495,0.874092,0.705561,0.966981,0.741752,0.878761,0.971499,0.835012,0.973238,0.687616
0.018001,0.162028,1162,1934,1352,2375,3559,2858,2593,3321,3033,2048,3499,3090,2363,2815,,0.249704,0.134526,0.302349,0.759326,0.981495,0.875303,0.705561,0.967767,0.741752,0.878761,0.971499,0.835786,0.974130,0.688540
0.018001,0.180029,1161,1934,1351,2375,3558,2857,2592,3320,3033,2048,3500,3089,2363,2814,,0.248521,0.134526,0.301328,0.759326,0.980755,0.874697,0.704649,0.966981,0.741752,0.878761,0.972739,0.835012,0.974130,0.687616
0.018007,0.198037,1161,1934,1351,2374,3559,2857,2591,3322,3033,2048,3500,3090,2363,2814,,0.248521,0.134526,0.301328,0.758123,0.981495,0.874697,0.703737,0.968553,0.741752,0.878761,0.972739,0.835786,0.974130,0.687616
0.017992,0.216029,1160,1934,1351,2374,3559,2857,2591,3321,3034,2048,3500,3090,2363,2815,,0.247337,0.134526,0.301328,0.758123,0.981495,0.874697,0.703737,0.967767,0.742890,0.878761,0.972739,0.835786,0.974130,0.688540
0.017982,0.234011,1160,1933,1351,2375,3560,2856,2591,3322,3034,2047,3501,3089,2363,2814,,0.247337,0.133748,0.301328,0.759326,0.982235,0.874092,0.703737,0.968553,0.742890,0.877876,0.973978,0.835012,0.974130,0.687616
0.018022,0.252033,1160,1932,1351,2374,3559,2856,2591,3323,3034,2048,3502,3090,2363,2814,,0.247337,0.132970,0.301328,0.758123,0.981495,0.874092,0.703737,0.969340,0.742890,0.878761,0.975217,0.835786,0.974130,0.687616
