GloveManager recording started on 11/02/16 at 16:05:47

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017339,0.017339,1343,1867,1158,2298,2882,2578,1964,2739,3010,1146,3161,2972,1510,2448,,0.463905,0.082426,0.104188,0.666667,0.480385,0.705811,0.132179,0.510220,0.715586,0.080531,0.552664,0.744384,0.213202,0.349353
0.017959,0.035298,1343,1867,1158,2296,2883,2578,1964,2739,3010,1146,3162,2972,1509,2448,,0.463905,0.082426,0.104188,0.664260,0.481125,0.705811,0.132179,0.510220,0.715586,0.080531,0.553903,0.744384,0.212310,0.349353
0.018002,0.053300,1344,1867,1158,2296,2882,2578,1964,2739,3010,1145,3160,2972,1508,2447,,0.465089,0.082426,0.104188,0.664260,0.480385,0.705811,0.132179,0.510220,0.715586,0.079646,0.551425,0.744384,0.211418,0.348429
0.018001,0.071301,1342,1868,1157,2294,2884,2578,1963,2738,3009,1145,3162,2972,1511,2447,,0.462722,0.083204,0.103166,0.661853,0.481865,0.705811,0.131267,0.509434,0.714448,0.079646,0.553903,0.744384,0.214095,0.348429
0.018001,0.089302,1343,1868,1158,2294,2884,2578,1962,2738,3010,1145,3161,2972,1510,2447,,0.463905,0.083204,0.104188,0.661853,0.481865,0.705811,0.130356,0.509434,0.715586,0.079646,0.552664,0.744384,0.213202,0.348429
0.018004,0.107307,1343,1868,1158,2294,2884,2578,1962,2738,3010,1145,3161,2972,1510,2447,,0.463905,0.083204,0.104188,0.661853,0.481865,0.705811,0.130356,0.509434,0.715586,0.079646,0.552664,0.744384,0.213202,0.348429
0.018001,0.125308,1343,1868,1158,2293,2885,2578,1962,2739,3010,1146,3161,2972,1511,2447,,0.463905,0.083204,0.104188,0.660650,0.482605,0.705811,0.130356,0.510220,0.715586,0.080531,0.552664,0.744384,0.214095,0.348429
0.017997,0.143305,1343,1867,1158,2293,2885,2578,1963,2738,3010,1145,3161,2972,1510,2447,,0.463905,0.082426,0.104188,0.660650,0.482605,0.705811,0.131267,0.509434,0.715586,0.079646,0.552664,0.744384,0.213202,0.348429
0.018002,0.161307,1343,1867,1158,2293,2885,2578,1963,2738,3010,1145,3161,2972,1510,2447,,0.463905,0.082426,0.104188,0.660650,0.482605,0.705811,0.131267,0.509434,0.715586,0.079646,0.552664,0.744384,0.213202,0.348429
0.018023,0.179331,1343,1866,1157,2293,2884,2578,1963,2740,3009,1144,3161,2972,1510,2447,,0.463905,0.081649,0.103166,0.660650,0.481865,0.705811,0.131267,0.511006,0.714448,0.078761,0.552664,0.744384,0.213202,0.348429
0.017990,0.197321,1343,1866,1157,2293,2884,2578,1963,2740,3009,1144,3161,2972,1510,2447,,0.463905,0.081649,0.103166,0.660650,0.481865,0.705811,0.131267,0.511006,0.714448,0.078761,0.552664,0.744384,0.213202,0.348429
0.018000,0.215321,1344,1867,1157,2291,2885,2577,1962,2740,3010,1145,3160,2972,1510,2446,,0.465089,0.082426,0.103166,0.658243,0.482605,0.705206,0.130356,0.511006,0.715586,0.079646,0.551425,0.744384,0.213202,0.347505
0.018019,0.233340,1345,1867,1157,2291,2884,2578,1962,2739,3010,1145,3161,2972,1509,2445,,0.466272,0.082426,0.103166,0.658243,0.481865,0.705811,0.130356,0.510220,0.715586,0.079646,0.552664,0.744384,0.212310,0.346580
0.017980,0.251320,1343,1867,1156,2289,2885,2578,1962,2739,3009,1145,3161,2973,1510,2446,,0.463905,0.082426,0.102145,0.655836,0.482605,0.705811,0.130356,0.510220,0.714448,0.079646,0.552664,0.745159,0.213202,0.347505
0.018020,0.269340,1344,1867,1157,2290,2885,2578,1962,2738,3010,1145,3161,2972,1510,2445,,0.465089,0.082426,0.103166,0.657040,0.482605,0.705811,0.130356,0.509434,0.715586,0.079646,0.552664,0.744384,0.213202,0.346580
0.018001,0.287341,1344,1866,1157,2290,2885,2578,1962,2739,3010,1145,3160,2972,1510,2446,,0.465089,0.081649,0.103166,0.657040,0.482605,0.705811,0.130356,0.510220,0.715586,0.079646,0.551425,0.744384,0.213202,0.347505
0.018002,0.305344,1344,1866,1157,2290,2885,2578,1962,2739,3010,1145,3160,2972,1510,2446,,0.465089,0.081649,0.103166,0.657040,0.482605,0.705811,0.130356,0.510220,0.715586,0.079646,0.551425,0.744384,0.213202,0.347505
0.018001,0.323344,1343,1866,1157,2290,2884,2578,1962,2739,3010,1145,3161,2972,1511,2446,,0.463905,0.081649,0.103166,0.657040,0.481865,0.705811,0.130356,0.510220,0.715586,0.079646,0.552664,0.744384,0.214095,0.347505
0.018006,0.341350,1343,1866,1157,2290,2883,2578,1962,2739,3010,1145,3160,2972,1511,2446,,0.463905,0.081649,0.103166,0.657040,0.481125,0.705811,0.130356,0.510220,0.715586,0.079646,0.551425,0.744384,0.214095,0.347505
0.017997,0.359347,1344,1866,1158,2288,2885,2578,1962,2739,3011,1145,3160,2972,1510,2446,,0.465089,0.081649,0.104188,0.654633,0.482605,0.705811,0.130356,0.510220,0.716724,0.079646,0.551425,0.744384,0.213202,0.347505
0.018004,0.377351,1344,1866,1157,2287,2885,2578,1961,2738,3010,1145,3159,2971,1511,2444,,0.465089,0.081649,0.103166,0.653430,0.482605,0.705811,0.129444,0.509434,0.715586,0.078761,0.548947,0.743610,0.214095,0.344732
0.017997,0.395348,1343,1867,1157,2286,2885,2577,1961,2738,3010,1145,3159,2971,1510,2443,,0.463905,0.082426,0.103166,0.652226,0.482605,0.705206,0.129444,0.509434,0.715586,0.079646,0.550186,0.743610,0.213202,0.344732
0.017993,0.413341,1344,1866,1157,2286,2885,2578,1961,2738,3010,1144,3158,2971,1511,2443,,0.465089,0.081649,0.103166,0.652226,0.482605,0.705811,0.129444,0.509434,0.715586,0.078761,0.548947,0.743610,0.214095,0.344732
0.018010,0.431352,1345,1867,1157,2285,2885,2578,1962,2737,3009,1145,3158,2971,1511,2443,,0.466272,0.082426,0.103166,0.651023,0.482605,0.705811,0.130356,0.508648,0.714448,0.079646,0.548947,0.743610,0.214095,0.344732
0.017963,0.449315,1345,1867,1156,2285,2885,2578,1961,2738,3010,1144,3158,2971,1511,2442,,0.466272,0.082426,0.102145,0.651023,0.482605,0.705811,0.129444,0.509434,0.715586,0.078761,0.548947,0.743610,0.214095,0.343808
0.018001,0.467316,1344,1866,1156,2285,2885,2578,1961,2738,3009,1144,3158,2972,1511,2442,,0.465089,0.081649,0.102145,0.651023,0.482605,0.705811,0.129444,0.509434,0.714448,0.078761,0.548947,0.744384,0.214095,0.343808
0.018039,0.485355,1344,1866,1156,2285,2886,2578,1961,2738,3010,1145,3158,2971,1510,2442,,0.465089,0.081649,0.102145,0.651023,0.483346,0.705811,0.129444,0.509434,0.715586,0.079646,0.548947,0.743610,0.213202,0.343808
