GloveManager recording started on 11/02/16 at 16:07:02

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017521,0.017521,1120,1835,1280,2191,2406,2623,2129,3107,2970,1345,3350,2990,1685,2725,,0.200000,0.057543,0.228805,0.537906,0.128053,0.733051,0.282589,0.799528,0.670080,0.256637,0.786865,0.758327,0.369313,0.605360
0.017991,0.035512,1119,1835,1280,2191,2406,2623,2128,3107,2970,1344,3350,2990,1686,2724,,0.198817,0.057543,0.228805,0.537906,0.128053,0.733051,0.281677,0.799528,0.670080,0.255752,0.786865,0.758327,0.370205,0.604436
0.018001,0.053513,1120,1834,1281,2190,2406,2623,2128,3107,2970,1344,3350,2990,1684,2725,,0.200000,0.056765,0.229826,0.536703,0.128053,0.733051,0.281677,0.799528,0.670080,0.255752,0.786865,0.758327,0.368421,0.605360
0.018003,0.071516,1118,1834,1281,2191,2406,2623,2128,3107,2970,1344,3350,2990,1685,2726,,0.197633,0.056765,0.229826,0.537906,0.128053,0.733051,0.281677,0.799528,0.670080,0.255752,0.786865,0.758327,0.369313,0.606285
0.017999,0.089515,1119,1835,1281,2191,2406,2624,2128,3107,2970,1344,3350,2990,1685,2725,,0.198817,0.057543,0.229826,0.537906,0.128053,0.733656,0.281677,0.799528,0.670080,0.255752,0.786865,0.758327,0.369313,0.605360
0.018010,0.107525,1119,1835,1281,2190,2405,2622,2128,3107,2971,1345,3349,2990,1685,2725,,0.198817,0.057543,0.229826,0.536703,0.127313,0.732446,0.281677,0.799528,0.671217,0.256637,0.785626,0.758327,0.369313,0.605360
0.017993,0.125518,1118,1834,1280,2190,2405,2623,2128,3107,2970,1345,3350,2990,1685,2725,,0.197633,0.056765,0.228805,0.536703,0.127313,0.733051,0.281677,0.799528,0.670080,0.256637,0.786865,0.758327,0.369313,0.605360
0.018000,0.143518,1118,1834,1280,2190,2405,2624,2127,3106,2970,1345,3350,2991,1685,2725,,0.197633,0.056765,0.228805,0.536703,0.127313,0.733656,0.280766,0.798742,0.670080,0.256637,0.786865,0.759101,0.369313,0.605360
0.018000,0.161519,1118,1834,1281,2190,2405,2624,2128,3107,2970,1345,3350,2990,1685,2726,,0.197633,0.056765,0.229826,0.536703,0.127313,0.733656,0.281677,0.799528,0.670080,0.256637,0.786865,0.758327,0.369313,0.606285
0.018000,0.179519,1118,1834,1281,2191,2406,2624,2128,3106,2970,1345,3349,2990,1685,2725,,0.197633,0.056765,0.229826,0.537906,0.128053,0.733656,0.281677,0.798742,0.670080,0.256637,0.785626,0.758327,0.369313,0.605360
0.018012,0.197531,1118,1834,1281,2191,2406,2624,2128,3107,2969,1344,3350,2990,1684,2725,,0.197633,0.056765,0.229826,0.537906,0.128053,0.733656,0.281677,0.799528,0.668942,0.255752,0.786865,0.758327,0.368421,0.605360
0.017990,0.215521,1118,1834,1281,2190,2405,2623,2129,3106,2970,1345,3350,2990,1685,2725,,0.197633,0.056765,0.229826,0.536703,0.127313,0.733051,0.282589,0.798742,0.670080,0.256637,0.786865,0.758327,0.369313,0.605360
0.018001,0.233522,1118,1834,1280,2190,2405,2624,2129,3106,2970,1345,3350,2990,1685,2725,,0.197633,0.056765,0.228805,0.536703,0.127313,0.733656,0.282589,0.798742,0.670080,0.256637,0.786865,0.758327,0.369313,0.605360
0.018002,0.251524,1119,1834,1280,2190,2405,2624,2128,3107,2970,1345,3350,2990,1685,2725,,0.198817,0.056765,0.228805,0.536703,0.127313,0.733656,0.281677,0.799528,0.670080,0.256637,0.786865,0.758327,0.369313,0.605360
0.018000,0.269524,1119,1834,1280,2190,2405,2624,2128,3107,2970,1345,3350,2990,1685,2725,,0.198817,0.056765,0.228805,0.536703,0.127313,0.733656,0.281677,0.799528,0.670080,0.256637,0.786865,0.758327,0.369313,0.605360
0.018021,0.287545,1118,1834,1280,2191,2405,2624,2128,3107,2970,1345,3350,2990,1685,2725,,0.197633,0.056765,0.228805,0.537906,0.127313,0.733656,0.281677,0.799528,0.670080,0.256637,0.786865,0.758327,0.369313,0.605360
0.017982,0.305527,1117,1834,1280,2190,2405,2624,2128,3107,2970,1344,3349,2990,1685,2725,,0.196450,0.056765,0.228805,0.536703,0.127313,0.733656,0.281677,0.799528,0.670080,0.255752,0.785626,0.758327,0.369313,0.605360
0.018000,0.323528,1118,1833,1280,2190,2405,2623,2128,3107,2970,1345,3351,2990,1685,2724,,0.197633,0.055988,0.228805,0.536703,0.127313,0.733051,0.281677,0.799528,0.670080,0.256637,0.788104,0.758327,0.369313,0.604436
0.018001,0.341528,1118,1835,1280,2191,2404,2623,2128,3106,2970,1344,3350,2990,1685,2726,,0.197633,0.057543,0.228805,0.537906,0.126573,0.733051,0.281677,0.798742,0.670080,0.255752,0.786865,0.758327,0.369313,0.606285
0.018004,0.359532,1118,1835,1280,2191,2405,2624,2128,3107,2970,1344,3350,2990,1685,2726,,0.197633,0.057543,0.228805,0.537906,0.127313,0.733656,0.281677,0.799528,0.670080,0.255752,0.786865,0.758327,0.369313,0.606285
0.018006,0.377538,1118,1834,1279,2191,2404,2623,2128,3107,2970,1345,3350,2990,1684,2725,,0.197633,0.056765,0.227783,0.537906,0.126573,0.733051,0.281677,0.799528,0.670080,0.256637,0.786865,0.758327,0.368421,0.605360
0.018003,0.395541,1118,1834,1280,2191,2405,2624,2128,3107,2970,1345,3351,2990,1685,2725,,0.197633,0.056765,0.228805,0.537906,0.127313,0.733656,0.281677,0.799528,0.670080,0.256637,0.788104,0.758327,0.369313,0.605360
0.017989,0.413530,1118,1834,1280,2192,2404,2625,2128,3107,2970,1345,3350,2990,1685,2725,,0.197633,0.056765,0.228805,0.539110,0.126573,0.734262,0.281677,0.799528,0.670080,0.256637,0.786865,0.758327,0.369313,0.605360
0.018033,0.431562,1117,1834,1280,2191,2404,2624,2128,3107,2970,1345,3350,2990,1685,2725,,0.196450,0.056765,0.228805,0.537906,0.126573,0.733656,0.281677,0.799528,0.670080,0.256637,0.786865,0.758327,0.369313,0.605360
0.018003,0.449565,1117,1834,1280,2191,2404,2624,2128,3107,2970,1345,3350,2990,1685,2725,,0.196450,0.056765,0.228805,0.537906,0.126573,0.733656,0.281677,0.799528,0.670080,0.256637,0.786865,0.758327,0.369313,0.605360
0.018000,0.467565,1118,1834,1280,2191,2405,2624,2128,3107,2971,1345,3350,2990,1685,2726,,0.197633,0.056765,0.228805,0.537906,0.127313,0.733656,0.281677,0.799528,0.671217,0.256637,0.786865,0.758327,0.369313,0.606285
0.018002,0.485567,1118,1834,1280,2191,2405,2624,2128,3107,2971,1345,3350,2990,1685,2726,,0.197633,0.056765,0.228805,0.537906,0.127313,0.733656,0.281677,0.799528,0.671217,0.256637,0.786865,0.758327,0.369313,0.606285
0.018001,0.503569,1119,1834,1280,2191,2403,2624,2128,3106,2970,1344,3351,2990,1685,2726,,0.198817,0.056765,0.228805,0.537906,0.125833,0.733656,0.281677,0.798742,0.670080,0.255752,0.788104,0.758327,0.369313,0.606285
0.017978,0.521547,1119,1834,1281,2192,2403,2624,2128,3106,2970,1346,3351,2990,1686,2725,,0.198817,0.056765,0.229826,0.539110,0.125833,0.733656,0.281677,0.798742,0.670080,0.257522,0.788104,0.758327,0.370205,0.605360
0.017992,0.539539,1118,1834,1281,2192,2403,2624,2128,3107,2970,1345,3350,2990,1685,2724,,0.197633,0.056765,0.229826,0.539110,0.125833,0.733656,0.281677,0.799528,0.670080,0.256637,0.786865,0.758327,0.369313,0.604436
0.017993,0.557532,1118,1834,1281,2192,2403,2624,2127,3107,2970,1345,3349,2990,1685,2725,,0.197633,0.056765,0.229826,0.539110,0.125833,0.733656,0.280766,0.799528,0.670080,0.256637,0.785626,0.758327,0.369313,0.605360
0.018008,0.575540,1119,1834,1280,2192,2403,2624,2127,3106,2970,1346,3350,2990,1684,2726,,0.198817,0.056765,0.228805,0.539110,0.125833,0.733656,0.280766,0.798742,0.670080,0.257522,0.786865,0.758327,0.368421,0.606285
