GloveManager recording started on 11/02/16 at 16:07:51

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017248,0.017248,1148,1853,1295,2359,3304,2601,1999,2290,3177,1167,2811,2973,1463,2204,,0.233136,0.071540,0.244127,0.740072,0.792746,0.719734,0.164084,0.157233,0.905575,0.099115,0.118959,0.745159,0.171276,0.123845
0.017999,0.035247,1149,1853,1294,2360,3304,2601,1998,2290,3177,1167,2811,2972,1462,2204,,0.234320,0.071540,0.243105,0.741276,0.792746,0.719734,0.163172,0.157233,0.905575,0.099115,0.118959,0.744384,0.170384,0.123845
0.018003,0.053250,1149,1853,1294,2361,3305,2601,1999,2290,3177,1167,2811,2973,1463,2205,,0.234320,0.071540,0.243105,0.742479,0.793486,0.719734,0.164084,0.157233,0.905575,0.099115,0.118959,0.745159,0.171276,0.124769
0.017998,0.071248,1148,1853,1294,2360,3305,2601,1999,2291,3176,1167,2811,2973,1463,2204,,0.233136,0.071540,0.243105,0.741276,0.793486,0.719734,0.164084,0.158019,0.904437,0.099115,0.118959,0.745159,0.171276,0.123845
0.018006,0.089254,1149,1853,1294,2360,3305,2601,1999,2290,3177,1167,2811,2972,1463,2203,,0.234320,0.071540,0.243105,0.741276,0.793486,0.719734,0.164084,0.157233,0.905575,0.099115,0.118959,0.744384,0.171276,0.122921
0.018012,0.107266,1149,1853,1295,2361,3305,2602,2000,2291,3176,1167,2810,2973,1464,2204,,0.234320,0.071540,0.244127,0.742479,0.793486,0.720339,0.164995,0.158019,0.904437,0.099115,0.117720,0.745159,0.172168,0.123845
0.017987,0.125253,1149,1853,1295,2360,3305,2602,1999,2290,3176,1168,2811,2974,1463,2204,,0.234320,0.071540,0.244127,0.741276,0.793486,0.720339,0.164084,0.157233,0.904437,0.100000,0.118959,0.745933,0.171276,0.123845
0.018000,0.143253,1149,1853,1295,2360,3305,2602,1999,2290,3176,1168,2811,2974,1463,2204,,0.234320,0.071540,0.244127,0.741276,0.793486,0.720339,0.164084,0.157233,0.904437,0.100000,0.118959,0.745933,0.171276,0.123845
0.018003,0.161256,1148,1852,1294,2360,3305,2602,1999,2290,3177,1168,2810,2973,1464,2203,,0.233136,0.070762,0.243105,0.741276,0.793486,0.720339,0.164084,0.157233,0.905575,0.100000,0.117720,0.745159,0.172168,0.122921
0.017998,0.179254,1148,1852,1294,2360,3305,2602,1999,2290,3177,1168,2810,2973,1464,2203,,0.233136,0.070762,0.243105,0.741276,0.793486,0.720339,0.164084,0.157233,0.905575,0.100000,0.117720,0.745159,0.172168,0.122921
