GloveManager recording started on 11/02/16 at 16:08:05

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017382,0.017382,1201,2006,1514,2313,2620,2496,2587,3193,2968,1837,3422,3117,2267,2904,,0.295858,0.190513,0.467824,0.684717,0.286454,0.656174,0.700091,0.867138,0.667804,0.692035,0.876084,0.856700,0.888492,0.770795
0.017974,0.035356,1201,2006,1514,2314,2620,2496,2586,3193,2968,1836,3422,3117,2266,2904,,0.295858,0.190513,0.467824,0.685921,0.286454,0.656174,0.699180,0.867138,0.667804,0.691150,0.876084,0.856700,0.887600,0.770795
0.018010,0.053366,1203,2005,1512,2313,2619,2498,2586,3192,2969,1835,3422,3117,2266,2902,,0.298225,0.189736,0.465781,0.684717,0.285714,0.657385,0.699180,0.866352,0.668942,0.690265,0.876084,0.856700,0.887600,0.768946
0.017994,0.071360,1202,2004,1511,2313,2618,2500,2586,3191,2969,1835,3422,3117,2266,2903,,0.297041,0.188958,0.464760,0.684717,0.284974,0.658596,0.699180,0.865566,0.668942,0.690265,0.876084,0.856700,0.887600,0.769871
0.018008,0.089368,1201,2004,1511,2313,2619,2501,2587,3191,2969,1836,3422,3117,2266,2902,,0.295858,0.188958,0.464760,0.684717,0.285714,0.659201,0.700091,0.865566,0.668942,0.691150,0.876084,0.856700,0.887600,0.768946
0.017994,0.107361,1200,2004,1511,2312,2617,2500,2586,3191,2969,1836,3422,3117,2266,2902,,0.294675,0.188958,0.464760,0.683514,0.284234,0.658596,0.699180,0.865566,0.668942,0.691150,0.876084,0.856700,0.887600,0.768946
0.018016,0.125378,1200,2003,1511,2312,2616,2500,2586,3192,2970,1835,3422,3116,2266,2902,,0.294675,0.188180,0.464760,0.683514,0.283494,0.658596,0.699180,0.866352,0.670080,0.690265,0.876084,0.855926,0.887600,0.768946
0.017986,0.143364,1200,2003,1510,2312,2617,2501,2586,3191,2970,1835,3422,3117,2265,2902,,0.294675,0.188180,0.463739,0.683514,0.284234,0.659201,0.699180,0.865566,0.670080,0.690265,0.876084,0.856700,0.886708,0.768946
0.018009,0.161373,1201,2005,1511,2311,2616,2500,2586,3191,2970,1836,3422,3116,2266,2901,,0.295858,0.189736,0.464760,0.682310,0.283494,0.658596,0.699180,0.865566,0.670080,0.691150,0.876084,0.855926,0.887600,0.768022
0.018000,0.179373,1201,2005,1511,2312,2616,2499,2586,3191,2968,1835,3422,3116,2265,2901,,0.295858,0.189736,0.464760,0.683514,0.283494,0.657990,0.699180,0.865566,0.667804,0.690265,0.876084,0.855926,0.886708,0.768022
0.017994,0.197366,1201,2005,1511,2312,2616,2499,2586,3191,2968,1835,3422,3116,2265,2901,,0.295858,0.189736,0.464760,0.683514,0.283494,0.657990,0.699180,0.865566,0.667804,0.690265,0.876084,0.855926,0.886708,0.768022
0.017980,0.215346,1201,2003,1509,2312,2616,2501,2586,3191,2969,1835,3423,3117,2266,2901,,0.295858,0.188180,0.462717,0.683514,0.283494,0.659201,0.699180,0.865566,0.668942,0.690265,0.877323,0.856700,0.887600,0.768022
0.018032,0.233377,1200,2003,1509,2312,2616,2501,2586,3192,2969,1834,3422,3116,2265,2900,,0.294675,0.188180,0.462717,0.683514,0.283494,0.659201,0.699180,0.866352,0.668942,0.689381,0.876084,0.855926,0.886708,0.767098
0.017977,0.251355,1199,2003,1509,2312,2617,2501,2585,3193,2969,1835,3423,3116,2265,2902,,0.293491,0.188180,0.462717,0.683514,0.284234,0.659201,0.698268,0.867138,0.668942,0.690265,0.877323,0.855926,0.886708,0.768946
0.018029,0.269384,1199,2002,1510,2313,2616,2502,2585,3192,2969,1835,3422,3116,2265,2901,,0.293491,0.187403,0.463739,0.684717,0.283494,0.659806,0.698268,0.866352,0.668942,0.690265,0.876084,0.855926,0.886708,0.768022
0.017958,0.287342,1198,2002,1509,2313,2617,2501,2587,3192,2969,1835,3422,3117,2266,2901,,0.292308,0.187403,0.462717,0.684717,0.284234,0.659201,0.700091,0.866352,0.668942,0.690265,0.876084,0.856700,0.887600,0.768022
0.018044,0.305386,1198,2002,1510,2314,2618,2502,2587,3192,2969,1835,3422,3116,2266,2901,,0.292308,0.187403,0.463739,0.685921,0.284974,0.659806,0.700091,0.866352,0.668942,0.690265,0.876084,0.855926,0.887600,0.768022
0.017988,0.323374,1198,2002,1510,2312,2616,2503,2587,3192,2968,1836,3423,3116,2267,2901,,0.292308,0.187403,0.463739,0.683514,0.283494,0.660412,0.700091,0.866352,0.667804,0.691150,0.877323,0.855926,0.888492,0.768022
0.018007,0.341381,1197,2002,1509,2313,2616,2502,2586,3192,2969,1836,3423,3116,2266,2901,,0.291124,0.187403,0.462717,0.684717,0.283494,0.659806,0.699180,0.866352,0.668942,0.691150,0.877323,0.855926,0.887600,0.768022
0.018010,0.359391,1197,2002,1509,2313,2616,2502,2586,3192,2969,1836,3423,3116,2266,2901,,0.291124,0.187403,0.462717,0.684717,0.283494,0.659806,0.699180,0.866352,0.668942,0.691150,0.877323,0.855926,0.887600,0.768022
0.017984,0.377375,1197,2002,1509,2313,2616,2502,2586,3192,2969,1835,3422,3116,2265,2901,,0.291124,0.187403,0.462717,0.684717,0.283494,0.659806,0.699180,0.866352,0.668942,0.690265,0.876084,0.855926,0.886708,0.768022
0.018001,0.395377,1197,2001,1509,2314,2616,2503,2587,3192,2969,1835,3423,3117,2266,2901,,0.291124,0.186625,0.462717,0.685921,0.283494,0.660412,0.700091,0.866352,0.668942,0.690265,0.877323,0.856700,0.887600,0.768022
0.017999,0.413376,1198,2002,1510,2314,2616,2503,2586,3192,2969,1835,3422,3116,2266,2901,,0.292308,0.187403,0.463739,0.685921,0.283494,0.660412,0.699180,0.866352,0.668942,0.690265,0.876084,0.855926,0.887600,0.768022
0.018002,0.431378,1198,2002,1510,2314,2616,2503,2586,3192,2969,1835,3422,3116,2266,2901,,0.292308,0.187403,0.463739,0.685921,0.283494,0.660412,0.699180,0.866352,0.668942,0.690265,0.876084,0.855926,0.887600,0.768022
