GloveManager recording started on 11/02/16 at 16:08:47

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017373,0.017373,1180,1927,1544,2220,2454,2563,2098,2380,2931,1658,3434,3115,1880,3017,,0.271006,0.129082,0.498468,0.572804,0.163583,0.696731,0.254330,0.227987,0.625711,0.533628,0.890954,0.855151,0.543265,0.875231
0.018000,0.035374,1179,1926,1543,2219,2454,2563,2098,2379,2931,1658,3434,3116,1881,3017,,0.269822,0.128305,0.497446,0.571600,0.163583,0.696731,0.254330,0.227201,0.625711,0.533628,0.890954,0.855926,0.544157,0.875231
0.018001,0.053374,1180,1927,1544,2220,2455,2563,2098,2379,2931,1658,3434,3115,1880,3015,,0.271006,0.129082,0.498468,0.572804,0.164323,0.696731,0.254330,0.227201,0.625711,0.533628,0.890954,0.855151,0.543265,0.873383
0.018000,0.071375,1179,1927,1544,2219,2455,2563,2099,2379,2931,1658,3434,3115,1880,3017,,0.269822,0.129082,0.498468,0.571600,0.164323,0.696731,0.255242,0.227201,0.625711,0.533628,0.890954,0.855151,0.543265,0.875231
0.018004,0.089379,1180,1927,1544,2220,2455,2563,2099,2379,2931,1658,3434,3115,1880,3017,,0.271006,0.129082,0.498468,0.572804,0.164323,0.696731,0.255242,0.227201,0.625711,0.533628,0.890954,0.855151,0.543265,0.875231
0.017997,0.107377,1181,1927,1544,2220,2455,2563,2099,2379,2931,1659,3435,3115,1880,3017,,0.272189,0.129082,0.498468,0.572804,0.164323,0.696731,0.255242,0.227201,0.625711,0.534513,0.892193,0.855151,0.543265,0.875231
0.018005,0.125382,1180,1927,1544,2220,2454,2563,2098,2380,2931,1658,3434,3115,1880,3017,,0.271006,0.129082,0.498468,0.572804,0.163583,0.696731,0.254330,0.227987,0.625711,0.533628,0.890954,0.855151,0.543265,0.875231
0.018108,0.143489,1181,1926,1544,2219,2454,2562,2098,2379,2931,1658,3434,3115,1879,3016,,0.272189,0.128305,0.498468,0.571600,0.163583,0.696126,0.254330,0.227201,0.625711,0.533628,0.890954,0.855151,0.542373,0.874307
0.017891,0.161381,1180,1926,1543,2219,2454,2562,2098,2379,2931,1658,3434,3115,1879,3016,,0.271006,0.128305,0.497446,0.571600,0.163583,0.696126,0.254330,0.227201,0.625711,0.533628,0.890954,0.855151,0.542373,0.874307
0.018028,0.179409,1180,1927,1544,2220,2454,2563,2098,2379,2931,1658,3434,3115,1879,3016,,0.271006,0.129082,0.498468,0.572804,0.163583,0.696731,0.254330,0.227201,0.625711,0.533628,0.890954,0.855151,0.542373,0.874307
