GloveManager recording started on 11/02/16 at 16:09:03

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017444,0.017444,1282,1855,1377,2375,3548,2681,2528,3149,2853,1685,3352,3155,1795,2188,,0.391716,0.073095,0.327886,0.759326,0.973353,0.768160,0.646308,0.832547,0.536974,0.557522,0.789343,0.886135,0.467440,0.109057
0.018001,0.035445,1282,1855,1377,2374,3549,2682,2527,3149,2854,1686,3354,3155,1796,2190,,0.391716,0.073095,0.327886,0.758123,0.974093,0.768765,0.645397,0.832547,0.538112,0.558407,0.791822,0.886135,0.468332,0.110906
0.018002,0.053447,1283,1855,1377,2374,3548,2681,2528,3149,2854,1686,3354,3155,1795,2190,,0.392899,0.073095,0.327886,0.758123,0.973353,0.768160,0.646308,0.832547,0.538112,0.558407,0.791822,0.886135,0.467440,0.110906
0.018004,0.071451,1282,1854,1376,2375,3549,2681,2527,3148,2855,1685,3353,3155,1795,2190,,0.391716,0.072317,0.326864,0.759326,0.974093,0.768160,0.645397,0.831761,0.539249,0.557522,0.790582,0.886135,0.467440,0.110906
0.017996,0.089447,1282,1855,1376,2374,3548,2680,2527,3148,2855,1685,3354,3155,1795,2189,,0.391716,0.073095,0.326864,0.758123,0.973353,0.767554,0.645397,0.831761,0.539249,0.557522,0.791822,0.886135,0.467440,0.109982
0.018001,0.107448,1282,1854,1377,2375,3549,2680,2527,3149,2855,1685,3354,3155,1796,2189,,0.391716,0.072317,0.327886,0.759326,0.974093,0.767554,0.645397,0.832547,0.539249,0.557522,0.791822,0.886135,0.468332,0.109982
0.018000,0.125449,1282,1854,1377,2375,3549,2680,2527,3149,2855,1685,3354,3155,1796,2189,,0.391716,0.072317,0.327886,0.759326,0.974093,0.767554,0.645397,0.832547,0.539249,0.557522,0.791822,0.886135,0.468332,0.109982
0.018002,0.143451,1282,1855,1377,2375,3548,2680,2527,3149,2855,1684,3353,3155,1795,2189,,0.391716,0.073095,0.327886,0.759326,0.973353,0.767554,0.645397,0.832547,0.539249,0.556637,0.790582,0.886135,0.467440,0.109982
0.018000,0.161451,1282,1855,1377,2375,3548,2680,2527,3149,2855,1684,3353,3155,1795,2189,,0.391716,0.073095,0.327886,0.759326,0.973353,0.767554,0.645397,0.832547,0.539249,0.556637,0.790582,0.886135,0.467440,0.109982
0.018002,0.179453,1281,1855,1378,2376,3548,2681,2528,3148,2856,1684,3354,3155,1795,2188,,0.390533,0.073095,0.328907,0.760529,0.973353,0.768160,0.646308,0.831761,0.540387,0.556637,0.791822,0.886135,0.467440,0.109057
0.018000,0.197453,1281,1855,1378,2376,3548,2681,2528,3148,2856,1684,3354,3155,1795,2188,,0.390533,0.073095,0.328907,0.760529,0.973353,0.768160,0.646308,0.831761,0.540387,0.556637,0.791822,0.886135,0.467440,0.109057
0.018008,0.215462,1281,1855,1376,2375,3548,2681,2528,3149,2856,1685,3353,3154,1795,2188,,0.390533,0.073095,0.326864,0.759326,0.973353,0.768160,0.646308,0.832547,0.540387,0.557522,0.790582,0.885360,0.467440,0.109057
0.017996,0.233457,1280,1854,1377,2375,3548,2680,2528,3149,2856,1684,3354,3155,1795,2189,,0.389349,0.072317,0.327886,0.759326,0.973353,0.767554,0.646308,0.832547,0.540387,0.556637,0.791822,0.886135,0.467440,0.109982
0.017999,0.251456,1280,1854,1377,2375,3548,2680,2528,3149,2856,1684,3354,3155,1795,2189,,0.389349,0.072317,0.327886,0.759326,0.973353,0.767554,0.646308,0.832547,0.540387,0.556637,0.791822,0.886135,0.467440,0.109982
0.018005,0.269461,1281,1855,1378,2376,3548,2681,2527,3149,2856,1685,3354,3154,1796,2189,,0.390533,0.073095,0.328907,0.760529,0.973353,0.768160,0.645397,0.832547,0.540387,0.557522,0.791822,0.885360,0.468332,0.109982
0.017997,0.287458,1281,1855,1378,2375,3548,2681,2526,3149,2856,1685,3354,3154,1795,2189,,0.390533,0.073095,0.328907,0.759326,0.973353,0.768160,0.644485,0.832547,0.540387,0.557522,0.791822,0.885360,0.467440,0.109982
0.017983,0.305441,1281,1855,1378,2375,3548,2681,2526,3149,2856,1685,3354,3154,1795,2189,,0.390533,0.073095,0.328907,0.759326,0.973353,0.768160,0.644485,0.832547,0.540387,0.557522,0.791822,0.885360,0.467440,0.109982
0.018018,0.323459,1282,1855,1378,2374,3549,2680,2527,3149,2857,1684,3354,3155,1796,2189,,0.391716,0.073095,0.328907,0.758123,0.974093,0.767554,0.645397,0.832547,0.541524,0.556637,0.791822,0.886135,0.468332,0.109982
0.018004,0.341463,1281,1855,1376,2375,3548,2680,2526,3149,2857,1684,3355,3154,1796,2189,,0.390533,0.073095,0.326864,0.759326,0.973353,0.767554,0.644485,0.832547,0.541524,0.556637,0.793061,0.885360,0.468332,0.109982
0.017998,0.359461,1281,1855,1377,2374,3548,2680,2527,3148,2857,1685,3355,3155,1796,2189,,0.390533,0.073095,0.327886,0.758123,0.973353,0.767554,0.645397,0.831761,0.541524,0.557522,0.793061,0.886135,0.468332,0.109982
0.018004,0.377465,1281,1855,1377,2375,3548,2680,2527,3147,2857,1685,3354,3154,1797,2189,,0.390533,0.073095,0.327886,0.759326,0.973353,0.767554,0.645397,0.830975,0.541524,0.557522,0.791822,0.885360,0.469224,0.109982
0.017997,0.395462,1282,1855,1377,2375,3548,2681,2527,3148,2857,1685,3355,3154,1796,2189,,0.391716,0.073095,0.327886,0.759326,0.973353,0.768160,0.645397,0.831761,0.541524,0.557522,0.793061,0.885360,0.468332,0.109982
0.018004,0.413467,1282,1855,1377,2375,3548,2681,2528,3149,2858,1685,3354,3154,1796,2188,,0.391716,0.073095,0.327886,0.759326,0.973353,0.768160,0.646308,0.832547,0.542662,0.557522,0.791822,0.885360,0.468332,0.109057
0.018001,0.431468,1281,1855,1377,2375,3548,2681,2527,3149,2857,1685,3355,3154,1796,2188,,0.390533,0.073095,0.327886,0.759326,0.973353,0.768160,0.645397,0.832547,0.541524,0.557522,0.793061,0.885360,0.468332,0.109057
0.017998,0.449466,1282,1856,1378,2376,3548,2681,2527,3149,2858,1685,3356,3154,1796,2189,,0.391716,0.073872,0.328907,0.760529,0.973353,0.768160,0.645397,0.832547,0.542662,0.557522,0.794300,0.885360,0.468332,0.109982
0.018001,0.467467,1282,1855,1377,2375,3548,2680,2527,3148,2858,1684,3355,3154,1795,2188,,0.391716,0.073095,0.327886,0.759326,0.973353,0.767554,0.645397,0.831761,0.542662,0.556637,0.793061,0.885360,0.467440,0.109057
0.017981,0.485448,1282,1855,1377,2376,3547,2681,2526,3148,2857,1685,3355,3154,1796,2189,,0.391716,0.073095,0.327886,0.760529,0.972613,0.768160,0.644485,0.831761,0.541524,0.557522,0.793061,0.885360,0.468332,0.109982
0.018021,0.503469,1282,1855,1377,2377,3548,2680,2528,3148,2857,1686,3355,3154,1796,2189,,0.391716,0.073095,0.327886,0.761733,0.973353,0.767554,0.646308,0.831761,0.541524,0.558407,0.793061,0.885360,0.468332,0.109982
0.018003,0.521472,1282,1855,1378,2376,3548,2680,2529,3148,2858,1685,3354,3154,1802,2188,,0.391716,0.073095,0.328907,0.760529,0.973353,0.767554,0.647220,0.831761,0.542662,0.557522,0.791822,0.885360,0.473684,0.109057
0.018000,0.539471,1282,1855,1378,2376,3548,2680,2529,3148,2858,1685,3354,3154,1802,2188,,0.391716,0.073095,0.328907,0.760529,0.973353,0.767554,0.647220,0.831761,0.542662,0.557522,0.791822,0.885360,0.473684,0.109057
0.017981,0.557452,1282,1856,1379,2377,3547,2680,2531,3148,2859,1686,3357,3154,1801,2188,,0.391716,0.073872,0.329928,0.761733,0.972613,0.767554,0.649043,0.831761,0.543800,0.558407,0.795539,0.885360,0.472792,0.109057
0.018021,0.575473,1282,1855,1378,2377,3548,2680,2531,3148,2859,1685,3357,3154,1795,2188,,0.391716,0.073095,0.328907,0.761733,0.973353,0.767554,0.649043,0.831761,0.543800,0.557522,0.795539,0.885360,0.467440,0.109057
0.018001,0.593474,1282,1856,1379,2377,3547,2680,2531,3148,2859,1685,3356,3153,1796,2188,,0.391716,0.073872,0.329928,0.761733,0.972613,0.767554,0.649043,0.831761,0.543800,0.557522,0.794300,0.884586,0.468332,0.109057
0.018000,0.611474,1281,1855,1378,2378,3547,2680,2531,3149,2858,1686,3356,3154,1795,2188,,0.390533,0.073095,0.328907,0.762936,0.972613,0.767554,0.649043,0.832547,0.542662,0.558407,0.794300,0.885360,0.467440,0.109057
0.018004,0.629478,1282,1855,1378,2378,3547,2680,2532,3148,2858,1686,3356,3154,1795,2188,,0.391716,0.073095,0.328907,0.762936,0.972613,0.767554,0.649954,0.831761,0.542662,0.558407,0.794300,0.885360,0.467440,0.109057
0.017998,0.647476,1282,1855,1378,2378,3547,2680,2532,3148,2858,1686,3356,3154,1795,2188,,0.391716,0.073095,0.328907,0.762936,0.972613,0.767554,0.649954,0.831761,0.542662,0.558407,0.794300,0.885360,0.467440,0.109057
0.018004,0.665480,1283,1855,1378,2378,3547,2680,2531,3148,2859,1686,3357,3153,1795,2188,,0.392899,0.073095,0.328907,0.762936,0.972613,0.767554,0.649043,0.831761,0.543800,0.558407,0.795539,0.884586,0.467440,0.109057
0.017977,0.683457,1283,1855,1379,2378,3547,2679,2531,3148,2858,1687,3357,3153,1796,2189,,0.392899,0.073095,0.329928,0.762936,0.972613,0.766949,0.649043,0.831761,0.542662,0.559292,0.795539,0.884586,0.468332,0.109982
0.018023,0.701480,1282,1855,1380,2379,3547,2680,2532,3148,2859,1688,3356,3154,1796,2189,,0.391716,0.073095,0.330950,0.764140,0.972613,0.767554,0.649954,0.831761,0.543800,0.560177,0.794300,0.885360,0.468332,0.109982
0.018002,0.719482,1282,1855,1380,2379,3547,2680,2532,3148,2859,1688,3356,3154,1796,2189,,0.391716,0.073095,0.330950,0.764140,0.972613,0.767554,0.649954,0.831761,0.543800,0.560177,0.794300,0.885360,0.468332,0.109982
0.017999,0.737481,1281,1855,1380,2379,3546,2681,2534,3147,2858,1689,3356,3154,1795,2188,,0.390533,0.073095,0.330950,0.764140,0.971873,0.768160,0.651778,0.830975,0.542662,0.561062,0.794300,0.885360,0.467440,0.109057
0.018002,0.755484,1283,1856,1380,2379,3546,2680,2534,3147,2860,1688,3357,3154,1795,2188,,0.392899,0.073872,0.330950,0.764140,0.971873,0.767554,0.651778,0.830975,0.544937,0.560177,0.795539,0.885360,0.467440,0.109057
0.018000,0.773484,1283,1856,1380,2380,3545,2681,2534,3147,2860,1690,3356,3154,1794,2189,,0.392899,0.073872,0.330950,0.765343,0.971133,0.768160,0.651778,0.830975,0.544937,0.561947,0.794300,0.885360,0.466548,0.109982
0.018001,0.791485,1283,1856,1380,2380,3545,2681,2534,3147,2860,1690,3356,3154,1794,2189,,0.392899,0.073872,0.330950,0.765343,0.971133,0.768160,0.651778,0.830975,0.544937,0.561947,0.794300,0.885360,0.466548,0.109982
0.018001,0.809486,1284,1856,1381,2380,3546,2681,2534,3147,2859,1689,3357,3154,1795,2189,,0.394083,0.073872,0.331971,0.765343,0.971873,0.768160,0.651778,0.830975,0.543800,0.561062,0.795539,0.885360,0.467440,0.109982
0.018001,0.827487,1285,1855,1380,2380,3546,2680,2534,3148,2859,1689,3356,3153,1794,2189,,0.395266,0.073095,0.330950,0.765343,0.971873,0.767554,0.651778,0.831761,0.543800,0.561062,0.794300,0.884586,0.466548,0.109982
0.018000,0.845487,1284,1856,1379,2380,3546,2681,2534,3149,2859,1690,3357,3153,1794,2188,,0.394083,0.073872,0.329928,0.765343,0.971873,0.768160,0.651778,0.832547,0.543800,0.561947,0.795539,0.884586,0.466548,0.109057
0.018002,0.863489,1285,1856,1381,2380,3545,2680,2535,3147,2859,1689,3356,3153,1795,2189,,0.395266,0.073872,0.331971,0.765343,0.971133,0.767554,0.652689,0.830975,0.543800,0.561062,0.794300,0.884586,0.467440,0.109982
0.018000,0.881490,1285,1856,1381,2380,3545,2680,2535,3147,2859,1689,3356,3153,1795,2189,,0.395266,0.073872,0.331971,0.765343,0.971133,0.767554,0.652689,0.830975,0.543800,0.561062,0.794300,0.884586,0.467440,0.109982
0.018001,0.899491,1285,1857,1380,2380,3545,2681,2534,3147,2859,1690,3357,3153,1795,2189,,0.395266,0.074650,0.330950,0.765343,0.971133,0.768160,0.651778,0.830975,0.543800,0.561947,0.795539,0.884586,0.467440,0.109982
0.018001,0.917493,1284,1856,1381,2381,3544,2681,2535,3148,2860,1690,3357,3153,1795,2188,,0.394083,0.073872,0.331971,0.766546,0.970392,0.768160,0.652689,0.831761,0.544937,0.561947,0.795539,0.884586,0.467440,0.109057
0.018000,0.935493,1284,1856,1381,2381,3545,2681,2533,3148,2860,1690,3356,3153,1796,2189,,0.394083,0.073872,0.331971,0.766546,0.971133,0.768160,0.650866,0.831761,0.544937,0.561947,0.794300,0.884586,0.468332,0.109982
