GloveManager recording started on 11/02/16 at 16:09:36

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017537,0.017537,1278,1886,1349,2388,3503,2726,2168,3287,3113,1627,3450,3053,1728,2122,,0.386982,0.097201,0.299285,0.774970,0.940044,0.795399,0.318140,0.941038,0.832765,0.506195,0.910781,0.807126,0.407672,0.048059
0.017990,0.035527,1278,1887,1349,2388,3503,2727,2169,3287,3113,1627,3451,3053,1728,2122,,0.386982,0.097978,0.299285,0.774970,0.940044,0.796005,0.319052,0.941038,0.832765,0.506195,0.912020,0.807126,0.407672,0.048059
0.018010,0.053536,1277,1887,1351,2388,3503,2727,2168,3288,3112,1628,3451,3053,1728,2122,,0.385799,0.097978,0.301328,0.774970,0.940044,0.796005,0.318140,0.941824,0.831627,0.507080,0.912020,0.807126,0.407672,0.048059
0.018018,0.071554,1278,1887,1351,2388,3503,2727,2168,3287,3113,1627,3451,3052,1728,2122,,0.386982,0.097978,0.301328,0.774970,0.940044,0.796005,0.318140,0.941038,0.832765,0.506195,0.912020,0.806352,0.407672,0.048059
0.017994,0.089549,1278,1887,1351,2389,3503,2727,2168,3287,3112,1626,3451,3052,1729,2122,,0.386982,0.097978,0.301328,0.776173,0.940044,0.796005,0.318140,0.941038,0.831627,0.505310,0.912020,0.806352,0.408564,0.048059
0.018000,0.107548,1277,1887,1350,2389,3503,2727,2168,3287,3113,1626,3451,3052,1729,2123,,0.385799,0.097978,0.300306,0.776173,0.940044,0.796005,0.318140,0.941038,0.832765,0.505310,0.912020,0.806352,0.408564,0.048983
0.017992,0.125541,1277,1886,1351,2389,3503,2727,2168,3287,3113,1628,3452,3051,1728,2123,,0.385799,0.097201,0.301328,0.776173,0.940044,0.796005,0.318140,0.941038,0.832765,0.507080,0.913259,0.805577,0.407672,0.048983
0.018016,0.143557,1277,1886,1351,2390,3503,2728,2168,3287,3113,1627,3452,3050,1728,2123,,0.385799,0.097201,0.301328,0.777377,0.940044,0.796610,0.318140,0.941038,0.832765,0.506195,0.913259,0.804802,0.407672,0.048983
0.017984,0.161541,1277,1886,1351,2390,3503,2728,2168,3287,3113,1627,3452,3050,1728,2123,,0.385799,0.097201,0.301328,0.777377,0.940044,0.796610,0.318140,0.941038,0.832765,0.506195,0.913259,0.804802,0.407672,0.048983
