GloveManager recording started on 11/02/16 at 16:09:48

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017529,0.017529,1149,2017,1640,2269,2512,2190,2447,2430,2875,1929,3418,3128,2103,3052,,0.234320,0.199067,0.596527,0.631769,0.206514,0.470944,0.572470,0.267296,0.562002,0.773451,0.871128,0.865221,0.742194,0.907579
0.018008,0.035537,1149,2018,1640,2269,2512,2190,2448,2430,2875,1929,3419,3128,2102,3052,,0.234320,0.199844,0.596527,0.631769,0.206514,0.470944,0.573382,0.267296,0.562002,0.773451,0.872367,0.865221,0.741302,0.907579
0.017990,0.053526,1150,2018,1640,2269,2512,2191,2448,2430,2875,1929,3418,3128,2103,3052,,0.235503,0.199844,0.596527,0.631769,0.206514,0.471550,0.573382,0.267296,0.562002,0.773451,0.871128,0.865221,0.742194,0.907579
0.018002,0.071529,1149,2018,1639,2269,2511,2190,2447,2430,2875,1930,3419,3127,2102,3052,,0.234320,0.199844,0.595506,0.631769,0.205774,0.470944,0.572470,0.267296,0.562002,0.774336,0.872367,0.864446,0.741302,0.907579
0.018001,0.089530,1150,2018,1639,2269,2511,2190,2447,2429,2875,1931,3419,3128,2102,3053,,0.235503,0.199844,0.595506,0.631769,0.205774,0.470944,0.572470,0.266509,0.562002,0.775221,0.872367,0.865221,0.741302,0.908503
0.018009,0.107539,1150,2018,1639,2269,2511,2190,2447,2429,2875,1931,3418,3127,2102,3053,,0.235503,0.200622,0.595506,0.632972,0.205033,0.470944,0.572470,0.267296,0.563140,0.775221,0.871128,0.864446,0.741302,0.908503
0.018008,0.125547,1150,2018,1639,2270,2510,2190,2447,2430,2876,1931,3418,3128,2102,3053,,0.235503,0.199844,0.595506,0.632972,0.205033,0.470944,0.572470,0.267296,0.563140,0.775221,0.871128,0.865221,0.741302,0.908503
0.017996,0.143543,1150,2018,1639,2270,2510,2190,2446,2430,2876,1929,3418,3128,2103,3053,,0.235503,0.199844,0.595506,0.632972,0.205033,0.470944,0.571559,0.267296,0.563140,0.773451,0.871128,0.865221,0.742194,0.908503
0.018000,0.161543,1150,2018,1639,2270,2510,2190,2447,2430,2876,1929,3419,3128,2110,3053,,0.235503,0.199844,0.595506,0.632972,0.205033,0.470944,0.572470,0.267296,0.563140,0.773451,0.872367,0.865221,0.748439,0.908503
0.018005,0.179549,1151,2018,1638,2270,2510,2190,2447,2430,2877,1930,3419,3128,2102,3053,,0.236686,0.199844,0.594484,0.632972,0.205033,0.470944,0.572470,0.267296,0.564278,0.774336,0.872367,0.865221,0.741302,0.908503
0.017985,0.197534,1151,2018,1638,2270,2510,2190,2447,2430,2877,1930,3419,3128,2102,3053,,0.236686,0.199844,0.594484,0.632972,0.205033,0.470944,0.572470,0.267296,0.564278,0.774336,0.872367,0.865221,0.741302,0.908503
0.017999,0.215533,1150,2018,1638,2270,2510,2189,2447,2429,2877,1930,3419,3128,2103,3052,,0.235503,0.199844,0.594484,0.632972,0.205033,0.470339,0.572470,0.266509,0.564278,0.774336,0.872367,0.865221,0.742194,0.907579
0.018004,0.233536,1150,2018,1638,2271,2509,2189,2447,2429,2877,1929,3418,3128,2103,3053,,0.235503,0.199844,0.594484,0.634176,0.204293,0.470339,0.572470,0.266509,0.564278,0.773451,0.871128,0.865221,0.742194,0.908503
0.018003,0.251540,1150,2018,1638,2270,2509,2190,2447,2429,2876,1929,3419,3128,2102,3052,,0.235503,0.199844,0.594484,0.632972,0.204293,0.470944,0.572470,0.266509,0.563140,0.773451,0.872367,0.865221,0.741302,0.907579
0.017978,0.269517,1150,2018,1639,2270,2509,2189,2447,2430,2876,1930,3418,3127,2102,3052,,0.235503,0.199844,0.595506,0.632972,0.204293,0.470339,0.572470,0.267296,0.563140,0.774336,0.871128,0.864446,0.741302,0.907579
0.018024,0.287541,1151,2018,1639,2271,2509,2189,2446,2428,2876,1929,3419,3127,2103,3052,,0.236686,0.199844,0.595506,0.634176,0.204293,0.470339,0.571559,0.265723,0.563140,0.773451,0.872367,0.864446,0.742194,0.907579
0.017994,0.305535,1151,2019,1639,2271,2509,2190,2447,2428,2876,1930,3418,3127,2104,3051,,0.236686,0.200622,0.595506,0.634176,0.204293,0.470944,0.572470,0.265723,0.563140,0.774336,0.871128,0.864446,0.743087,0.906654
0.018005,0.323540,1151,2019,1639,2271,2508,2190,2448,2428,2876,1931,3419,3127,2104,3052,,0.236686,0.200622,0.595506,0.634176,0.203553,0.470944,0.573382,0.265723,0.563140,0.775221,0.872367,0.864446,0.743087,0.907579
0.018016,0.341556,1151,2019,1639,2271,2508,2190,2448,2428,2876,1931,3419,3127,2104,3052,,0.236686,0.200622,0.595506,0.634176,0.203553,0.470944,0.573382,0.265723,0.563140,0.775221,0.872367,0.864446,0.743087,0.907579
0.017992,0.359548,1151,2019,1639,2271,2508,2189,2447,2429,2876,1931,3418,3127,2104,3051,,0.236686,0.200622,0.595506,0.634176,0.203553,0.470339,0.572470,0.266509,0.563140,0.775221,0.871128,0.864446,0.743087,0.906654
0.017996,0.377543,1152,2018,1639,2271,2507,2190,2448,2429,2877,1931,3419,3127,2104,3052,,0.237870,0.199844,0.595506,0.634176,0.202813,0.470944,0.573382,0.266509,0.564278,0.775221,0.872367,0.864446,0.743087,0.907579
0.018001,0.395544,1150,2018,1638,2271,2508,2190,2448,2429,2876,1931,3418,3128,2104,3053,,0.235503,0.199844,0.594484,0.634176,0.203553,0.470944,0.573382,0.266509,0.563140,0.775221,0.871128,0.865221,0.743087,0.908503
0.018012,0.413557,1151,2019,1639,2272,2508,2190,2447,2429,2876,1931,3419,3128,2111,3053,,0.236686,0.200622,0.595506,0.635379,0.203553,0.470944,0.572470,0.266509,0.563140,0.775221,0.872367,0.865221,0.749331,0.908503
0.017986,0.431543,1151,2018,1639,2272,2508,2189,2447,2429,2876,1931,3419,3127,2110,3052,,0.236686,0.199844,0.595506,0.635379,0.203553,0.470339,0.572470,0.266509,0.563140,0.775221,0.872367,0.864446,0.748439,0.907579
0.018010,0.449553,1151,2018,1638,2271,2507,2189,2448,2430,2876,1931,3418,3128,2104,3052,,0.236686,0.199844,0.594484,0.634176,0.202813,0.470339,0.573382,0.267296,0.563140,0.775221,0.871128,0.865221,0.743087,0.907579
0.017998,0.467551,1152,2018,1639,2272,2507,2189,2446,2429,2876,1932,3419,3128,2105,3052,,0.237870,0.199844,0.595506,0.635379,0.202813,0.470339,0.571559,0.266509,0.563140,0.776106,0.872367,0.865221,0.743979,0.907579
0.018004,0.485555,1151,2017,1639,2271,2507,2189,2447,2429,2876,1932,3418,3128,2105,3052,,0.236686,0.199067,0.595506,0.634176,0.202813,0.470339,0.572470,0.266509,0.563140,0.776106,0.871128,0.865221,0.743979,0.907579
0.017995,0.503550,1151,2017,1639,2272,2506,2188,2447,2429,2877,1932,3419,3127,2104,3052,,0.236686,0.199067,0.595506,0.635379,0.202073,0.469734,0.572470,0.266509,0.564278,0.776106,0.872367,0.864446,0.743087,0.907579
0.018016,0.521565,1151,2018,1639,2272,2506,2189,2447,2429,2877,1931,3419,3128,2105,3053,,0.236686,0.199844,0.595506,0.635379,0.202073,0.470339,0.572470,0.266509,0.564278,0.775221,0.872367,0.865221,0.743979,0.908503
0.018004,0.539570,1151,2018,1639,2272,2506,2189,2447,2429,2877,1931,3419,3128,2105,3053,,0.236686,0.199844,0.595506,0.635379,0.202073,0.470339,0.572470,0.266509,0.564278,0.775221,0.872367,0.865221,0.743979,0.908503
0.017960,0.557529,1151,2017,1639,2272,2506,2189,2447,2429,2877,1931,3419,3128,2104,3053,,0.236686,0.199067,0.595506,0.635379,0.202073,0.470339,0.572470,0.266509,0.564278,0.775221,0.872367,0.865221,0.743087,0.908503
0.018042,0.575572,1151,2017,1639,2272,2506,2189,2447,2428,2877,1932,3418,3127,2104,3054,,0.236686,0.199067,0.595506,0.635379,0.202073,0.470339,0.572470,0.265723,0.564278,0.776106,0.871128,0.864446,0.743087,0.909427
0.017993,0.593564,1151,2017,1638,2272,2505,2189,2447,2428,2877,1930,3419,3127,2103,3053,,0.236686,0.199067,0.594484,0.635379,0.201332,0.470339,0.572470,0.265723,0.564278,0.774336,0.872367,0.864446,0.742194,0.908503
0.017994,0.611558,1151,2016,1639,2273,2505,2189,2447,2427,2876,1929,3419,3128,2104,3052,,0.236686,0.198289,0.595506,0.636582,0.201332,0.470339,0.572470,0.264937,0.563140,0.773451,0.872367,0.865221,0.743087,0.907579
0.018000,0.629559,1152,2017,1639,2273,2505,2189,2447,2428,2876,1929,3419,3127,2104,3053,,0.237870,0.199067,0.595506,0.636582,0.201332,0.470339,0.572470,0.265723,0.563140,0.773451,0.872367,0.864446,0.743087,0.908503
0.017999,0.647558,1151,2016,1638,2272,2505,2190,2447,2427,2876,1929,3420,3127,2104,3052,,0.236686,0.198289,0.594484,0.635379,0.201332,0.470944,0.572470,0.264937,0.563140,0.773451,0.873606,0.864446,0.743087,0.907579
0.018000,0.665559,1152,2017,1637,2273,2504,2190,2448,2427,2876,1928,3419,3127,2103,3052,,0.237870,0.199067,0.593463,0.636582,0.200592,0.470944,0.573382,0.264937,0.563140,0.772566,0.872367,0.864446,0.742194,0.907579
0.018005,0.683564,1152,2017,1637,2273,2504,2190,2448,2427,2876,1928,3419,3127,2103,3052,,0.237870,0.199067,0.593463,0.636582,0.200592,0.470944,0.573382,0.264937,0.563140,0.772566,0.872367,0.864446,0.742194,0.907579
