GloveManager recording started on 11/02/16 at 16:10:01

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017531,0.017531,1106,1828,1260,2018,2603,2448,2480,3210,3055,1826,3435,3119,2274,3028,,0.183432,0.052100,0.208376,0.329723,0.273871,0.627119,0.602552,0.880503,0.766780,0.682301,0.892193,0.858249,0.894737,0.885397
0.018009,0.035540,1105,1828,1260,2018,2603,2449,2481,3209,3055,1827,3435,3119,2275,3028,,0.182249,0.052100,0.208376,0.329723,0.273871,0.627724,0.603464,0.879717,0.766780,0.683186,0.892193,0.858249,0.895629,0.885397
0.017990,0.053530,1104,1827,1260,2019,2603,2450,2482,3208,3055,1828,3435,3118,2276,3028,,0.181065,0.051322,0.208376,0.330927,0.273871,0.628329,0.604376,0.878931,0.766780,0.684071,0.892193,0.857475,0.896521,0.885397
0.018000,0.071531,1105,1827,1262,2019,2603,2450,2482,3209,3055,1828,3435,3119,2278,3029,,0.182249,0.051322,0.210419,0.330927,0.273871,0.628329,0.604376,0.879717,0.766780,0.684071,0.892193,0.858249,0.898305,0.886322
0.018002,0.089532,1104,1827,1262,2019,2602,2450,2482,3210,3055,1828,3436,3119,2279,3029,,0.181065,0.051322,0.210419,0.330927,0.273131,0.628329,0.604376,0.880503,0.766780,0.684071,0.893432,0.858249,0.899197,0.886322
0.018001,0.107533,1105,1828,1260,2019,2602,2451,2483,3210,3055,1828,3435,3118,2279,3028,,0.182249,0.052100,0.208376,0.330927,0.273131,0.628935,0.605287,0.880503,0.766780,0.684071,0.892193,0.857475,0.899197,0.885397
0.018001,0.125534,1104,1826,1260,2019,2602,2450,2482,3209,3055,1828,3436,3118,2279,3028,,0.181065,0.050544,0.208376,0.330927,0.273131,0.628329,0.604376,0.879717,0.766780,0.684071,0.893432,0.857475,0.899197,0.885397
0.018000,0.143534,1103,1826,1260,2020,2601,2451,2482,3210,3055,1829,3436,3118,2279,3028,,0.179882,0.050544,0.208376,0.332130,0.272391,0.628935,0.604376,0.880503,0.766780,0.684956,0.893432,0.857475,0.899197,0.885397
0.018001,0.161536,1103,1826,1261,2020,2602,2452,2482,3209,3055,1828,3436,3118,2279,3028,,0.179882,0.050544,0.209397,0.332130,0.273131,0.629540,0.604376,0.879717,0.766780,0.684071,0.893432,0.857475,0.899197,0.885397
0.017982,0.179518,1104,1827,1261,2020,2601,2451,2483,3210,3055,1829,3436,3118,2279,3028,,0.181065,0.051322,0.209397,0.332130,0.272391,0.628935,0.605287,0.880503,0.766780,0.684956,0.893432,0.857475,0.899197,0.885397
0.018019,0.197537,1104,1827,1261,2020,2601,2451,2483,3210,3055,1829,3436,3118,2279,3028,,0.181065,0.051322,0.209397,0.332130,0.272391,0.628935,0.605287,0.880503,0.766780,0.684956,0.893432,0.857475,0.899197,0.885397
0.018001,0.215538,1102,1824,1261,2019,2601,2451,2483,3210,3056,1828,3436,3119,2277,3028,,0.178698,0.048989,0.209397,0.330927,0.272391,0.628935,0.605287,0.880503,0.767918,0.684071,0.893432,0.858249,0.897413,0.885397
