GloveManager recording started on 11/02/16 at 16:10:50

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017512,0.017512,1457,1927,1184,2365,3377,2588,2230,3091,3053,1319,3351,3085,1724,2905,,0.598817,0.129082,0.130746,0.747292,0.846780,0.711864,0.374658,0.786950,0.764505,0.233628,0.788104,0.831913,0.404103,0.713066
0.018000,0.035513,1457,1925,1184,2366,3376,2588,2230,3091,3053,1319,3350,3084,1725,2905,,0.598817,0.127527,0.130746,0.748496,0.846040,0.711864,0.374658,0.786950,0.764505,0.233628,0.786865,0.831139,0.404996,0.713066
0.018000,0.053512,1458,1926,1184,2365,3376,2588,2231,3090,3053,1320,3351,3085,1725,2904,,0.600000,0.128305,0.130746,0.747292,0.846040,0.711864,0.375570,0.786164,0.764505,0.234513,0.788104,0.831913,0.404996,0.712212
0.017962,0.071475,1456,1925,1184,2365,3377,2588,2230,3090,3054,1320,3350,3085,1725,2905,,0.597633,0.127527,0.130746,0.747292,0.846780,0.711864,0.374658,0.786164,0.765643,0.234513,0.786865,0.831913,0.404996,0.713066
0.018043,0.089517,1457,1927,1185,2365,3377,2588,2231,3090,3053,1320,3351,3084,1725,2904,,0.598817,0.129082,0.131767,0.747292,0.846780,0.711864,0.375570,0.786164,0.764505,0.234513,0.788104,0.831139,0.404996,0.712212
0.017964,0.107482,1457,1926,1184,2365,3377,2588,2231,3090,3053,1319,3350,3084,1725,2904,,0.598817,0.128305,0.130746,0.747292,0.846780,0.711864,0.375570,0.786164,0.764505,0.233628,0.786865,0.831139,0.404996,0.712212
0.018028,0.125510,1457,1925,1184,2365,3376,2588,2231,3090,3053,1319,3351,3084,1725,2905,,0.598817,0.127527,0.130746,0.747292,0.846040,0.711864,0.375570,0.786164,0.764505,0.233628,0.788104,0.831139,0.404996,0.713066
0.018010,0.143519,1457,1925,1184,2366,3376,2588,2230,3090,3053,1319,3351,3085,1725,2905,,0.598817,0.127527,0.130746,0.748496,0.846040,0.711864,0.374658,0.786164,0.764505,0.233628,0.788104,0.831913,0.404996,0.713066
0.017966,0.161485,1457,1925,1184,2365,3376,2588,2231,3090,3053,1320,3350,3085,1725,2905,,0.598817,0.127527,0.130746,0.747292,0.846040,0.711864,0.375570,0.786164,0.764505,0.234513,0.786865,0.831913,0.404996,0.713066
0.018032,0.179517,1457,1926,1184,2365,3376,2589,2231,3090,3053,1319,3351,3084,1725,2904,,0.598817,0.128305,0.130746,0.747292,0.846040,0.712470,0.375570,0.786164,0.764505,0.233628,0.788104,0.831139,0.404996,0.712212
0.017971,0.197488,1457,1926,1184,2365,3376,2588,2231,3090,3053,1320,3350,3085,1725,2905,,0.598817,0.128305,0.130746,0.747292,0.846040,0.711864,0.375570,0.786164,0.764505,0.234513,0.786865,0.831913,0.404996,0.713066
0.018035,0.215524,1458,1926,1185,2365,3376,2589,2231,3090,3053,1320,3351,3085,1725,2905,,0.600000,0.128305,0.131767,0.747292,0.846040,0.712470,0.375570,0.786164,0.764505,0.234513,0.788104,0.831913,0.404996,0.713066
0.017965,0.233489,1457,1926,1184,2365,3376,2589,2231,3090,3054,1321,3351,3084,1725,2906,,0.598817,0.128305,0.130746,0.747292,0.846040,0.712470,0.375570,0.786164,0.765643,0.235398,0.788104,0.831139,0.404996,0.713920
0.018001,0.251490,1458,1926,1185,2365,3376,2589,2231,3090,3053,1320,3351,3084,1725,2905,,0.600000,0.128305,0.131767,0.747292,0.846040,0.712470,0.375570,0.786164,0.764505,0.234513,0.788104,0.831139,0.404996,0.713066
0.018030,0.269519,1458,1926,1185,2366,3376,2588,2231,3090,3053,1321,3350,3084,1726,2906,,0.600000,0.128305,0.131767,0.748496,0.846040,0.711864,0.375570,0.786164,0.764505,0.235398,0.786865,0.831139,0.405888,0.713920
0.017995,0.287514,1458,1926,1185,2365,3376,2589,2232,3089,3054,1321,3351,3085,1725,2905,,0.600000,0.128305,0.131767,0.747292,0.846040,0.712470,0.376481,0.785377,0.765643,0.235398,0.788104,0.831913,0.404996,0.713066
0.018014,0.305528,1458,1926,1185,2365,3376,2589,2231,3090,3053,1320,3350,3085,1725,2906,,0.600000,0.128305,0.131767,0.747292,0.846040,0.712470,0.375570,0.786164,0.764505,0.234513,0.786865,0.831913,0.404996,0.713920
0.017966,0.323494,1457,1926,1184,2365,3376,2589,2231,3090,3054,1320,3351,3085,1724,2904,,0.598817,0.128305,0.130746,0.747292,0.846040,0.712470,0.375570,0.786164,0.765643,0.234513,0.788104,0.831913,0.404103,0.712212
0.018026,0.341520,1457,1926,1184,2365,3376,2589,2231,3090,3054,1320,3351,3085,1724,2904,,0.598817,0.128305,0.130746,0.747292,0.846040,0.712470,0.375570,0.786164,0.765643,0.234513,0.788104,0.831913,0.404103,0.712212
0.017976,0.359496,1457,1926,1184,2364,3377,2589,2231,3090,3053,1320,3350,3085,1725,2905,,0.598817,0.128305,0.130746,0.746089,0.846780,0.712470,0.375570,0.786164,0.764505,0.234513,0.786865,0.831913,0.404996,0.713066
0.018000,0.377496,1459,1926,1184,2365,3377,2588,2230,3090,3054,1320,3351,3084,1724,2905,,0.601183,0.128305,0.130746,0.747292,0.846780,0.711864,0.374658,0.786164,0.765643,0.234513,0.788104,0.831139,0.404103,0.713066
0.018035,0.395532,1458,1926,1184,2365,3377,2588,2231,3090,3053,1319,3351,3085,1725,2906,,0.600000,0.128305,0.130746,0.747292,0.846780,0.711864,0.375570,0.786164,0.764505,0.233628,0.788104,0.831913,0.404996,0.713920
0.017999,0.413530,1458,1927,1185,2365,3377,2588,2231,3091,3054,1320,3350,3085,1725,2905,,0.600000,0.129082,0.131767,0.747292,0.846780,0.711864,0.375570,0.786950,0.765643,0.234513,0.786865,0.831913,0.404996,0.713066
0.017996,0.431526,1458,1927,1185,2364,3376,2588,2231,3089,3053,1319,3350,3085,1725,2906,,0.600000,0.129082,0.131767,0.746089,0.846040,0.711864,0.375570,0.785377,0.764505,0.233628,0.786865,0.831913,0.404996,0.713920
0.018005,0.449531,1457,1926,1184,2364,3377,2588,2229,3090,3054,1320,3351,3085,1725,2906,,0.598817,0.128305,0.130746,0.746089,0.846780,0.711864,0.373747,0.786164,0.765643,0.234513,0.788104,0.831913,0.404996,0.713920
