GloveManager recording started on 11/02/16 at 16:11:07

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017335,0.017335,1225,1882,1357,2230,2535,2443,2344,2939,2966,1373,3179,3030,1731,2439,,0.324260,0.094090,0.307457,0.584838,0.223538,0.624092,0.478578,0.667453,0.665529,0.281416,0.574969,0.789311,0.410348,0.315115
0.017980,0.035315,1226,1882,1356,2230,2535,2443,2344,2939,2966,1373,3179,3030,1731,2438,,0.325444,0.094090,0.306435,0.584838,0.223538,0.624092,0.478578,0.667453,0.665529,0.281416,0.574969,0.789311,0.410348,0.314261
0.018019,0.053334,1226,1882,1356,2230,2535,2443,2344,2939,2966,1373,3179,3030,1731,2438,,0.325444,0.094090,0.306435,0.584838,0.223538,0.624092,0.478578,0.667453,0.665529,0.281416,0.574969,0.789311,0.410348,0.314261
0.018003,0.071338,1227,1882,1357,2231,2534,2442,2343,2939,2966,1372,3179,3029,1732,2439,,0.326627,0.094090,0.307457,0.586041,0.222798,0.623487,0.477666,0.667453,0.665529,0.280531,0.574969,0.788536,0.411240,0.315115
0.018001,0.089339,1226,1882,1357,2230,2534,2443,2343,2940,2967,1372,3178,3029,1731,2439,,0.325444,0.094090,0.307457,0.584838,0.222798,0.624092,0.477666,0.668239,0.666667,0.280531,0.573730,0.788536,0.410348,0.315115
0.017977,0.107316,1225,1882,1357,2231,2534,2442,2344,2940,2967,1372,3179,3028,1731,2438,,0.324260,0.094090,0.307457,0.586041,0.222798,0.623487,0.478578,0.668239,0.666667,0.280531,0.574969,0.787761,0.410348,0.314261
0.018001,0.125317,1226,1881,1357,2230,2533,2442,2344,2940,2966,1372,3179,3029,1732,2438,,0.325444,0.093313,0.307457,0.584838,0.222058,0.623487,0.478578,0.668239,0.665529,0.280531,0.574969,0.788536,0.411240,0.314261
0.018025,0.143342,1226,1882,1357,2231,2532,2442,2343,2939,2967,1372,3179,3029,1731,2439,,0.325444,0.094090,0.307457,0.586041,0.221318,0.623487,0.477666,0.667453,0.666667,0.280531,0.574969,0.788536,0.410348,0.315115
0.018000,0.161343,1225,1881,1358,2231,2532,2442,2342,2939,2966,1372,3179,3029,1731,2438,,0.324260,0.093313,0.308478,0.586041,0.221318,0.623487,0.476755,0.667453,0.665529,0.280531,0.574969,0.788536,0.410348,0.314261
0.018001,0.179344,1225,1882,1358,2231,2532,2442,2341,2939,2966,1372,3178,3029,1731,2439,,0.324260,0.094090,0.308478,0.586041,0.221318,0.623487,0.475843,0.667453,0.665529,0.280531,0.573730,0.788536,0.410348,0.315115
0.018000,0.197345,1225,1882,1360,2231,2531,2443,2342,2940,2966,1373,3179,3029,1731,2440,,0.324260,0.094090,0.310521,0.586041,0.220577,0.624092,0.476755,0.668239,0.665529,0.281416,0.574969,0.788536,0.410348,0.315969
