GloveManager recording started on 11/02/16 at 16:12:21

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017241,0.017241,1341,2137,1478,2295,3493,2454,2619,3265,2964,1954,3454,3152,2130,3214,,0.461538,0.292379,0.431052,0.663057,0.909747,0.630751,0.729262,0.923742,0.663254,0.795575,0.866354,0.883811,0.766280,0.976943
0.017997,0.035238,1340,2137,1478,2296,3493,2455,2619,3266,2964,1955,3455,3153,2130,3215,,0.460355,0.292379,0.431052,0.664260,0.909747,0.631356,0.729262,0.924528,0.663254,0.796460,0.867526,0.884586,0.766280,0.977797
0.018012,0.053250,1341,2138,1479,2295,3493,2454,2619,3266,2963,1954,3455,3152,2129,3215,,0.461538,0.293157,0.432074,0.663057,0.909747,0.630751,0.729262,0.924528,0.662116,0.795575,0.867526,0.883811,0.765388,0.977797
0.017969,0.071219,1341,2138,1479,2295,3492,2455,2620,3266,2963,1954,3454,3153,2129,3215,,0.461538,0.293157,0.432074,0.663057,0.909025,0.631356,0.730173,0.924528,0.662116,0.795575,0.866354,0.884586,0.765388,0.977797
0.018025,0.089244,1340,2137,1478,2296,3491,2454,2620,3266,2964,1954,3454,3152,2129,3215,,0.460355,0.292379,0.431052,0.664260,0.908303,0.630751,0.730173,0.924528,0.663254,0.795575,0.866354,0.883811,0.765388,0.977797
0.018004,0.107248,1341,2138,1479,2296,3492,2454,2621,3266,2963,1954,3455,3152,2129,3215,,0.461538,0.293157,0.432074,0.664260,0.909025,0.630751,0.731085,0.924528,0.662116,0.795575,0.867526,0.883811,0.765388,0.977797
0.018000,0.125248,1341,2138,1479,2296,3492,2454,2621,3266,2963,1954,3455,3152,2129,3215,,0.461538,0.293157,0.432074,0.664260,0.909025,0.630751,0.731085,0.924528,0.662116,0.795575,0.867526,0.883811,0.765388,0.977797
0.017997,0.143244,1340,2138,1479,2296,3492,2454,2620,3265,2964,1955,3455,3152,2130,3215,,0.460355,0.293157,0.432074,0.664260,0.909025,0.630751,0.730173,0.923742,0.663254,0.796460,0.867526,0.883811,0.766280,0.977797
0.018001,0.161245,1340,2138,1478,2296,3492,2453,2620,3266,2964,1954,3454,3152,2130,3215,,0.460355,0.293157,0.431052,0.664260,0.909025,0.630145,0.730173,0.924528,0.663254,0.795575,0.866354,0.883811,0.766280,0.977797
