GloveManager recording started on 11/02/16 at 16:12:35

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017222,0.017222,1322,1897,1353,2341,2595,2594,2218,2479,3014,1956,3507,3137,2051,3172,,0.439053,0.105754,0.303371,0.718412,0.261372,0.715496,0.363719,0.305818,0.720137,0.797345,0.928488,0.872192,0.695807,0.941076
0.018048,0.035270,1322,1896,1354,2342,2595,2594,2218,2479,3014,1956,3507,3137,2051,3170,,0.439053,0.104977,0.304392,0.719615,0.261372,0.715496,0.363719,0.305818,0.720137,0.797345,0.928488,0.872192,0.695807,0.939368
0.018000,0.053269,1322,1896,1354,2342,2594,2594,2219,2478,3013,1957,3507,3136,2051,3171,,0.439053,0.104977,0.304392,0.719615,0.260650,0.715496,0.364631,0.305031,0.718999,0.798230,0.928488,0.871418,0.695807,0.940222
0.018000,0.071269,1322,1896,1354,2342,2594,2594,2219,2478,3013,1957,3507,3136,2051,3171,,0.439053,0.104977,0.304392,0.719615,0.260650,0.715496,0.364631,0.305031,0.718999,0.798230,0.928488,0.871418,0.695807,0.940222
0.018009,0.089278,1321,1896,1354,2342,2595,2594,2219,2479,3013,1957,3507,3137,2051,3170,,0.437870,0.104977,0.304392,0.719615,0.261372,0.715496,0.364631,0.305818,0.718999,0.798230,0.928488,0.872192,0.695807,0.939368
0.018000,0.107277,1322,1896,1352,2341,2594,2594,2217,2478,3014,1956,3507,3137,2052,3171,,0.439053,0.104977,0.302349,0.718412,0.260650,0.715496,0.362808,0.305031,0.720137,0.797345,0.928488,0.872192,0.696699,0.940222
0.017974,0.125252,1322,1896,1353,2341,2594,2594,2219,2478,3014,1956,3507,3136,2050,3171,,0.439053,0.104977,0.303371,0.718412,0.260650,0.715496,0.364631,0.305031,0.720137,0.797345,0.928488,0.871418,0.694915,0.940222
0.018022,0.143274,1321,1896,1352,2342,2594,2594,2218,2477,3013,1957,3507,3137,2051,3171,,0.437870,0.104977,0.302349,0.719615,0.260650,0.715496,0.363719,0.304245,0.718999,0.798230,0.928488,0.872192,0.695807,0.940222
0.017986,0.161260,1322,1895,1352,2342,2594,2594,2219,2477,3013,1957,3507,3137,2051,3172,,0.439053,0.104199,0.302349,0.719615,0.260650,0.715496,0.364631,0.304245,0.718999,0.798230,0.928488,0.872192,0.695807,0.941076
0.018024,0.179284,1322,1896,1352,2342,2594,2594,2218,2477,3013,1956,3506,3136,2049,3171,,0.439053,0.104977,0.302349,0.719615,0.260650,0.715496,0.363719,0.304245,0.718999,0.797345,0.927315,0.871418,0.694023,0.940222
0.017994,0.197277,1322,1896,1352,2342,2594,2595,2219,2477,3013,1955,3507,3137,2050,3171,,0.439053,0.104977,0.302349,0.719615,0.260650,0.716102,0.364631,0.304245,0.718999,0.796460,0.928488,0.872192,0.694915,0.940222
0.018006,0.215284,1322,1895,1352,2342,2594,2594,2219,2476,3013,1955,3506,3137,2050,3170,,0.439053,0.104199,0.302349,0.719615,0.260650,0.715496,0.364631,0.303459,0.718999,0.796460,0.927315,0.872192,0.694915,0.939368
0.018001,0.233284,1321,1895,1352,2341,2594,2594,2219,2476,3013,1956,3507,3137,2049,3171,,0.437870,0.104199,0.302349,0.718412,0.260650,0.715496,0.364631,0.303459,0.718999,0.797345,0.928488,0.872192,0.694023,0.940222
