GloveManager recording started on 11/02/16 at 16:13:03

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017485,0.017485,1219,1856,1326,2103,2404,2325,2013,2253,3117,1196,3085,3013,1745,3213,,0.317160,0.073872,0.275792,0.432010,0.123466,0.552663,0.176846,0.128145,0.837315,0.124779,0.433763,0.776143,0.422837,0.976089
0.017997,0.035482,1219,1856,1325,2104,2403,2325,2013,2253,3118,1196,3084,3012,1745,3213,,0.317160,0.073872,0.274770,0.433213,0.122744,0.552663,0.176846,0.128145,0.838453,0.124779,0.432591,0.775368,0.422837,0.976089
0.018008,0.053490,1219,1856,1325,2104,2403,2325,2013,2253,3118,1196,3084,3012,1745,3213,,0.317160,0.073872,0.274770,0.433213,0.122744,0.552663,0.176846,0.128145,0.838453,0.124779,0.432591,0.775368,0.422837,0.976089
0.018000,0.071489,1219,1856,1325,2104,2404,2325,2014,2253,3117,1195,3084,3013,1745,3214,,0.317160,0.073872,0.274770,0.433213,0.123466,0.552663,0.177758,0.128145,0.837315,0.123894,0.432591,0.776143,0.422837,0.976943
0.018010,0.089500,1219,1856,1325,2104,2404,2325,2014,2253,3117,1195,3084,3013,1745,3214,,0.317160,0.073872,0.274770,0.433213,0.123466,0.552663,0.177758,0.128145,0.837315,0.123894,0.432591,0.776143,0.422837,0.976943
0.018000,0.107500,1219,1856,1325,2103,2403,2325,2014,2251,3117,1195,3084,3012,1745,3214,,0.317160,0.073872,0.274770,0.432010,0.122744,0.552663,0.177758,0.126572,0.837315,0.123894,0.432591,0.775368,0.422837,0.976943
0.017994,0.125493,1219,1856,1325,2104,2403,2325,2013,2252,3117,1195,3084,3012,1746,3214,,0.317160,0.073872,0.274770,0.433213,0.122744,0.552663,0.176846,0.127358,0.837315,0.123894,0.432591,0.775368,0.423729,0.976943
0.018001,0.143494,1219,1856,1325,2103,2403,2324,2013,2252,3116,1195,3084,3012,1746,3213,,0.317160,0.073872,0.274770,0.432010,0.122744,0.552058,0.176846,0.127358,0.836177,0.123894,0.432591,0.775368,0.423729,0.976089
0.017998,0.161492,1220,1856,1325,2104,2404,2326,2013,2251,3117,1196,3084,3012,1746,3213,,0.318343,0.073872,0.274770,0.433213,0.123466,0.553269,0.176846,0.126572,0.837315,0.124779,0.432591,0.775368,0.423729,0.976089
0.018003,0.179495,1220,1856,1326,2104,2403,2325,2013,2251,3117,1195,3083,3012,1746,3213,,0.318343,0.073872,0.275792,0.433213,0.122744,0.552663,0.176846,0.126572,0.837315,0.123894,0.431419,0.775368,0.423729,0.976089
0.018000,0.197495,1220,1856,1325,2103,2403,2325,2012,2252,3116,1196,3083,3011,1746,3213,,0.318343,0.073872,0.274770,0.432010,0.122744,0.552663,0.175934,0.127358,0.836177,0.124779,0.431419,0.774593,0.423729,0.976089
0.018000,0.215494,1220,1856,1326,2104,2403,2325,2014,2251,3117,1196,3083,3012,1746,3212,,0.318343,0.073872,0.275792,0.433213,0.122744,0.552663,0.177758,0.126572,0.837315,0.124779,0.431419,0.775368,0.423729,0.975235
