GloveManager recording started on 11/02/16 at 16:13:21

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017547,0.017547,1371,2141,1536,2317,3232,2488,2318,3022,3070,1438,3391,3054,1723,3150,,0.497041,0.295490,0.490296,0.689531,0.721300,0.651332,0.454877,0.732704,0.783845,0.338938,0.792497,0.807901,0.403211,0.922289
0.018013,0.035560,1371,2141,1536,2317,3231,2489,2318,3022,3070,1437,3391,3054,1723,3151,,0.497041,0.295490,0.490296,0.689531,0.720578,0.651937,0.454877,0.732704,0.783845,0.338053,0.792497,0.807901,0.403211,0.923143
0.017988,0.053548,1371,2141,1536,2317,3232,2488,2317,3022,3071,1437,3390,3054,1724,3151,,0.497041,0.295490,0.490296,0.689531,0.721300,0.651332,0.453965,0.732704,0.784983,0.338053,0.791325,0.807901,0.404103,0.923143
0.018002,0.071550,1371,2141,1536,2318,3231,2489,2318,3021,3071,1438,3390,3055,1723,3151,,0.497041,0.295490,0.490296,0.690734,0.720578,0.651937,0.454877,0.731918,0.784983,0.338938,0.791325,0.808675,0.403211,0.923143
0.018001,0.089552,1370,2141,1535,2318,3232,2490,2318,3022,3071,1437,3391,3054,1723,3151,,0.495858,0.295490,0.489275,0.690734,0.721300,0.652542,0.454877,0.732704,0.784983,0.338053,0.792497,0.807901,0.403211,0.923143
0.017999,0.107551,1372,2141,1535,2319,3232,2491,2317,3021,3071,1436,3391,3053,1723,3151,,0.498225,0.295490,0.489275,0.691937,0.721300,0.653148,0.453965,0.731918,0.784983,0.337168,0.792497,0.807126,0.403211,0.923143
0.018013,0.125564,1371,2141,1535,2319,3232,2492,2318,3021,3070,1437,3391,3054,1722,3151,,0.497041,0.295490,0.489275,0.691937,0.721300,0.653753,0.454877,0.731918,0.783845,0.338053,0.792497,0.807901,0.402319,0.923143
0.018000,0.143565,1371,2141,1535,2320,3232,2491,2317,3021,3070,1436,3391,3054,1722,3152,,0.497041,0.295490,0.489275,0.693141,0.721300,0.653148,0.453965,0.731918,0.783845,0.337168,0.792497,0.807901,0.402319,0.923997
0.017963,0.161528,1372,2141,1534,2320,3232,2493,2318,3021,3070,1436,3391,3054,1724,3151,,0.498225,0.295490,0.488253,0.693141,0.721300,0.654358,0.454877,0.731918,0.783845,0.337168,0.792497,0.807901,0.404103,0.923143
