GloveManager recording started on 10/20/16 at 16:09:48

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017282,0.017282,1330,1996,1166,2192,2739,2287,2028,2567,2944,1116,3031,2924,1522,2254,,0.660170,0.253930,0.051661,0.544633,0.493151,0.673112,0.218627,0.443114,0.908235,0.085635,0.431959,0.848044,0.164414,0.195839
0.017992,0.035274,1330,1996,1165,2193,2738,2286,2028,2566,2943,1117,3031,2923,1523,2254,,0.660170,0.253930,0.050738,0.545763,0.492466,0.672508,0.218627,0.442365,0.907059,0.086556,0.431959,0.847134,0.165541,0.195839
0.017978,0.053251,1330,1995,1166,2193,2739,2287,2029,2566,2943,1117,3031,2924,1524,2253,,0.660170,0.252721,0.051661,0.545763,0.493151,0.673112,0.219608,0.442365,0.907059,0.086556,0.431959,0.848044,0.166667,0.195122
0.018006,0.071258,1331,2000,1166,2193,2739,2287,2029,2565,2943,1118,3033,2923,1524,2255,,0.661389,0.258767,0.051661,0.545763,0.493151,0.673112,0.219608,0.441617,0.907059,0.087477,0.434021,0.847134,0.166667,0.196557
0.017999,0.089257,1332,2002,1166,2192,2738,2287,2030,2563,2942,1118,3032,2923,1523,2254,,0.662607,0.261185,0.051661,0.544633,0.492466,0.673112,0.220588,0.440120,0.905882,0.087477,0.432990,0.847134,0.165541,0.195839
0.018044,0.107301,1333,2003,1166,2193,2739,2286,2029,2563,2943,1118,3032,2923,1522,2253,,0.663825,0.262394,0.051661,0.545763,0.493151,0.672508,0.219608,0.440120,0.907059,0.087477,0.432990,0.847134,0.164414,0.195122
0.017994,0.125296,1334,2003,1166,2192,2739,2286,2029,2562,2942,1117,3032,2923,1522,2255,,0.665043,0.262394,0.051661,0.544633,0.493151,0.672508,0.219608,0.439371,0.905882,0.086556,0.432990,0.847134,0.164414,0.196557
0.018022,0.143318,1334,2004,1166,2193,2740,2286,2030,2561,2943,1118,3032,2923,1522,2255,,0.665043,0.263603,0.051661,0.545763,0.493836,0.672508,0.220588,0.438623,0.907059,0.087477,0.432990,0.847134,0.164414,0.196557
0.017967,0.161285,1334,2004,1166,2193,2740,2286,2030,2561,2943,1118,3032,2923,1522,2255,,0.665043,0.263603,0.051661,0.545763,0.493836,0.672508,0.220588,0.438623,0.907059,0.087477,0.432990,0.847134,0.164414,0.196557
0.018003,0.179288,1334,2003,1166,2193,2739,2285,2030,2560,2942,1119,3032,2923,1523,2255,,0.665043,0.262394,0.051661,0.545763,0.493151,0.671903,0.220588,0.437874,0.905882,0.088398,0.432990,0.847134,0.165541,0.196557
0.018017,0.197305,1333,2002,1166,2192,2740,2286,2030,2561,2942,1119,3032,2922,1523,2255,,0.663825,0.261185,0.051661,0.544633,0.493836,0.672508,0.220588,0.438623,0.905882,0.088398,0.432990,0.846224,0.165541,0.196557
0.017979,0.215283,1334,2002,1165,2191,2739,2285,2029,2562,2942,1119,3032,2923,1524,2255,,0.665043,0.261185,0.050738,0.543503,0.493151,0.671903,0.219608,0.439371,0.905882,0.088398,0.432990,0.847134,0.166667,0.196557
0.018016,0.233299,1334,2002,1165,2191,2739,2285,2029,2562,2942,1119,3032,2923,1524,2255,,0.665043,0.261185,0.050738,0.543503,0.493151,0.671903,0.219608,0.439371,0.905882,0.088398,0.432990,0.847134,0.166667,0.196557
0.018000,0.251299,1333,2003,1166,2192,2738,2285,2029,2561,2942,1118,3031,2923,1524,2254,,0.663825,0.262394,0.051661,0.544633,0.492466,0.671903,0.219608,0.438623,0.905882,0.087477,0.431959,0.847134,0.166667,0.195839
0.018002,0.269301,1333,2003,1166,2192,2739,2286,2029,2561,2943,1119,3032,2922,1523,2255,,0.663825,0.262394,0.051661,0.544633,0.493151,0.672508,0.219608,0.438623,0.907059,0.088398,0.432990,0.846224,0.165541,0.196557
0.017961,0.287263,1334,2005,1165,2191,2740,2286,2029,2562,2942,1119,3032,2923,1524,2255,,0.665043,0.264813,0.050738,0.543503,0.493836,0.672508,0.219608,0.439371,0.905882,0.088398,0.432990,0.847134,0.166667,0.196557
0.018028,0.305291,1334,2005,1166,2192,2739,2286,2028,2561,2941,1119,3032,2923,1524,2255,,0.665043,0.264813,0.051661,0.544633,0.493151,0.672508,0.218627,0.438623,0.904706,0.088398,0.432990,0.847134,0.166667,0.196557
0.018005,0.323295,1333,2004,1165,2191,2740,2286,2030,2561,2942,1120,3032,2923,1524,2255,,0.663825,0.263603,0.050738,0.543503,0.493836,0.672508,0.220588,0.438623,0.905882,0.089319,0.432990,0.847134,0.166667,0.196557
0.017997,0.341293,1334,2004,1165,2191,2739,2285,2029,2561,2943,1119,3032,2923,1524,2255,,0.665043,0.263603,0.050738,0.543503,0.493151,0.671903,0.219608,0.438623,0.907059,0.088398,0.432990,0.847134,0.166667,0.196557
0.018004,0.359297,1334,2004,1166,2191,2739,2285,2029,2562,2942,1119,3032,2923,1525,2255,,0.665043,0.263603,0.051661,0.543503,0.493151,0.671903,0.219608,0.439371,0.905882,0.088398,0.432990,0.847134,0.167793,0.196557
0.018013,0.377310,1335,2006,1166,2191,2739,2286,2030,2561,2941,1119,3032,2922,1524,2255,,0.666261,0.266022,0.051661,0.543503,0.493151,0.672508,0.220588,0.438623,0.904706,0.088398,0.432990,0.846224,0.166667,0.196557
0.017985,0.395294,1334,2006,1166,2191,2739,2285,2029,2561,2942,1120,3032,2923,1524,2255,,0.665043,0.266022,0.051661,0.543503,0.493151,0.671903,0.219608,0.438623,0.905882,0.089319,0.432990,0.847134,0.166667,0.196557
0.018003,0.413298,1334,2005,1166,2192,2739,2285,2029,2562,2942,1119,3032,2922,1523,2254,,0.665043,0.264813,0.051661,0.544633,0.493151,0.671903,0.219608,0.439371,0.905882,0.088398,0.432990,0.846224,0.165541,0.195839
0.018000,0.431298,1334,2004,1166,2191,2738,2285,2029,2561,2942,1120,3032,2922,1523,2254,,0.665043,0.263603,0.051661,0.543503,0.492466,0.671903,0.219608,0.438623,0.905882,0.089319,0.432990,0.846224,0.165541,0.195839
0.018016,0.449314,1334,2002,1167,2191,2739,2285,2029,2561,2942,1119,3032,2922,1523,2254,,0.665043,0.261185,0.052583,0.543503,0.493151,0.671903,0.219608,0.438623,0.905882,0.088398,0.432990,0.846224,0.165541,0.195839
0.017980,0.467294,1334,2002,1167,2191,2740,2286,2029,2562,2942,1120,3032,2922,1523,2255,,0.665043,0.261185,0.052583,0.543503,0.493836,0.672508,0.219608,0.439371,0.905882,0.089319,0.432990,0.846224,0.165541,0.196557
0.018010,0.485303,1333,2001,1167,2191,2739,2286,2030,2564,2943,1120,3032,2922,1522,2254,,0.663825,0.259976,0.052583,0.543503,0.493151,0.672508,0.220588,0.440868,0.907059,0.089319,0.432990,0.846224,0.164414,0.195839
0.017982,0.503286,1334,2001,1168,2189,2740,2285,2028,2564,2942,1119,3033,2922,1521,2254,,0.665043,0.259976,0.053506,0.541243,0.493836,0.671903,0.218627,0.440868,0.905882,0.088398,0.434021,0.846224,0.163288,0.195839
0.018021,0.521306,1332,1999,1167,2189,2739,2285,2029,2565,2942,1119,3032,2922,1521,2254,,0.662607,0.257557,0.052583,0.541243,0.493151,0.671903,0.219608,0.441617,0.905882,0.088398,0.432990,0.846224,0.163288,0.195839
0.017971,0.539278,1333,2000,1168,2189,2739,2285,2027,2566,2943,1119,3033,2922,1522,2255,,0.663825,0.258767,0.053506,0.541243,0.493151,0.671903,0.217647,0.442365,0.907059,0.088398,0.434021,0.846224,0.164414,0.196557
0.018009,0.557287,1333,2000,1168,2189,2739,2285,2027,2566,2943,1119,3033,2922,1522,2255,,0.663825,0.258767,0.053506,0.541243,0.493151,0.671903,0.217647,0.442365,0.907059,0.088398,0.434021,0.846224,0.164414,0.196557
0.017997,0.575284,1334,2001,1168,2189,2739,2285,2028,2567,2942,1120,3033,2922,1522,2255,,0.665043,0.259976,0.053506,0.541243,0.493151,0.671903,0.218627,0.443114,0.905882,0.089319,0.434021,0.846224,0.164414,0.196557
0.018044,0.593328,1333,2001,1168,2189,2739,2284,2028,2567,2943,1119,3033,2921,1522,2255,,0.663825,0.259976,0.053506,0.541243,0.493151,0.671299,0.218627,0.443114,0.907059,0.088398,0.434021,0.845314,0.164414,0.196557
0.017985,0.611313,1333,2001,1167,2189,2738,2284,2028,2568,2943,1119,3034,2921,1522,2255,,0.663825,0.259976,0.052583,0.541243,0.492466,0.671299,0.218627,0.443862,0.907059,0.088398,0.435052,0.845314,0.164414,0.196557
0.018024,0.629338,1333,2001,1167,2189,2739,2284,2028,2568,2942,1119,3033,2921,1520,2255,,0.663825,0.259976,0.052583,0.541243,0.493151,0.671299,0.218627,0.443862,0.905882,0.088398,0.434021,0.845314,0.162162,0.196557
0.017971,0.647308,1333,2000,1167,2189,2739,2284,2028,2568,2943,1119,3034,2921,1521,2255,,0.663825,0.258767,0.052583,0.541243,0.493151,0.671299,0.218627,0.443862,0.907059,0.088398,0.435052,0.845314,0.163288,0.196557
0.018000,0.665308,1332,2000,1167,2188,2739,2284,2028,2570,2943,1119,3034,2922,1519,2256,,0.662607,0.258767,0.052583,0.540113,0.493151,0.671299,0.218627,0.445359,0.907059,0.088398,0.435052,0.846224,0.161036,0.197274
0.017981,0.683289,1332,2001,1168,2188,2739,2284,2027,2571,2942,1119,3034,2921,1520,2256,,0.662607,0.259976,0.053506,0.540113,0.493151,0.671299,0.217647,0.446108,0.905882,0.088398,0.435052,0.845314,0.162162,0.197274
0.018061,0.701350,1333,2000,1167,2188,2740,2284,2028,2572,2943,1120,3035,2922,1520,2255,,0.663825,0.258767,0.052583,0.540113,0.493836,0.671299,0.218627,0.446856,0.907059,0.089319,0.436082,0.846224,0.162162,0.196557
0.017970,0.719320,1332,2000,1166,2188,2739,2284,2028,2573,2943,1119,3035,2921,1520,2256,,0.662607,0.258767,0.051661,0.540113,0.493151,0.671299,0.218627,0.447605,0.907059,0.088398,0.436082,0.845314,0.162162,0.197274
0.018030,0.737349,1332,2001,1167,2188,2740,2284,2027,2572,2943,1119,3034,2922,1520,2256,,0.662607,0.259976,0.052583,0.540113,0.493836,0.671299,0.217647,0.446856,0.907059,0.088398,0.435052,0.846224,0.162162,0.197274
0.017964,0.755313,1333,2000,1166,2188,2739,2284,2027,2573,2943,1119,3035,2921,1520,2256,,0.663825,0.258767,0.051661,0.540113,0.493151,0.671299,0.217647,0.447605,0.907059,0.088398,0.436082,0.845314,0.162162,0.197274
0.018006,0.773320,1333,2002,1168,2188,2739,2284,2027,2573,2942,1119,3035,2921,1520,2256,,0.663825,0.261185,0.053506,0.540113,0.493151,0.671299,0.217647,0.447605,0.905882,0.088398,0.436082,0.845314,0.162162,0.197274
0.018006,0.791325,1332,2002,1168,2188,2739,2284,2028,2574,2943,1120,3034,2920,1519,2256,,0.662607,0.261185,0.053506,0.540113,0.493151,0.671299,0.218627,0.448353,0.907059,0.089319,0.435052,0.844404,0.161036,0.197274
0.017986,0.809311,1333,2002,1167,2188,2740,2285,2028,2574,2943,1120,3035,2921,1519,2257,,0.663825,0.261185,0.052583,0.540113,0.493836,0.671903,0.218627,0.448353,0.907059,0.089319,0.436082,0.845314,0.161036,0.197991
0.018004,0.827315,1333,2001,1168,2188,2740,2283,2027,2574,2942,1119,3035,2921,1518,2256,,0.663825,0.259976,0.053506,0.540113,0.493836,0.670695,0.217647,0.448353,0.905882,0.088398,0.436082,0.845314,0.159910,0.197274
0.018004,0.845319,1332,2001,1167,2187,2740,2283,2027,2575,2943,1119,3035,2921,1518,2256,,0.662607,0.259976,0.052583,0.538983,0.493836,0.670695,0.217647,0.449102,0.907059,0.088398,0.436082,0.845314,0.159910,0.197274
0.018001,0.863320,1333,2003,1167,2186,2741,2284,2026,2575,2943,1120,3035,2921,1518,2257,,0.663825,0.262394,0.052583,0.537853,0.494521,0.671299,0.216667,0.449102,0.907059,0.089319,0.436082,0.845314,0.159910,0.197991
0.017999,0.881319,1334,2003,1169,2186,2741,2284,2026,2576,2943,1120,3035,2921,1517,2257,,0.665043,0.262394,0.054428,0.537853,0.494521,0.671299,0.216667,0.449850,0.907059,0.089319,0.436082,0.845314,0.158784,0.197991
0.018016,0.899335,1333,2003,1168,2186,2741,2283,2027,2576,2944,1120,3036,2922,1519,2257,,0.663825,0.262394,0.053506,0.537853,0.494521,0.670695,0.217647,0.449850,0.908235,0.089319,0.437113,0.846224,0.161036,0.197991
0.017992,0.917327,1333,2004,1168,2186,2741,2284,2027,2576,2943,1120,3035,2921,1519,2257,,0.663825,0.263603,0.053506,0.537853,0.494521,0.671299,0.217647,0.449850,0.907059,0.089319,0.436082,0.845314,0.161036,0.197991
0.018007,0.935334,1334,2004,1167,2185,2741,2284,2026,2576,2944,1119,3036,2921,1519,2257,,0.665043,0.263603,0.052583,0.536723,0.494521,0.671299,0.216667,0.449850,0.908235,0.088398,0.437113,0.845314,0.161036,0.197991
0.017986,0.953320,1334,2004,1167,2185,2741,2283,2025,2576,2943,1119,3036,2921,1520,2257,,0.665043,0.263603,0.052583,0.536723,0.494521,0.670695,0.215686,0.449850,0.907059,0.088398,0.437113,0.845314,0.162162,0.197991
0.017999,0.971320,1334,2005,1168,2185,2741,2283,2027,2577,2943,1121,3036,2921,1519,2257,,0.665043,0.264813,0.053506,0.536723,0.494521,0.670695,0.217647,0.450599,0.907059,0.090239,0.437113,0.845314,0.161036,0.197991
0.018004,0.989323,1334,2005,1168,2185,2741,2283,2027,2577,2943,1121,3036,2921,1519,2257,,0.665043,0.264813,0.053506,0.536723,0.494521,0.670695,0.217647,0.450599,0.907059,0.090239,0.437113,0.845314,0.161036,0.197991
0.018002,1.007326,1334,2004,1167,2185,2740,2284,2026,2577,2943,1120,3035,2920,1520,2257,,0.665043,0.263603,0.052583,0.536723,0.493836,0.671299,0.216667,0.450599,0.907059,0.089319,0.436082,0.844404,0.162162,0.197991
0.018005,1.025330,1334,2004,1167,2185,2740,2284,2026,2579,2943,1120,3036,2920,1520,2258,,0.665043,0.263603,0.052583,0.536723,0.493836,0.671299,0.216667,0.452096,0.907059,0.089319,0.437113,0.844404,0.162162,0.198709
0.017998,1.043328,1333,2004,1167,2185,2740,2283,2026,2578,2943,1120,3036,2921,1521,2257,,0.663825,0.263603,0.052583,0.536723,0.493836,0.670695,0.216667,0.451347,0.907059,0.089319,0.437113,0.845314,0.163288,0.197991
0.018007,1.061335,1334,2004,1167,2185,2740,2282,2026,2579,2943,1120,3036,2919,1521,2257,,0.665043,0.263603,0.052583,0.536723,0.493836,0.670091,0.216667,0.452096,0.907059,0.089319,0.437113,0.843494,0.163288,0.197991
0.017959,1.079294,1334,2004,1167,2184,2740,2282,2025,2578,2943,1120,3035,2921,1520,2258,,0.665043,0.263603,0.052583,0.535593,0.493836,0.670091,0.215686,0.451347,0.907059,0.089319,0.436082,0.845314,0.162162,0.198709
0.018028,1.097322,1333,2004,1167,2184,2740,2282,2025,2579,2944,1120,3036,2920,1522,2258,,0.663825,0.263603,0.052583,0.535593,0.493836,0.670091,0.215686,0.452096,0.908235,0.089319,0.437113,0.844404,0.164414,0.198709
0.018000,1.115322,1334,2005,1167,2184,2740,2283,2025,2580,2944,1120,3036,2921,1520,2258,,0.665043,0.264813,0.052583,0.535593,0.493836,0.670695,0.215686,0.452844,0.908235,0.089319,0.437113,0.845314,0.162162,0.198709
0.018027,1.133349,1334,2005,1168,2183,2740,2282,2025,2580,2944,1120,3036,2920,1520,2258,,0.665043,0.264813,0.053506,0.534463,0.493836,0.670091,0.215686,0.452844,0.908235,0.089319,0.437113,0.844404,0.162162,0.198709
0.017983,1.151331,1333,2005,1168,2183,2740,2282,2024,2581,2943,1121,3036,2919,1520,2258,,0.663825,0.264813,0.053506,0.534463,0.493836,0.670091,0.214706,0.453593,0.907059,0.090239,0.437113,0.843494,0.162162,0.198709
0.018015,1.169346,1334,2005,1168,2182,2740,2282,2024,2582,2943,1120,3037,2920,1519,2258,,0.665043,0.264813,0.053506,0.533333,0.493836,0.670091,0.214706,0.454341,0.907059,0.089319,0.438144,0.844404,0.161036,0.198709
0.017999,1.187346,1333,2005,1168,2183,2740,2281,2024,2583,2944,1121,3037,2919,1519,2259,,0.663825,0.264813,0.053506,0.534463,0.493836,0.669486,0.214706,0.455090,0.908235,0.090239,0.438144,0.843494,0.161036,0.199426
0.017991,1.205337,1333,2005,1168,2183,2740,2281,2024,2583,2944,1121,3037,2919,1519,2259,,0.663825,0.264813,0.053506,0.534463,0.493836,0.669486,0.214706,0.455090,0.908235,0.090239,0.438144,0.843494,0.161036,0.199426
