GloveManager recording started on 10/20/16 at 16:09:58

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017351,0.017351,1334,2089,1174,2000,2253,1795,2420,2819,2806,1296,3172,2910,1669,2447,,0.665043,0.366385,0.059041,0.327684,0.160274,0.375831,0.602941,0.631737,0.745882,0.251381,0.577320,0.835305,0.329955,0.334290
0.017989,0.035339,1334,2089,1174,2000,2253,1795,2420,2819,2806,1296,3172,2910,1669,2447,,0.665043,0.366385,0.059041,0.327684,0.160274,0.375831,0.602941,0.631737,0.745882,0.251381,0.577320,0.835305,0.329955,0.334290
0.017998,0.053337,1335,2090,1174,2001,2251,1796,2420,2820,2806,1296,3172,2909,1669,2447,,0.666261,0.367594,0.059041,0.328814,0.158904,0.376435,0.602941,0.632485,0.745882,0.251381,0.577320,0.834395,0.329955,0.334290
0.018001,0.071339,1335,2090,1174,2001,2251,1796,2420,2820,2806,1296,3172,2909,1669,2447,,0.666261,0.367594,0.059041,0.328814,0.158904,0.376435,0.602941,0.632485,0.745882,0.251381,0.577320,0.834395,0.329955,0.334290
0.018010,0.089349,1336,2090,1175,2002,2250,1797,2422,2819,2806,1296,3172,2910,1671,2447,,0.667479,0.367594,0.059963,0.329944,0.158219,0.377039,0.604902,0.631737,0.745882,0.251381,0.577320,0.835305,0.332207,0.334290
0.018000,0.107349,1336,2090,1175,2002,2250,1797,2422,2819,2806,1296,3172,2910,1671,2447,,0.667479,0.367594,0.059963,0.329944,0.158219,0.377039,0.604902,0.631737,0.745882,0.251381,0.577320,0.835305,0.332207,0.334290
0.017994,0.125343,1336,2091,1175,2002,2251,1798,2423,2821,2806,1298,3172,2911,1670,2447,,0.667479,0.368803,0.059963,0.329944,0.158904,0.377643,0.605882,0.633234,0.745882,0.253223,0.577320,0.836215,0.331081,0.334290
0.018009,0.143352,1336,2090,1175,2002,2250,1798,2423,2820,2806,1298,3172,2910,1670,2447,,0.667479,0.367594,0.059963,0.329944,0.158219,0.377643,0.605882,0.632485,0.745882,0.253223,0.577320,0.835305,0.331081,0.334290
0.017999,0.161351,1336,2091,1175,2003,2250,1798,2422,2821,2806,1297,3172,2911,1670,2446,,0.667479,0.368803,0.059963,0.331073,0.158219,0.377643,0.604902,0.633234,0.745882,0.252302,0.577320,0.836215,0.331081,0.333572
0.018001,0.179352,1336,2091,1175,2004,2248,1800,2423,2820,2806,1299,3172,2909,1670,2447,,0.667479,0.368803,0.059963,0.332203,0.156849,0.378852,0.605882,0.632485,0.745882,0.254144,0.577320,0.834395,0.331081,0.334290
0.018006,0.197358,1335,2090,1175,2004,2247,1800,2423,2821,2806,1298,3172,2910,1670,2446,,0.666261,0.367594,0.059963,0.332203,0.156164,0.378852,0.605882,0.633234,0.745882,0.253223,0.577320,0.835305,0.331081,0.333572
0.017987,0.215345,1336,2090,1174,2004,2246,1800,2423,2821,2806,1298,3171,2910,1669,2446,,0.667479,0.367594,0.059041,0.332203,0.155479,0.378852,0.605882,0.633234,0.745882,0.253223,0.576289,0.835305,0.329955,0.333572
0.018005,0.233350,1335,2090,1174,2005,2246,1801,2423,2821,2807,1299,3172,2910,1670,2446,,0.666261,0.367594,0.059041,0.333333,0.155479,0.379456,0.605882,0.633234,0.747059,0.254144,0.577320,0.835305,0.331081,0.333572
0.018009,0.251359,1335,2090,1174,2006,2245,1803,2423,2821,2807,1298,3171,2910,1670,2445,,0.666261,0.367594,0.059041,0.334463,0.154795,0.380665,0.605882,0.633234,0.747059,0.253223,0.576289,0.835305,0.331081,0.332855
0.017992,0.269351,1335,2090,1174,2006,2245,1803,2423,2821,2807,1298,3171,2910,1670,2445,,0.666261,0.367594,0.059041,0.334463,0.154795,0.380665,0.605882,0.633234,0.747059,0.253223,0.576289,0.835305,0.331081,0.332855
0.018011,0.287362,1335,2090,1174,2006,2244,1804,2424,2820,2807,1299,3171,2910,1670,2443,,0.666261,0.367594,0.059041,0.334463,0.154110,0.381269,0.606863,0.632485,0.747059,0.254144,0.576289,0.835305,0.331081,0.331420
0.017989,0.305351,1335,2088,1175,2007,2243,1805,2424,2819,2807,1298,3170,2910,1670,2444,,0.666261,0.365175,0.059963,0.335593,0.153425,0.381873,0.606863,0.631737,0.747059,0.253223,0.575258,0.835305,0.331081,0.332138
0.018002,0.323353,1335,2088,1175,2007,2243,1805,2423,2820,2808,1299,3170,2911,1669,2444,,0.666261,0.365175,0.059963,0.335593,0.153425,0.381873,0.605882,0.632485,0.748235,0.254144,0.575258,0.836215,0.329955,0.332138
0.018025,0.341378,1335,2088,1174,2007,2242,1806,2424,2820,2807,1299,3170,2910,1670,2444,,0.666261,0.365175,0.059041,0.335593,0.152740,0.382477,0.606863,0.632485,0.747059,0.254144,0.575258,0.835305,0.331081,0.332138
0.017967,0.359345,1335,2087,1175,2008,2241,1807,2424,2820,2808,1299,3169,2910,1669,2444,,0.666261,0.363966,0.059963,0.336723,0.152055,0.383082,0.606863,0.632485,0.748235,0.254144,0.574227,0.835305,0.329955,0.332138
0.017989,0.377334,1334,2086,1174,2008,2241,1807,2423,2819,2808,1298,3169,2910,1669,2444,,0.665043,0.362757,0.059041,0.336723,0.152055,0.383082,0.605882,0.631737,0.748235,0.253223,0.574227,0.835305,0.329955,0.332138
0.018011,0.395345,1333,2085,1174,2008,2241,1807,2423,2819,2809,1298,3169,2910,1669,2443,,0.663825,0.361548,0.059041,0.336723,0.152055,0.383082,0.605882,0.631737,0.749412,0.253223,0.574227,0.835305,0.329955,0.331420
0.018020,0.413365,1333,2085,1174,2008,2241,1807,2423,2819,2809,1298,3169,2910,1669,2443,,0.663825,0.361548,0.059041,0.336723,0.152055,0.383082,0.605882,0.631737,0.749412,0.253223,0.574227,0.835305,0.329955,0.331420
0.018005,0.431370,1335,2086,1175,2009,2239,1809,2424,2819,2809,1299,3169,2910,1669,2444,,0.666261,0.362757,0.059963,0.337853,0.150685,0.384290,0.606863,0.631737,0.749412,0.254144,0.574227,0.835305,0.329955,0.332138
0.017998,0.449369,1334,2087,1174,2009,2239,1810,2425,2819,2809,1300,3169,2909,1669,2444,,0.665043,0.363966,0.059041,0.337853,0.150685,0.384894,0.607843,0.631737,0.749412,0.255064,0.574227,0.834395,0.329955,0.332138
0.017994,0.467362,1335,2087,1175,2010,2239,1811,2424,2820,2810,1299,3169,2909,1669,2443,,0.666261,0.363966,0.059963,0.338983,0.150685,0.385498,0.606863,0.632485,0.750588,0.254144,0.574227,0.834395,0.329955,0.331420
0.017979,0.485341,1334,2086,1175,2009,2238,1811,2423,2819,2811,1299,3169,2910,1669,2443,,0.665043,0.362757,0.059963,0.337853,0.150000,0.385498,0.605882,0.631737,0.751765,0.254144,0.574227,0.835305,0.329955,0.331420
0.018024,0.503365,1334,2087,1174,2009,2239,1810,2423,2819,2811,1298,3168,2910,1669,2441,,0.665043,0.363966,0.059041,0.337853,0.150685,0.384894,0.605882,0.631737,0.751765,0.253223,0.573196,0.835305,0.329955,0.329986
