GloveManager recording started on 10/20/16 at 16:10:33

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017391,0.017391,1477,2205,1096,2424,3054,2298,2544,3085,2889,1559,3274,3022,1741,2153,,0.839220,0.506651,0.001818,0.806780,0.708904,0.679758,0.724510,0.830838,0.835664,0.493554,0.682474,0.937216,0.411036,0.123386
0.018031,0.035422,1479,2204,1095,2424,3054,2299,2543,3083,2889,1559,3274,3023,1741,2154,,0.841657,0.505441,0.000909,0.806780,0.708904,0.680363,0.723529,0.829341,0.835664,0.493554,0.682474,0.938126,0.411036,0.124103
0.018022,0.053445,1479,2204,1095,2424,3054,2299,2543,3083,2889,1559,3274,3023,1741,2154,,0.841657,0.505441,0.000909,0.806780,0.708904,0.680363,0.723529,0.829341,0.835664,0.493554,0.682474,0.938126,0.411036,0.124103
0.018004,0.071449,1478,2205,1096,2425,3054,2299,2543,3083,2889,1558,3274,3022,1741,2154,,0.840438,0.506651,0.001818,0.807910,0.708904,0.680363,0.723529,0.829341,0.835664,0.492634,0.682474,0.937216,0.411036,0.124103
0.017997,0.089445,1477,2204,1095,2424,3054,2299,2542,3084,2889,1558,3274,3022,1741,2154,,0.839220,0.505441,0.000909,0.806780,0.708904,0.680363,0.722549,0.830090,0.835664,0.492634,0.682474,0.937216,0.411036,0.124103
0.017994,0.107439,1478,2205,1095,2425,3053,2299,2543,3084,2890,1557,3274,3022,1742,2154,,0.840438,0.506651,0.000909,0.807910,0.708219,0.680363,0.723529,0.830090,0.836830,0.491713,0.682474,0.937216,0.412162,0.124103
0.017988,0.125427,1478,2206,1095,2425,3054,2299,2542,3084,2890,1558,3273,3021,1741,2153,,0.840438,0.507860,0.000909,0.807910,0.708904,0.680363,0.722549,0.830090,0.836830,0.492634,0.681443,0.936306,0.411036,0.123386
0.018021,0.143448,1479,2206,1095,2425,3054,2298,2542,3083,2889,1557,3274,3021,1741,2154,,0.841657,0.507860,0.000909,0.807910,0.708904,0.679758,0.722549,0.829341,0.835664,0.491713,0.682474,0.936306,0.411036,0.124103
0.017991,0.161439,1478,2206,1097,2426,3054,2298,2543,3081,2889,1556,3274,3021,1742,2153,,0.840438,0.507860,0.002727,0.809040,0.708904,0.679758,0.723529,0.827844,0.835664,0.490792,0.682474,0.936306,0.412162,0.123386
0.018010,0.179449,1477,2206,1096,2426,3054,2298,2542,3082,2889,1557,3274,3020,1741,2153,,0.839220,0.507860,0.001818,0.809040,0.708904,0.679758,0.722549,0.828593,0.835664,0.491713,0.682474,0.935396,0.411036,0.123386
0.018001,0.197450,1477,2206,1096,2426,3054,2298,2542,3082,2889,1557,3274,3020,1741,2153,,0.839220,0.507860,0.001818,0.809040,0.708904,0.679758,0.722549,0.828593,0.835664,0.491713,0.682474,0.935396,0.411036,0.123386
0.017998,0.215448,1477,2206,1096,2426,3055,2299,2543,3082,2889,1556,3274,3018,1742,2152,,0.839220,0.507860,0.001818,0.809040,0.709589,0.680363,0.723529,0.828593,0.835664,0.490792,0.682474,0.933576,0.412162,0.122669
0.017997,0.233446,1477,2207,1096,2426,3054,2298,2543,3082,2889,1554,3273,3017,1741,2152,,0.839220,0.509069,0.001818,0.809040,0.708904,0.679758,0.723529,0.828593,0.835664,0.488950,0.681443,0.932666,0.411036,0.122669
0.018011,0.251457,1478,2207,1096,2426,3055,2298,2542,3082,2890,1555,3274,3016,1741,2151,,0.840438,0.509069,0.001818,0.809040,0.709589,0.679758,0.722549,0.828593,0.836830,0.489871,0.682474,0.931756,0.411036,0.121951
0.018000,0.269457,1478,2208,1097,2427,3055,2299,2543,3082,2888,1554,3274,3016,1741,2151,,0.840438,0.510278,0.002727,0.810170,0.709589,0.680363,0.723529,0.828593,0.834499,0.488950,0.682474,0.931756,0.411036,0.121951
0.017992,0.287449,1478,2208,1097,2427,3056,2298,2541,3082,2889,1554,3273,3015,1741,2151,,0.840438,0.510278,0.002727,0.810170,0.710274,0.679758,0.721569,0.828593,0.835664,0.488950,0.681443,0.930846,0.411036,0.121951
0.018002,0.305452,1478,2210,1097,2427,3055,2299,2543,3082,2889,1554,3272,3013,1740,2150,,0.840438,0.512697,0.002727,0.810170,0.709589,0.680363,0.723529,0.828593,0.835664,0.488950,0.680412,0.929026,0.409910,0.121234
0.018015,0.323467,1479,2210,1097,2428,3056,2298,2544,3081,2887,1554,3272,3012,1740,2150,,0.841657,0.512697,0.002727,0.811299,0.710274,0.679758,0.724510,0.827844,0.833333,0.488950,0.680412,0.928116,0.409910,0.121234
0.017989,0.341455,1479,2210,1097,2429,3056,2299,2545,3082,2887,1554,3271,3012,1740,2150,,0.841657,0.512697,0.002727,0.812429,0.710274,0.680363,0.725490,0.828593,0.833333,0.488950,0.679381,0.928116,0.409910,0.121234
0.018009,0.359464,1480,2211,1097,2429,3055,2299,2546,3082,2887,1554,3271,3011,1741,2149,,0.842875,0.513906,0.002727,0.812429,0.709589,0.680363,0.726471,0.828593,0.833333,0.488950,0.679381,0.927207,0.411036,0.120517
0.018031,0.377495,1480,2212,1099,2429,3056,2299,2547,3082,2887,1555,3269,3010,1740,2148,,0.842875,0.515115,0.004545,0.812429,0.710274,0.680363,0.727451,0.828593,0.833333,0.489871,0.677320,0.926297,0.409910,0.119799
0.017978,0.395472,1480,2213,1098,2430,3055,2299,2546,3082,2887,1555,3269,3010,1740,2148,,0.842875,0.516324,0.003636,0.813559,0.709589,0.680363,0.726471,0.828593,0.833333,0.489871,0.677320,0.926297,0.409910,0.119799
0.017997,0.413469,1480,2213,1097,2430,3055,2299,2547,3081,2886,1554,3269,3009,1739,2147,,0.842875,0.516324,0.002727,0.813559,0.709589,0.680363,0.727451,0.827844,0.832168,0.488950,0.677320,0.925387,0.408784,0.119082
0.017997,0.431467,1480,2213,1097,2430,3055,2299,2547,3081,2886,1554,3269,3009,1739,2147,,0.842875,0.516324,0.002727,0.813559,0.709589,0.680363,0.727451,0.827844,0.832168,0.488950,0.677320,0.926297,0.408784,0.119082
0.017995,0.449462,1480,2213,1097,2430,3055,2299,2546,3082,2886,1553,3267,3010,1739,2146,,0.842875,0.516324,0.002727,0.813559,0.709589,0.680363,0.726471,0.828593,0.832168,0.488029,0.675258,0.926297,0.408784,0.118364
0.017998,0.467460,1479,2214,1098,2430,3055,2299,2546,3081,2886,1553,3268,3010,1740,2146,,0.841657,0.517533,0.003636,0.813559,0.709589,0.680363,0.726471,0.827844,0.832168,0.488029,0.676289,0.926297,0.409910,0.118364
0.018014,0.485474,1478,2213,1097,2430,3055,2299,2546,3080,2886,1552,3268,3010,1739,2147,,0.840438,0.516324,0.002727,0.813559,0.709589,0.680363,0.726471,0.827096,0.832168,0.487109,0.676289,0.926297,0.408784,0.119082
