GloveManager recording started on 10/20/16 at 16:10:55

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017923,0.017922,1837,2462,1764,2424,2858,2318,2344,2955,2973,1408,3351,2701,2038,2623,,0.999048,0.817412,0.609091,0.806780,0.574658,0.691843,0.528431,0.733533,0.933566,0.354512,0.761856,0.645132,0.745495,0.460545
0.017993,0.035916,1837,2462,1763,2425,2858,2319,2345,2954,2972,1408,3351,2700,2037,2620,,0.999048,0.817412,0.608182,0.807910,0.574658,0.692447,0.529412,0.732784,0.932401,0.354512,0.761856,0.644222,0.744369,0.458393
0.018003,0.053919,1836,2461,1762,2425,2858,2318,2343,2954,2972,1408,3351,2701,2038,2620,,0.998095,0.816203,0.607273,0.807910,0.574658,0.691843,0.527451,0.732784,0.932401,0.354512,0.761856,0.645132,0.745495,0.458393
0.018001,0.071920,1837,2461,1763,2424,2857,2318,2344,2954,2972,1408,3351,2701,2038,2619,,0.999048,0.816203,0.608182,0.806780,0.573973,0.691843,0.528431,0.732784,0.932401,0.354512,0.761856,0.645132,0.745495,0.457676
0.018008,0.089928,1837,2462,1763,2426,2858,2319,2344,2955,2972,1408,3352,2701,2038,2620,,0.999048,0.817412,0.608182,0.809040,0.574658,0.692447,0.528431,0.733533,0.932401,0.354512,0.762887,0.645132,0.745495,0.458393
0.017995,0.107923,1837,2462,1763,2425,2857,2318,2344,2954,2973,1408,3353,2701,2037,2619,,0.999048,0.817412,0.608182,0.807910,0.573973,0.691843,0.528431,0.732784,0.933566,0.354512,0.763918,0.645132,0.744369,0.457676
0.017999,0.125922,1837,2461,1763,2425,2857,2319,2344,2954,2972,1408,3351,2700,2037,2616,,0.999048,0.816203,0.608182,0.807910,0.573973,0.692447,0.528431,0.732784,0.932401,0.354512,0.761856,0.644222,0.744369,0.455524
0.018005,0.143927,1837,2461,1762,2425,2857,2318,2343,2954,2972,1408,3351,2700,2038,2617,,0.999048,0.816203,0.607273,0.807910,0.573973,0.691843,0.527451,0.732784,0.932401,0.354512,0.761856,0.644222,0.745495,0.456241
0.018011,0.161938,1836,2462,1762,2425,2858,2319,2343,2954,2972,1409,3351,2700,2038,2616,,0.998095,0.817412,0.607273,0.807910,0.574658,0.692447,0.527451,0.732784,0.932401,0.355433,0.761856,0.644222,0.745495,0.455524
0.017998,0.179936,1836,2462,1761,2424,2858,2319,2344,2954,2973,1408,3351,2700,2038,2615,,0.998095,0.817412,0.606364,0.806780,0.574658,0.692447,0.528431,0.732784,0.933566,0.354512,0.761856,0.644222,0.745495,0.454806
0.017989,0.197925,1836,2462,1761,2425,2858,2319,2344,2954,2973,1408,3352,2700,2038,2615,,0.998095,0.817412,0.606364,0.807910,0.574658,0.692447,0.528431,0.732784,0.933566,0.354512,0.762887,0.644222,0.745495,0.454806
0.017988,0.215913,1836,2462,1762,2425,2858,2318,2343,2954,2972,1409,3352,2700,2038,2614,,0.998095,0.817412,0.607273,0.807910,0.574658,0.691843,0.527451,0.732784,0.932401,0.355433,0.762887,0.644222,0.745495,0.454089
0.018014,0.233927,1837,2463,1762,2425,2858,2318,2343,2955,2972,1408,3351,2701,2038,2614,,0.999048,0.818622,0.607273,0.807910,0.574658,0.691843,0.527451,0.733533,0.932401,0.354512,0.761856,0.645132,0.745495,0.454089
0.018010,0.251937,1836,2462,1762,2426,2858,2319,2344,2955,2972,1408,3352,2700,2038,2613,,0.998095,0.817412,0.607273,0.809040,0.574658,0.692447,0.528431,0.733533,0.932401,0.354512,0.762887,0.644222,0.745495,0.453372
0.018007,0.269944,1836,2462,1761,2425,2857,2319,2343,2953,2972,1407,3352,2700,2037,2613,,0.998095,0.817412,0.606364,0.807910,0.573973,0.692447,0.527451,0.732036,0.932401,0.353591,0.762887,0.644222,0.744369,0.453372
0.017996,0.287940,1836,2462,1761,2425,2858,2318,2344,2954,2972,1409,3352,2699,2038,2613,,0.998095,0.817412,0.606364,0.807910,0.574658,0.691843,0.528431,0.732784,0.932401,0.355433,0.762887,0.643312,0.745495,0.453372
0.017999,0.305939,1838,2462,1761,2426,2858,2319,2343,2955,2972,1408,3352,2699,2037,2613,,1.000000,0.817412,0.606364,0.809040,0.574658,0.692447,0.527451,0.733533,0.932401,0.354512,0.762887,0.643312,0.744369,0.453372
0.018032,0.323971,1837,2462,1760,2425,2857,2319,2344,2954,2972,1408,3352,2699,2038,2613,,0.999048,0.817412,0.605455,0.807910,0.573973,0.692447,0.528431,0.732784,0.932401,0.354512,0.762887,0.643312,0.745495,0.453372
0.017935,0.341907,1837,2462,1761,2426,2857,2318,2343,2954,2972,1407,3352,2699,2038,2612,,0.999048,0.817412,0.606364,0.809040,0.573973,0.691843,0.527451,0.732784,0.932401,0.353591,0.762887,0.643312,0.745495,0.452654
0.018032,0.359939,1837,2462,1760,2425,2858,2318,2344,2955,2972,1408,3351,2700,2038,2613,,0.999048,0.817412,0.605455,0.807910,0.574658,0.691843,0.528431,0.733533,0.932401,0.354512,0.761856,0.644222,0.745495,0.453372
