GloveManager recording started on 10/20/16 at 16:11:01

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.018085,0.018085,1653,2394,1723,2415,2931,2400,2415,2938,2810,1589,3403,2988,2049,2765,,0.820683,0.735187,0.571818,0.796610,0.624658,0.741390,0.598039,0.720808,0.743590,0.521179,0.815464,0.906278,0.757883,0.562410
0.018013,0.036099,1653,2394,1724,2414,2931,2400,2415,2938,2809,1590,3403,2989,2049,2766,,0.820683,0.735187,0.572727,0.795480,0.624658,0.741390,0.598039,0.720808,0.742424,0.522099,0.815464,0.907188,0.757883,0.563128
0.018014,0.054113,1652,2394,1723,2414,2931,2399,2415,2938,2810,1589,3403,2988,2049,2765,,0.819734,0.735187,0.571818,0.795480,0.624658,0.740785,0.598039,0.720808,0.743590,0.521179,0.815464,0.906278,0.757883,0.562410
0.018008,0.072121,1652,2393,1723,2414,2931,2399,2415,2937,2809,1589,3404,2988,2049,2765,,0.819734,0.733978,0.571818,0.795480,0.624658,0.740785,0.598039,0.720060,0.742424,0.521179,0.816495,0.906278,0.757883,0.562410
0.017993,0.090114,1652,2393,1723,2414,2930,2398,2415,2937,2810,1589,3403,2987,2049,2765,,0.819734,0.733978,0.571818,0.795480,0.623973,0.740181,0.598039,0.720060,0.743590,0.521179,0.815464,0.905369,0.757883,0.562410
0.017952,0.108066,1652,2394,1723,2413,2930,2399,2414,2937,2810,1590,3403,2988,2050,2764,,0.819734,0.735187,0.571818,0.794350,0.623973,0.740785,0.597059,0.720060,0.743590,0.522099,0.815464,0.906278,0.759009,0.561693
0.018052,0.126118,1652,2394,1722,2414,2930,2398,2414,2937,2809,1590,3402,2988,2050,2765,,0.819734,0.735187,0.570909,0.795480,0.623973,0.740181,0.597059,0.720060,0.742424,0.522099,0.814433,0.906278,0.759009,0.562410
0.018000,0.144118,1653,2395,1723,2414,2930,2398,2414,2938,2810,1590,3402,2988,2049,2764,,0.820683,0.736397,0.571818,0.795480,0.623973,0.740181,0.597059,0.720808,0.743590,0.522099,0.814433,0.906278,0.757883,0.561693
0.017989,0.162108,1652,2395,1722,2414,2930,2399,2414,2937,2809,1590,3403,2987,2050,2765,,0.819734,0.736397,0.570909,0.795480,0.623973,0.740785,0.597059,0.720060,0.742424,0.522099,0.815464,0.905369,0.759009,0.562410
0.018002,0.180110,1653,2395,1722,2414,2930,2398,2414,2937,2810,1590,3403,2988,2050,2765,,0.820683,0.736397,0.570909,0.795480,0.623973,0.740181,0.597059,0.720060,0.743590,0.522099,0.815464,0.906278,0.759009,0.562410
0.017982,0.198092,1653,2396,1722,2413,2930,2398,2415,2938,2810,1590,3403,2988,2051,2764,,0.820683,0.737606,0.570909,0.794350,0.623973,0.740181,0.598039,0.720808,0.743590,0.522099,0.815464,0.906278,0.760135,0.561693
0.018000,0.216092,1652,2395,1721,2414,2931,2399,2415,2938,2809,1590,3404,2988,2051,2765,,0.819734,0.736397,0.570000,0.795480,0.624658,0.740785,0.598039,0.720808,0.742424,0.522099,0.816495,0.906278,0.760135,0.562410
0.018004,0.234096,1652,2395,1721,2414,2931,2399,2415,2938,2809,1590,3404,2988,2051,2765,,0.819734,0.736397,0.570000,0.795480,0.624658,0.740785,0.598039,0.720808,0.742424,0.522099,0.816495,0.906278,0.760135,0.562410
0.018000,0.252097,1652,2395,1720,2414,2930,2397,2413,2937,2809,1590,3403,2987,2051,2763,,0.819734,0.736397,0.569091,0.795480,0.623973,0.739577,0.596078,0.720060,0.742424,0.522099,0.815464,0.905369,0.760135,0.560976
0.018001,0.270098,1652,2395,1720,2414,2930,2397,2413,2937,2809,1590,3403,2987,2051,2763,,0.819734,0.736397,0.569091,0.795480,0.623973,0.739577,0.596078,0.720060,0.742424,0.522099,0.815464,0.905369,0.760135,0.560976
0.018035,0.288133,1652,2396,1719,2414,2929,2397,2414,2937,2809,1590,3403,2987,2051,2763,,0.819734,0.737606,0.568182,0.795480,0.623288,0.739577,0.597059,0.720060,0.742424,0.522099,0.815464,0.905369,0.760135,0.560976
0.017993,0.306126,1653,2395,1719,2413,2929,2398,2414,2937,2809,1590,3402,2987,2051,2761,,0.820683,0.736397,0.568182,0.794350,0.623288,0.740181,0.597059,0.720060,0.742424,0.522099,0.814433,0.905369,0.760135,0.559541
0.018000,0.324127,1653,2395,1720,2414,2929,2398,2414,2938,2809,1590,3402,2987,2053,2762,,0.820683,0.736397,0.569091,0.795480,0.623288,0.740181,0.597059,0.720808,0.742424,0.522099,0.814433,0.905369,0.762387,0.560258
0.017950,0.342077,1653,2395,1720,2414,2929,2398,2414,2938,2809,1590,3402,2987,2053,2762,,0.820683,0.736397,0.569091,0.795480,0.623288,0.740181,0.597059,0.720808,0.742424,0.522099,0.814433,0.905369,0.762387,0.560258
0.018035,0.360112,1653,2395,1719,2414,2929,2397,2413,2938,2809,1590,3402,2987,2052,2761,,0.820683,0.736397,0.568182,0.795480,0.623288,0.739577,0.596078,0.720808,0.742424,0.522099,0.814433,0.905369,0.761261,0.559541
0.017991,0.378104,1652,2395,1719,2413,2929,2397,2413,2938,2809,1591,3403,2987,2053,2761,,0.819734,0.736397,0.568182,0.794350,0.623288,0.739577,0.596078,0.720808,0.742424,0.523020,0.815464,0.905369,0.762387,0.559541
0.017997,0.396101,1652,2395,1719,2413,2929,2397,2413,2938,2808,1590,3403,2987,2052,2761,,0.819734,0.736397,0.568182,0.794350,0.623288,0.739577,0.596078,0.720808,0.741259,0.522099,0.815464,0.905369,0.761261,0.559541
0.018001,0.414102,1652,2395,1719,2413,2929,2396,2413,2938,2808,1590,3402,2987,2053,2760,,0.819734,0.736397,0.568182,0.794350,0.623288,0.738973,0.596078,0.720808,0.741259,0.522099,0.814433,0.905369,0.762387,0.558824
0.018001,0.432103,1651,2395,1718,2413,2929,2397,2414,2938,2809,1590,3402,2987,2053,2760,,0.818786,0.736397,0.567273,0.794350,0.623288,0.739577,0.597059,0.720808,0.742424,0.522099,0.814433,0.905369,0.762387,0.558824
0.017978,0.450080,1652,2396,1718,2413,2928,2397,2413,2938,2808,1590,3402,2987,2052,2759,,0.819734,0.737606,0.567273,0.794350,0.622603,0.739577,0.596078,0.720808,0.741259,0.522099,0.814433,0.905369,0.761261,0.558106
0.018058,0.468138,1651,2395,1717,2413,2929,2396,2413,2938,2808,1590,3402,2986,2053,2759,,0.818786,0.736397,0.566364,0.794350,0.623288,0.738973,0.596078,0.720808,0.741259,0.522099,0.814433,0.904459,0.762387,0.558106
0.017982,0.486120,1651,2395,1717,2412,2929,2396,2414,2937,2808,1590,3402,2986,2053,2758,,0.818786,0.736397,0.566364,0.793220,0.623288,0.738973,0.597059,0.720060,0.741259,0.522099,0.814433,0.904459,0.762387,0.557389
0.018010,0.504131,1651,2395,1716,2412,2929,2396,2413,2938,2808,1590,3402,2987,2054,2759,,0.818786,0.736397,0.565455,0.793220,0.623288,0.738973,0.596078,0.720808,0.741259,0.522099,0.814433,0.905369,0.763514,0.558106
0.017957,0.522088,1652,2396,1718,2413,2929,2396,2413,2938,2808,1591,3402,2987,2054,2759,,0.819734,0.737606,0.567273,0.794350,0.623288,0.738973,0.596078,0.720808,0.741259,0.523020,0.814433,0.905369,0.763514,0.558106
0.018042,0.540130,1651,2396,1717,2413,2929,2396,2413,2938,2808,1590,3402,2987,2053,2758,,0.818786,0.737606,0.566364,0.794350,0.623288,0.738973,0.596078,0.720808,0.741259,0.522099,0.814433,0.905369,0.762387,0.557389
0.017982,0.558112,1651,2395,1716,2412,2929,2396,2412,2938,2809,1591,3402,2987,2054,2758,,0.818786,0.736397,0.565455,0.793220,0.623288,0.738973,0.595098,0.720808,0.742424,0.523020,0.814433,0.905369,0.763514,0.557389
0.018001,0.576113,1650,2395,1717,2412,2929,2396,2413,2937,2809,1589,3402,2987,2053,2757,,0.817837,0.736397,0.566364,0.793220,0.623288,0.738973,0.596078,0.720060,0.742424,0.521179,0.814433,0.905369,0.762387,0.556671
0.018022,0.594134,1651,2396,1717,2413,2929,2395,2414,2938,2808,1591,3402,2987,2053,2757,,0.818786,0.737606,0.566364,0.794350,0.623288,0.738369,0.597059,0.720808,0.741259,0.523020,0.814433,0.905369,0.762387,0.556671
0.017957,0.612092,1651,2396,1716,2413,2928,2396,2413,2938,2808,1591,3401,2986,2053,2757,,0.818786,0.737606,0.565455,0.794350,0.622603,0.738973,0.596078,0.720808,0.741259,0.523020,0.813402,0.904459,0.762387,0.556671
0.018053,0.630145,1651,2396,1717,2412,2929,2396,2413,2938,2809,1591,3402,2987,2054,2756,,0.818786,0.737606,0.566364,0.793220,0.623288,0.738973,0.596078,0.720808,0.742424,0.523020,0.814433,0.905369,0.763514,0.555954
0.017989,0.648134,1651,2395,1717,2412,2929,2395,2413,2937,2807,1590,3402,2986,2054,2757,,0.818786,0.736397,0.566364,0.793220,0.623288,0.738369,0.596078,0.720060,0.740093,0.522099,0.814433,0.904459,0.763514,0.556671
0.017982,0.666116,1651,2396,1716,2412,2930,2396,2413,2938,2808,1590,3402,2986,2054,2755,,0.818786,0.737606,0.565455,0.793220,0.623973,0.738973,0.596078,0.720808,0.741259,0.522099,0.814433,0.904459,0.763514,0.555237
0.018000,0.684116,1651,2396,1716,2412,2930,2396,2413,2938,2808,1590,3402,2986,2054,2755,,0.818786,0.737606,0.565455,0.793220,0.623973,0.738973,0.596078,0.720808,0.741259,0.522099,0.814433,0.904459,0.763514,0.555237
0.018002,0.702118,1650,2396,1716,2412,2929,2396,2413,2938,2807,1591,3403,2986,2054,2756,,0.817837,0.737606,0.565455,0.793220,0.623288,0.738973,0.596078,0.720808,0.740093,0.523020,0.815464,0.904459,0.763514,0.555954
0.018008,0.720127,1651,2396,1716,2413,2929,2396,2413,2939,2808,1591,3402,2986,2054,2755,,0.818786,0.737606,0.565455,0.794350,0.623288,0.738973,0.596078,0.721557,0.741259,0.523020,0.814433,0.904459,0.763514,0.555237
0.018013,0.738140,1651,2396,1715,2411,2929,2394,2412,2939,2807,1591,3402,2986,2054,2754,,0.818786,0.737606,0.564545,0.792090,0.623288,0.737764,0.595098,0.721557,0.740093,0.523020,0.814433,0.904459,0.763514,0.554519
0.018012,0.756151,1651,2397,1716,2412,2929,2395,2413,2939,2808,1591,3403,2987,2054,2753,,0.818786,0.738815,0.565455,0.793220,0.623288,0.738369,0.596078,0.721557,0.741259,0.523020,0.815464,0.905369,0.763514,0.553802
0.017993,0.774144,1651,2397,1715,2412,2930,2395,2412,2938,2808,1590,3402,2986,2054,2753,,0.818786,0.738815,0.564545,0.793220,0.623973,0.738369,0.595098,0.720808,0.741259,0.522099,0.814433,0.904459,0.763514,0.553802
0.017978,0.792122,1650,2396,1715,2411,2928,2395,2412,2938,2807,1591,3401,2986,2054,2753,,0.817837,0.737606,0.564545,0.792090,0.622603,0.738369,0.595098,0.720808,0.740093,0.523020,0.813402,0.904459,0.763514,0.553802
0.018032,0.810154,1650,2397,1715,2412,2929,2395,2412,2938,2807,1590,3401,2986,2054,2752,,0.817837,0.738815,0.564545,0.793220,0.623288,0.738369,0.595098,0.720808,0.740093,0.522099,0.813402,0.904459,0.763514,0.553085
