GloveManager recording started on 10/20/16 at 16:11:06

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017382,0.017382,1550,2126,1137,2289,2831,2278,2206,2834,2964,1253,3174,2892,1720,2390,,0.722960,0.411125,0.038182,0.655367,0.556849,0.667674,0.393137,0.643713,0.923077,0.211786,0.580412,0.818926,0.387387,0.294118
0.018003,0.035384,1550,2125,1137,2290,2833,2279,2207,2834,2965,1253,3175,2893,1722,2390,,0.722960,0.409915,0.039091,0.655367,0.557534,0.668278,0.394118,0.642964,0.924242,0.211786,0.580412,0.819836,0.389640,0.293400
0.018015,0.053400,1550,2125,1137,2290,2833,2279,2207,2834,2965,1253,3175,2893,1722,2390,,0.722960,0.409915,0.039091,0.655367,0.557534,0.668278,0.394118,0.642964,0.924242,0.211786,0.580412,0.819836,0.389640,0.293400
0.017988,0.071388,1550,2126,1137,2290,2834,2279,2206,2835,2965,1253,3175,2893,1721,2390,,0.722960,0.411125,0.039091,0.655367,0.558219,0.668278,0.393137,0.643713,0.924242,0.211786,0.580412,0.819836,0.388514,0.293400
0.018015,0.089403,1550,2126,1138,2290,2835,2279,2204,2836,2964,1252,3175,2892,1721,2389,,0.722960,0.411125,0.040000,0.655367,0.558904,0.668278,0.391176,0.644461,0.923077,0.210866,0.580412,0.818926,0.388514,0.292683
0.017999,0.107402,1549,2125,1137,2289,2835,2280,2204,2836,2965,1252,3175,2893,1720,2390,,0.722011,0.409915,0.039091,0.654237,0.558904,0.668882,0.391176,0.644461,0.924242,0.210866,0.580412,0.819836,0.387387,0.293400
0.017957,0.125359,1549,2125,1137,2289,2835,2280,2204,2836,2965,1252,3175,2893,1720,2390,,0.722011,0.409915,0.039091,0.654237,0.558904,0.668882,0.391176,0.644461,0.924242,0.210866,0.580412,0.819836,0.387387,0.293400
0.018023,0.143382,1549,2124,1138,2289,2835,2280,2202,2836,2964,1251,3175,2892,1720,2390,,0.722011,0.408706,0.040000,0.654237,0.558904,0.668882,0.389216,0.644461,0.923077,0.209945,0.580412,0.818926,0.387387,0.293400
0.018041,0.161424,1547,2123,1139,2288,2834,2279,2202,2836,2965,1250,3175,2892,1720,2390,,0.720114,0.407497,0.040909,0.653107,0.558219,0.668278,0.389216,0.644461,0.924242,0.209024,0.580412,0.818926,0.387387,0.293400
