GloveManager recording started on 10/20/16 at 16:11:20

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017537,0.017536,1288,1847,1282,2302,2213,2245,2353,3106,2942,1516,3415,2913,1956,2896,,0.474383,0.073761,0.170909,0.668927,0.132877,0.647734,0.537255,0.846557,0.897436,0.453959,0.827835,0.838035,0.653153,0.656385
0.018005,0.035541,1287,1847,1280,2303,2214,2245,2353,3105,2942,1516,3414,2913,1956,2896,,0.473435,0.073761,0.169091,0.670057,0.133562,0.647734,0.537255,0.845808,0.897436,0.453959,0.826804,0.838035,0.653153,0.656385
0.018008,0.053549,1287,1846,1281,2304,2214,2245,2353,3104,2942,1515,3414,2913,1955,2896,,0.473435,0.072551,0.170000,0.671186,0.133562,0.647734,0.537255,0.845060,0.897436,0.453039,0.826804,0.838035,0.652027,0.656385
0.017994,0.071543,1286,1847,1281,2303,2215,2244,2353,3104,2942,1516,3414,2913,1955,2895,,0.472486,0.073761,0.170000,0.670057,0.134247,0.647130,0.537255,0.845060,0.897436,0.453959,0.826804,0.838035,0.652027,0.655667
0.017970,0.089514,1286,1847,1279,2303,2214,2243,2353,3104,2942,1514,3414,2913,1954,2895,,0.472486,0.073761,0.168182,0.670057,0.133562,0.646526,0.537255,0.845060,0.897436,0.452118,0.826804,0.838035,0.650901,0.655667
0.018024,0.107538,1285,1847,1280,2303,2215,2243,2352,3104,2942,1515,3414,2913,1954,2895,,0.471537,0.073761,0.169091,0.670057,0.134247,0.646526,0.536274,0.845060,0.897436,0.453039,0.826804,0.838035,0.650901,0.655667
0.018002,0.125540,1285,1846,1279,2303,2213,2245,2352,3104,2942,1514,3414,2914,1955,2896,,0.471537,0.072551,0.168182,0.670057,0.132877,0.647734,0.536274,0.845060,0.897436,0.452118,0.826804,0.838944,0.652027,0.656385
0.017996,0.143536,1284,1846,1281,2303,2214,2244,2353,3104,2940,1515,3413,2913,1954,2895,,0.470588,0.072551,0.170000,0.670057,0.133562,0.647130,0.537255,0.845060,0.895105,0.453039,0.825773,0.838035,0.650901,0.655667
0.017988,0.161524,1284,1846,1281,2303,2214,2244,2353,3104,2940,1515,3413,2913,1954,2895,,0.470588,0.072551,0.170000,0.670057,0.133562,0.647130,0.537255,0.845060,0.895105,0.453039,0.825773,0.838035,0.650901,0.655667
