GloveManager recording started on 10/20/16 at 16:11:28

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017570,0.017570,1259,2031,1726,2053,2180,2382,1997,2153,2733,1286,3525,2897,1766,2963,,0.446869,0.296252,0.574545,0.387571,0.110274,0.730514,0.188235,0.133234,0.653846,0.242173,0.941237,0.823476,0.439189,0.704448
0.018034,0.035604,1259,2033,1725,2053,2179,2382,1997,2153,2733,1289,3524,2898,1766,2963,,0.446869,0.298670,0.573636,0.387571,0.109589,0.730514,0.188235,0.133234,0.653846,0.244936,0.940206,0.824386,0.439189,0.704448
0.018002,0.053606,1259,2034,1726,2053,2179,2382,1997,2154,2732,1291,3525,2898,1767,2963,,0.446869,0.299879,0.574545,0.387571,0.109589,0.730514,0.188235,0.133982,0.652681,0.246777,0.941237,0.824386,0.440315,0.704448
0.017986,0.071593,1260,2036,1725,2053,2178,2382,1996,2154,2733,1292,3525,2899,1768,2964,,0.447818,0.302297,0.573636,0.387571,0.108904,0.730514,0.187255,0.133982,0.653846,0.247698,0.941237,0.825296,0.441441,0.705165
0.018010,0.089603,1260,2038,1724,2053,2178,2383,1995,2153,2734,1293,3525,2898,1769,2964,,0.447818,0.304716,0.572727,0.387571,0.108904,0.731118,0.186275,0.133234,0.655012,0.248619,0.941237,0.824386,0.442568,0.705165
0.017991,0.107593,1260,2038,1724,2053,2178,2383,1995,2153,2734,1293,3525,2898,1769,2964,,0.447818,0.304716,0.572727,0.387571,0.108904,0.731118,0.186275,0.133234,0.655012,0.248619,0.941237,0.824386,0.442568,0.705165
0.017956,0.125549,1261,2041,1723,2053,2178,2382,1995,2152,2734,1293,3526,2898,1769,2963,,0.448767,0.308343,0.571818,0.387571,0.108904,0.730514,0.186275,0.132485,0.655012,0.248619,0.942268,0.824386,0.442568,0.704448
0.018028,0.143577,1261,2040,1722,2053,2178,2382,1995,2152,2733,1292,3526,2898,1768,2963,,0.448767,0.307134,0.570909,0.387571,0.108904,0.730514,0.186275,0.132485,0.653846,0.247698,0.942268,0.824386,0.441441,0.704448
0.018026,0.161603,1260,2041,1723,2053,2178,2382,1995,2152,2733,1292,3526,2898,1769,2964,,0.447818,0.308343,0.571818,0.387571,0.108904,0.730514,0.186275,0.132485,0.653846,0.247698,0.942268,0.824386,0.442568,0.705165
