GloveManager recording started on 10/20/16 at 16:11:34

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017473,0.017473,1504,2275,1191,2424,3194,2335,2370,3089,2951,1365,3444,2899,1723,3064,,0.679317,0.591294,0.088182,0.806780,0.804795,0.702115,0.553922,0.833832,0.907925,0.314917,0.857732,0.825296,0.390766,0.776901
0.017996,0.035470,1504,2275,1190,2425,3194,2336,2371,3090,2951,1365,3444,2899,1724,3065,,0.679317,0.591294,0.087273,0.807910,0.804795,0.702719,0.554902,0.834581,0.907925,0.314917,0.857732,0.825296,0.391892,0.777618
0.018014,0.053483,1505,2276,1190,2425,3194,2335,2371,3090,2951,1365,3444,2899,1723,3065,,0.680266,0.592503,0.087273,0.807910,0.804795,0.702115,0.554902,0.834581,0.907925,0.314917,0.857732,0.825296,0.390766,0.777618
0.018006,0.071490,1505,2275,1190,2424,3195,2335,2371,3091,2951,1365,3444,2899,1723,3065,,0.680266,0.591294,0.087273,0.806780,0.805479,0.702115,0.554902,0.835329,0.907925,0.314917,0.857732,0.825296,0.390766,0.777618
0.018021,0.089511,1505,2275,1190,2424,3195,2335,2371,3091,2951,1365,3444,2899,1723,3065,,0.680266,0.591294,0.087273,0.806780,0.805479,0.702115,0.554902,0.835329,0.907925,0.314917,0.857732,0.825296,0.390766,0.777618
0.017937,0.107448,1504,2274,1189,2425,3194,2335,2371,3091,2951,1365,3444,2899,1723,3065,,0.679317,0.590085,0.086364,0.807910,0.804795,0.702115,0.554902,0.835329,0.907925,0.314917,0.857732,0.825296,0.390766,0.777618
0.018056,0.125504,1504,2274,1190,2425,3195,2335,2372,3090,2951,1365,3445,2899,1723,3066,,0.679317,0.590085,0.087273,0.807910,0.805479,0.702115,0.555882,0.834581,0.907925,0.314917,0.858763,0.825296,0.390766,0.778336
0.017950,0.143454,1504,2274,1190,2425,3195,2336,2371,3091,2951,1365,3445,2898,1724,3066,,0.679317,0.590085,0.087273,0.807910,0.805479,0.702719,0.554902,0.835329,0.907925,0.314917,0.858763,0.824386,0.391892,0.778336
0.018061,0.161515,1503,2273,1189,2425,3195,2336,2373,3090,2951,1366,3445,2899,1723,3066,,0.678368,0.588875,0.086364,0.807910,0.805479,0.702719,0.556863,0.834581,0.907925,0.315838,0.858763,0.825296,0.390766,0.778336
0.017993,0.179507,1503,2272,1190,2426,3195,2336,2373,3089,2951,1365,3444,2899,1723,3067,,0.678368,0.587666,0.087273,0.809040,0.805479,0.702719,0.556863,0.833832,0.907925,0.314917,0.857732,0.825296,0.390766,0.779053
0.017987,0.197494,1504,2271,1190,2426,3195,2336,2373,3090,2950,1366,3446,2899,1723,3068,,0.679317,0.586457,0.087273,0.809040,0.805479,0.702719,0.556863,0.834581,0.906760,0.315838,0.859794,0.825296,0.390766,0.779770
0.018026,0.215520,1503,2271,1191,2427,3196,2336,2375,3091,2950,1366,3446,2898,1724,3067,,0.678368,0.586457,0.088182,0.810170,0.806164,0.702719,0.558824,0.835329,0.906760,0.315838,0.859794,0.824386,0.391892,0.779053
0.017965,0.233485,1503,2272,1191,2426,3196,2336,2374,3090,2950,1366,3446,2899,1724,3067,,0.678368,0.586457,0.088182,0.810170,0.805479,0.702115,0.557843,0.834581,0.906760,0.315838,0.860825,0.825296,0.390766,0.779053
0.018006,0.251491,1503,2271,1191,2427,3195,2335,2374,3090,2950,1366,3447,2899,1723,3067,,0.678368,0.586457,0.088182,0.810170,0.805479,0.702115,0.557843,0.834581,0.906760,0.315838,0.860825,0.825296,0.390766,0.779053
0.017988,0.269479,1501,2270,1191,2427,3195,2335,2374,3088,2950,1367,3448,2899,1723,3068,,0.676471,0.585248,0.088182,0.810170,0.805479,0.702115,0.557843,0.833084,0.906760,0.316759,0.861856,0.825296,0.390766,0.779770
0.018032,0.287511,1501,2269,1191,2428,3196,2335,2375,3089,2950,1366,3447,2899,1723,3067,,0.676471,0.584039,0.088182,0.811299,0.806164,0.702115,0.558824,0.833832,0.906760,0.315838,0.860825,0.825296,0.390766,0.779053
0.017998,0.305509,1500,2269,1191,2428,3195,2336,2375,3089,2950,1366,3447,2899,1722,3067,,0.675522,0.584039,0.088182,0.811299,0.805479,0.702719,0.558824,0.833832,0.906760,0.315838,0.860825,0.825296,0.389640,0.779053
0.017998,0.323508,1497,2267,1190,2428,3195,2335,2374,3087,2949,1365,3447,2899,1723,3068,,0.672676,0.581620,0.087273,0.811299,0.805479,0.702115,0.557843,0.832335,0.905594,0.314917,0.860825,0.825296,0.390766,0.779770
0.018003,0.341511,1496,2264,1189,2429,3195,2336,2375,3087,2950,1365,3447,2899,1722,3067,,0.671727,0.577993,0.086364,0.812429,0.805479,0.702719,0.558824,0.832335,0.906760,0.314917,0.860825,0.825296,0.389640,0.779053
0.017977,0.359488,1494,2263,1189,2429,3196,2336,2374,3087,2949,1366,3448,2900,1723,3069,,0.669829,0.576784,0.086364,0.812429,0.806164,0.702719,0.557843,0.832335,0.905594,0.315838,0.861856,0.826206,0.390766,0.780488
0.018031,0.377519,1492,2260,1189,2429,3196,2336,2375,3087,2950,1366,3448,2899,1723,3069,,0.667932,0.573156,0.086364,0.812429,0.806164,0.702719,0.558824,0.832335,0.906760,0.315838,0.861856,0.825296,0.390766,0.780488
0.017994,0.395513,1490,2259,1189,2429,3196,2335,2375,3086,2949,1365,3449,2899,1723,3069,,0.666034,0.571947,0.086364,0.812429,0.806164,0.702115,0.558824,0.831587,0.905594,0.314917,0.862887,0.825296,0.390766,0.780488
0.018007,0.413520,1491,2257,1187,2429,3197,2334,2375,3085,2949,1365,3448,2899,1723,3069,,0.666983,0.569528,0.084545,0.812429,0.806849,0.701511,0.558824,0.830838,0.905594,0.314917,0.861856,0.825296,0.390766,0.780488
0.018005,0.431525,1488,2255,1187,2429,3197,2336,2374,3085,2949,1365,3448,2898,1723,3069,,0.664137,0.567110,0.084545,0.812429,0.806849,0.702719,0.557843,0.830838,0.905594,0.314917,0.861856,0.824386,0.390766,0.780488
0.017968,0.449493,1486,2254,1187,2430,3196,2336,2376,3084,2950,1365,3449,2899,1722,3069,,0.662239,0.565901,0.084545,0.813559,0.806164,0.702719,0.559804,0.830090,0.906760,0.314917,0.862887,0.825296,0.389640,0.780488
0.018063,0.467556,1485,2253,1186,2429,3196,2335,2376,3084,2950,1366,3449,2899,1722,3069,,0.661290,0.564692,0.083636,0.812429,0.806164,0.702115,0.559804,0.830090,0.906760,0.315838,0.862887,0.825296,0.389640,0.780488
0.017961,0.485517,1483,2252,1186,2430,3194,2335,2375,3083,2949,1365,3450,2899,1722,3070,,0.659393,0.563482,0.083636,0.813559,0.804795,0.702115,0.558824,0.829341,0.905594,0.314917,0.863918,0.825296,0.389640,0.781205
0.017991,0.503507,1481,2250,1186,2430,3195,2335,2375,3082,2949,1364,3449,2899,1721,3069,,0.657495,0.561064,0.083636,0.813559,0.805479,0.702115,0.558824,0.828593,0.905594,0.313996,0.862887,0.825296,0.388514,0.780488
0.018013,0.521520,1476,2245,1186,2431,3195,2334,2374,3079,2949,1364,3449,2899,1721,3070,,0.652751,0.555018,0.083636,0.814689,0.805479,0.701511,0.557843,0.826347,0.905594,0.313996,0.862887,0.825296,0.388514,0.781205
0.017976,0.539497,1473,2243,1185,2431,3194,2334,2374,3078,2948,1365,3450,2899,1721,3070,,0.649905,0.552600,0.082727,0.814689,0.804795,0.701511,0.557843,0.825599,0.904429,0.314917,0.863918,0.825296,0.388514,0.781205
0.018036,0.557532,1472,2243,1185,2430,3194,2334,2375,3078,2948,1365,3450,2900,1721,3070,,0.648956,0.552600,0.082727,0.813559,0.804795,0.701511,0.558824,0.825599,0.904429,0.314917,0.863918,0.826206,0.388514,0.781205
0.017990,0.575522,1471,2242,1185,2430,3194,2334,2375,3078,2948,1365,3450,2900,1722,3070,,0.648008,0.551391,0.082727,0.813559,0.804795,0.701511,0.558824,0.825599,0.904429,0.314917,0.863918,0.826206,0.389640,0.781205
0.017957,0.593480,1468,2241,1185,2431,3194,2334,2375,3076,2949,1364,3450,2899,1722,3070,,0.645161,0.550181,0.082727,0.814689,0.804795,0.701511,0.558824,0.824102,0.905594,0.313996,0.863918,0.825296,0.389640,0.781205
0.018031,0.611510,1465,2240,1185,2430,3193,2334,2375,3076,2948,1364,3451,2900,1721,3070,,0.642315,0.548972,0.082727,0.813559,0.804110,0.701511,0.558824,0.824102,0.904429,0.313996,0.864948,0.826206,0.388514,0.781205
0.018012,0.629522,1465,2239,1185,2430,3192,2334,2375,3077,2948,1364,3450,2900,1720,3071,,0.642315,0.547763,0.082727,0.813559,0.803425,0.701511,0.558824,0.824850,0.904429,0.313996,0.863918,0.826206,0.387387,0.781923
0.018001,0.647524,1464,2241,1185,2430,3192,2333,2375,3076,2948,1364,3451,2900,1720,3070,,0.641366,0.550181,0.082727,0.813559,0.803425,0.700906,0.558824,0.824102,0.904429,0.313996,0.864948,0.826206,0.387387,0.781205
0.018012,0.665535,1465,2242,1185,2430,3193,2334,2375,3077,2948,1365,3451,2900,1721,3071,,0.642315,0.551391,0.082727,0.813559,0.804110,0.701511,0.558824,0.824850,0.904429,0.314917,0.864948,0.826206,0.388514,0.781923
0.017991,0.683526,1463,2242,1185,2430,3193,2334,2375,3077,2947,1364,3450,2899,1721,3070,,0.640417,0.551391,0.082727,0.813559,0.804110,0.701511,0.558824,0.824850,0.903263,0.313996,0.863918,0.825296,0.388514,0.781205
0.017994,0.701521,1464,2243,1185,2430,3193,2334,2375,3077,2948,1364,3451,2900,1721,3072,,0.641366,0.552600,0.082727,0.813559,0.804110,0.701511,0.558824,0.824850,0.904429,0.313996,0.864948,0.826206,0.388514,0.782640
0.017963,0.719484,1463,2242,1185,2430,3194,2334,2375,3079,2948,1364,3450,2899,1720,3071,,0.640417,0.551391,0.082727,0.813559,0.804795,0.701511,0.558824,0.826347,0.904429,0.313996,0.863918,0.825296,0.387387,0.781923
0.018049,0.737533,1462,2242,1185,2430,3194,2334,2375,3079,2948,1363,3450,2900,1721,3071,,0.639469,0.551391,0.082727,0.813559,0.804795,0.701511,0.558824,0.826347,0.904429,0.313076,0.863918,0.826206,0.388514,0.781923
0.017998,0.755531,1463,2243,1185,2430,3194,2334,2375,3079,2948,1364,3450,2900,1721,3071,,0.640417,0.552600,0.082727,0.813559,0.804795,0.701511,0.558824,0.826347,0.904429,0.313996,0.863918,0.826206,0.388514,0.781923
0.018000,0.773532,1462,2243,1186,2430,3194,2335,2375,3079,2947,1364,3450,2900,1721,3072,,0.639469,0.552600,0.083636,0.813559,0.804795,0.702115,0.558824,0.826347,0.903263,0.313996,0.863918,0.826206,0.388514,0.782640
0.017999,0.791531,1462,2242,1185,2429,3195,2334,2374,3079,2947,1364,3451,2899,1721,3072,,0.639469,0.551391,0.082727,0.812429,0.805479,0.701511,0.557843,0.826347,0.903263,0.313996,0.864948,0.825296,0.388514,0.782640
0.018001,0.809532,1462,2242,1185,2428,3196,2333,2375,3080,2947,1363,3450,2899,1720,3073,,0.639469,0.551391,0.082727,0.811299,0.806164,0.700906,0.558824,0.827096,0.903263,0.313076,0.863918,0.825296,0.387387,0.783357
0.017990,0.827522,1461,2241,1184,2429,3194,2334,2375,3079,2947,1364,3452,2899,1727,3072,,0.638520,0.550181,0.081818,0.812429,0.804795,0.701511,0.558824,0.826347,0.903263,0.313996,0.865979,0.825296,0.395270,0.782640
0.017968,0.845490,1462,2241,1184,2429,3196,2333,2375,3080,2947,1364,3451,2899,1721,3072,,0.639469,0.550181,0.081818,0.812429,0.806164,0.700906,0.558824,0.827096,0.903263,0.313996,0.864948,0.825296,0.388514,0.782640
