GloveManager recording started on 10/20/16 at 16:11:57

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017360,0.017360,1375,2115,1535,2024,2182,1546,2062,2048,2687,1559,3424,2925,1856,2615,,0.556926,0.397823,0.400909,0.354802,0.111644,0.225378,0.251961,0.054641,0.600233,0.493554,0.837113,0.848954,0.540541,0.454806
0.018011,0.035370,1375,2114,1536,2025,2183,1537,2061,2048,2687,1558,3425,2924,1858,2614,,0.556926,0.396614,0.401818,0.355932,0.112329,0.219940,0.250980,0.054641,0.600233,0.492634,0.838144,0.848044,0.542793,0.454089
0.017988,0.053358,1374,2114,1535,2026,2184,1534,2061,2047,2686,1556,3423,2924,1858,2614,,0.555977,0.396614,0.400909,0.357062,0.113014,0.218127,0.250980,0.053892,0.599068,0.490792,0.836082,0.848044,0.542793,0.454089
0.017961,0.071320,1374,2113,1535,2026,2184,1533,2062,2047,2686,1555,3422,2924,1857,2614,,0.555977,0.395405,0.400909,0.357062,0.113014,0.217523,0.251961,0.053892,0.599068,0.489871,0.835052,0.848044,0.541667,0.454089
0.018027,0.089347,1375,2113,1536,2026,2185,1532,2062,2048,2686,1554,3423,2923,1857,2613,,0.556926,0.395405,0.401818,0.357062,0.113699,0.216918,0.251961,0.054641,0.599068,0.488950,0.836082,0.847134,0.541667,0.453372
0.018027,0.107373,1374,2112,1535,2025,2183,1532,2061,2047,2685,1554,3422,2923,1857,2613,,0.555977,0.394196,0.400909,0.355932,0.112329,0.216918,0.250980,0.053892,0.597902,0.488950,0.835052,0.847134,0.541667,0.453372
0.017998,0.125371,1374,2112,1535,2025,2183,1532,2061,2047,2685,1554,3422,2923,1857,2613,,0.555977,0.394196,0.400909,0.355932,0.112329,0.216918,0.250980,0.053892,0.597902,0.488950,0.835052,0.847134,0.541667,0.453372
0.018001,0.143372,1374,2111,1532,2026,2184,1533,2061,2047,2685,1553,3422,2922,1858,2613,,0.555977,0.392987,0.398182,0.357062,0.113014,0.217523,0.250980,0.053892,0.597902,0.488029,0.835052,0.846224,0.542793,0.453372
0.017999,0.161371,1374,2110,1530,2025,2183,1534,2060,2047,2685,1553,3422,2923,1858,2613,,0.555977,0.391778,0.396364,0.355932,0.112329,0.218127,0.250000,0.053892,0.597902,0.488029,0.835052,0.847134,0.542793,0.453372
0.018001,0.179372,1373,2110,1530,2026,2183,1536,2060,2047,2685,1552,3422,2924,1858,2613,,0.555028,0.391778,0.396364,0.357062,0.112329,0.219335,0.250000,0.053892,0.597902,0.487109,0.835052,0.848044,0.542793,0.453372
0.017968,0.197340,1372,2109,1533,2025,2182,1534,2059,2046,2685,1549,3421,2923,1856,2612,,0.554080,0.390568,0.399091,0.355932,0.111644,0.218127,0.249020,0.053144,0.597902,0.484346,0.834021,0.847134,0.540541,0.452654
0.018036,0.215375,1372,2109,1533,2025,2182,1534,2059,2046,2685,1549,3421,2923,1856,2612,,0.554080,0.390568,0.399091,0.355932,0.111644,0.218127,0.249020,0.053144,0.597902,0.484346,0.834021,0.847134,0.540541,0.452654
0.018002,0.233377,1373,2111,1539,2026,2183,1534,2060,2047,2686,1551,3422,2924,1856,2612,,0.555028,0.392987,0.404545,0.357062,0.112329,0.218127,0.250000,0.053892,0.599068,0.486188,0.835052,0.848044,0.540541,0.452654
0.017999,0.251377,1373,2111,1539,2026,2183,1534,2060,2047,2686,1551,3422,2924,1856,2612,,0.555028,0.392987,0.404545,0.357062,0.112329,0.218127,0.250000,0.053892,0.599068,0.486188,0.835052,0.848044,0.540541,0.452654
0.018022,0.269398,1373,2113,1544,2027,2183,1530,2060,2045,2686,1551,3422,2923,1855,2612,,0.555028,0.395405,0.409091,0.358192,0.112329,0.215710,0.250000,0.052395,0.599068,0.486188,0.835052,0.847134,0.539414,0.452654
0.017981,0.287379,1372,2113,1546,2026,2183,1529,2061,2044,2687,1549,3422,2924,1854,2611,,0.554080,0.395405,0.410909,0.357062,0.112329,0.215106,0.250980,0.051647,0.600233,0.484346,0.835052,0.848044,0.538288,0.451937
0.018000,0.305379,1372,2113,1548,2027,2183,1528,2060,2044,2687,1550,3423,2924,1853,2612,,0.554080,0.395405,0.412727,0.358192,0.112329,0.214502,0.250000,0.051647,0.600233,0.485267,0.836082,0.848044,0.537162,0.452654
0.018002,0.323381,1372,2114,1550,2028,2183,1529,2061,2044,2687,1550,3422,2925,1856,2612,,0.554080,0.396614,0.414545,0.359322,0.112329,0.215106,0.250980,0.051647,0.600233,0.485267,0.835052,0.848954,0.540541,0.452654
0.018002,0.341383,1372,2113,1551,2028,2182,1529,2060,2044,2687,1549,3422,2925,1854,2612,,0.554080,0.395405,0.415455,0.359322,0.111644,0.215106,0.250000,0.051647,0.600233,0.484346,0.835052,0.848954,0.538288,0.452654
0.017997,0.359380,1372,2113,1551,2028,2182,1529,2060,2044,2687,1549,3422,2925,1854,2612,,0.554080,0.395405,0.415455,0.359322,0.111644,0.215106,0.250000,0.051647,0.600233,0.484346,0.835052,0.848954,0.538288,0.452654
0.018004,0.377384,1372,2113,1554,2028,2183,1531,2061,2044,2688,1549,3422,2925,1853,2612,,0.554080,0.395405,0.418182,0.359322,0.112329,0.216314,0.250980,0.051647,0.601399,0.484346,0.835052,0.848954,0.537162,0.452654
0.017994,0.395379,1371,2113,1555,2028,2183,1531,2061,2043,2687,1548,3422,2925,1853,2612,,0.553131,0.395405,0.419091,0.359322,0.112329,0.216314,0.250980,0.050898,0.600233,0.483425,0.835052,0.848954,0.537162,0.452654
0.018006,0.413385,1371,2113,1555,2029,2183,1531,2061,2043,2688,1548,3423,2925,1854,2613,,0.553131,0.395405,0.419091,0.360452,0.112329,0.216314,0.250980,0.050898,0.601399,0.483425,0.836082,0.848954,0.538288,0.453372
0.018000,0.431384,1370,2113,1555,2029,2182,1533,2061,2043,2687,1547,3421,2926,1852,2612,,0.552182,0.395405,0.419091,0.360452,0.111644,0.217523,0.250980,0.050898,0.600233,0.482505,0.834021,0.849864,0.536036,0.452654
0.018004,0.449389,1370,2112,1555,2029,2182,1534,2061,2042,2688,1548,3422,2926,1853,2612,,0.552182,0.394196,0.419091,0.360452,0.111644,0.218127,0.250980,0.050150,0.601399,0.483425,0.835052,0.849864,0.537162,0.452654
0.018000,0.467389,1369,2112,1557,2029,2182,1533,2061,2042,2688,1546,3422,2925,1852,2613,,0.551233,0.394196,0.420909,0.360452,0.111644,0.217523,0.250980,0.050150,0.601399,0.481584,0.835052,0.848954,0.536036,0.453372
0.018003,0.485392,1371,2111,1558,2029,2182,1535,2062,2042,2688,1547,3422,2926,1852,2612,,0.553131,0.392987,0.421818,0.360452,0.111644,0.218731,0.251961,0.050150,0.601399,0.482505,0.835052,0.849864,0.536036,0.452654
0.017999,0.503391,1370,2112,1559,2029,2182,1535,2061,2042,2689,1546,3422,2926,1852,2612,,0.552182,0.394196,0.422727,0.360452,0.111644,0.218731,0.250980,0.050150,0.602564,0.481584,0.835052,0.849864,0.536036,0.452654
0.018001,0.521393,1370,2112,1560,2030,2182,1535,2062,2042,2689,1548,3422,2926,1853,2613,,0.552182,0.394196,0.423636,0.361582,0.111644,0.218731,0.251961,0.050150,0.602564,0.483425,0.835052,0.849864,0.537162,0.453372
0.017997,0.539389,1370,2111,1559,2031,2182,1538,2062,2041,2690,1546,3422,2925,1853,2613,,0.552182,0.392987,0.422727,0.362712,0.111644,0.220544,0.251961,0.049401,0.603730,0.481584,0.835052,0.848954,0.537162,0.453372
0.018005,0.557394,1369,2110,1557,2030,2180,1540,2062,2041,2690,1545,3422,2925,1851,2612,,0.551233,0.391778,0.420909,0.361582,0.110274,0.221752,0.251961,0.049401,0.603730,0.480663,0.835052,0.848954,0.534910,0.452654
0.018002,0.575396,1369,2111,1558,2030,2181,1542,2061,2041,2690,1545,3421,2925,1852,2613,,0.551233,0.392987,0.421818,0.361582,0.110959,0.222961,0.250980,0.049401,0.603730,0.480663,0.834021,0.848954,0.536036,0.453372
0.018000,0.593396,1369,2110,1557,2031,2181,1542,2061,2041,2690,1545,3422,2926,1853,2613,,0.551233,0.391778,0.420909,0.362712,0.110959,0.222961,0.250980,0.049401,0.603730,0.480663,0.835052,0.849864,0.537162,0.453372
0.017998,0.611394,1370,2111,1557,2031,2181,1544,2061,2040,2690,1545,3422,2926,1853,2614,,0.552182,0.392987,0.420909,0.362712,0.110959,0.224169,0.250980,0.048653,0.603730,0.480663,0.835052,0.849864,0.537162,0.454089
0.018003,0.629398,1369,2111,1556,2031,2181,1545,2061,2040,2690,1545,3422,2926,1854,2614,,0.551233,0.392987,0.420000,0.362712,0.110959,0.224773,0.250980,0.048653,0.603730,0.480663,0.835052,0.849864,0.538288,0.454089
0.018000,0.647398,1369,2111,1556,2031,2181,1544,2062,2040,2691,1544,3422,2926,1855,2614,,0.551233,0.392987,0.420000,0.362712,0.110959,0.224169,0.251961,0.048653,0.604895,0.479742,0.835052,0.849864,0.539414,0.454089
0.018000,0.665398,1369,2111,1556,2031,2181,1544,2062,2040,2691,1544,3422,2926,1855,2614,,0.551233,0.392987,0.420000,0.362712,0.110959,0.224169,0.251961,0.048653,0.604895,0.479742,0.835052,0.849864,0.539414,0.454089
0.017950,0.683348,1370,2112,1557,2033,2181,1545,2062,2039,2691,1543,3422,2926,1855,2614,,0.552182,0.394196,0.420909,0.364972,0.110959,0.224773,0.251961,0.047904,0.604895,0.478821,0.835052,0.849864,0.539414,0.454089
0.018083,0.701431,1370,2112,1558,2032,2181,1545,2062,2038,2691,1545,3422,2926,1854,2613,,0.552182,0.394196,0.421818,0.363842,0.110959,0.224773,0.251961,0.047156,0.604895,0.480663,0.835052,0.849864,0.538288,0.453372
0.017972,0.719402,1371,2112,1558,2032,2181,1546,2063,2038,2692,1545,3423,2927,1855,2614,,0.553131,0.394196,0.421818,0.363842,0.110959,0.225378,0.252941,0.047156,0.606061,0.480663,0.836082,0.850773,0.539414,0.454089
0.017992,0.737394,1370,2113,1558,2033,2181,1545,2063,2038,2691,1545,3422,2927,1854,2613,,0.552182,0.395405,0.421818,0.364972,0.110959,0.224773,0.252941,0.047156,0.604895,0.480663,0.835052,0.850773,0.538288,0.453372
0.018011,0.755405,1369,2112,1559,2033,2181,1543,2062,2037,2692,1544,3423,2926,1853,2614,,0.551233,0.394196,0.422727,0.364972,0.110959,0.223565,0.251961,0.046407,0.606061,0.479742,0.836082,0.849864,0.537162,0.454089
0.018001,0.773406,1369,2112,1559,2033,2181,1543,2062,2037,2692,1544,3423,2926,1853,2614,,0.551233,0.394196,0.422727,0.364972,0.110959,0.223565,0.251961,0.046407,0.606061,0.479742,0.836082,0.849864,0.537162,0.454089
0.017975,0.791381,1370,2113,1559,2033,2180,1542,2062,2037,2692,1545,3422,2926,1855,2614,,0.552182,0.395405,0.422727,0.364972,0.110274,0.222961,0.251961,0.046407,0.606061,0.480663,0.835052,0.849864,0.539414,0.454089
0.018027,0.809408,1370,2114,1557,2034,2180,1544,2063,2037,2692,1546,3423,2926,1856,2613,,0.552182,0.396614,0.420909,0.366102,0.110274,0.224169,0.252941,0.046407,0.606061,0.481584,0.836082,0.849864,0.540541,0.453372
0.017977,0.827385,1371,2114,1557,2033,2180,1545,2063,2037,2692,1545,3421,2925,1856,2613,,0.553131,0.396614,0.420909,0.364972,0.110274,0.224773,0.252941,0.046407,0.606061,0.480663,0.834021,0.848954,0.540541,0.453372
0.017992,0.845377,1371,2113,1556,2034,2181,1546,2062,2036,2691,1545,3422,2926,1855,2613,,0.553131,0.395405,0.420000,0.366102,0.110959,0.225378,0.251961,0.045659,0.604895,0.480663,0.835052,0.849864,0.539414,0.453372
0.018031,0.863408,1370,2113,1556,2034,2180,1548,2063,2036,2692,1544,3422,2926,1855,2613,,0.552182,0.395405,0.420000,0.366102,0.110274,0.226586,0.252941,0.045659,0.606061,0.479742,0.835052,0.849864,0.539414,0.453372
0.018001,0.881410,1370,2112,1556,2034,2180,1549,2063,2036,2692,1544,3422,2925,1855,2613,,0.552182,0.394196,0.420000,0.366102,0.110274,0.227190,0.252941,0.045659,0.606061,0.479742,0.835052,0.848954,0.539414,0.453372
0.017973,0.899382,1371,2112,1557,2035,2180,1550,2062,2035,2692,1542,3422,2926,1857,2613,,0.553131,0.394196,0.420909,0.367232,0.110274,0.227795,0.251961,0.044910,0.606061,0.477901,0.835052,0.849864,0.541667,0.453372
0.018022,0.917405,1371,2112,1557,2035,2180,1550,2062,2035,2692,1542,3422,2926,1857,2613,,0.553131,0.394196,0.420909,0.367232,0.110274,0.227795,0.251961,0.044910,0.606061,0.477901,0.835052,0.849864,0.541667,0.453372
