GloveManager recording started on 10/20/16 at 16:12:17

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017419,0.017419,1684,2573,1583,2215,2702,1982,2401,2983,2882,1420,3263,2895,1795,2600,,0.850095,0.951632,0.444545,0.570621,0.467808,0.488822,0.584314,0.754491,0.827506,0.365562,0.671134,0.821656,0.471847,0.444046
0.018017,0.035436,1685,2574,1584,2216,2702,1984,2401,2983,2882,1421,3262,2894,1796,2600,,0.851044,0.952842,0.445455,0.571751,0.467808,0.490030,0.584314,0.754491,0.827506,0.366482,0.670103,0.820746,0.472973,0.444046
0.017991,0.053427,1685,2574,1585,2216,2702,1984,2402,2982,2882,1421,3262,2895,1798,2600,,0.851044,0.952842,0.446364,0.571751,0.467808,0.490030,0.585294,0.753743,0.827506,0.366482,0.670103,0.821656,0.475225,0.444046
0.018006,0.071434,1684,2574,1584,2215,2702,1983,2402,2983,2881,1422,3262,2895,1796,2601,,0.850095,0.952842,0.445455,0.570621,0.467808,0.489426,0.585294,0.754491,0.826340,0.367403,0.670103,0.821656,0.472973,0.444763
0.017964,0.089398,1684,2574,1584,2215,2703,1982,2403,2982,2882,1422,3262,2895,1796,2602,,0.850095,0.952842,0.445455,0.570621,0.468493,0.488822,0.586275,0.753743,0.827506,0.367403,0.670103,0.821656,0.472973,0.445481
0.018043,0.107441,1684,2574,1584,2215,2703,1982,2403,2982,2882,1422,3262,2895,1796,2602,,0.850095,0.952842,0.445455,0.570621,0.468493,0.488822,0.586275,0.753743,0.827506,0.367403,0.670103,0.821656,0.472973,0.445481
0.017998,0.125439,1684,2574,1584,2215,2702,1982,2402,2982,2882,1423,3262,2895,1796,2602,,0.850095,0.952842,0.445455,0.570621,0.467808,0.488822,0.585294,0.753743,0.827506,0.368324,0.670103,0.821656,0.472973,0.445481
0.017989,0.143428,1684,2574,1584,2216,2704,1985,2402,2981,2881,1422,3262,2896,1795,2603,,0.850095,0.952842,0.445455,0.571751,0.469178,0.490634,0.585294,0.752994,0.826340,0.367403,0.670103,0.822566,0.471847,0.446198
0.018011,0.161439,1684,2574,1583,2216,2704,1985,2401,2981,2881,1421,3262,2896,1795,2603,,0.850095,0.952842,0.444545,0.571751,0.469178,0.490634,0.584314,0.752994,0.826340,0.366482,0.670103,0.822566,0.471847,0.446198
