GloveManager recording started on 10/20/16 at 16:12:42

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017231,0.017231,1249,1899,1304,2498,3173,2321,2626,3088,2896,1599,3407,2698,1689,2097,,0.437381,0.136638,0.190909,0.890395,0.790411,0.693656,0.804902,0.833084,0.843823,0.530387,0.819588,0.642402,0.352477,0.083214
0.018002,0.035233,1250,1899,1305,2498,3172,2321,2625,3088,2896,1600,3408,2698,1687,2096,,0.438330,0.136638,0.191818,0.890395,0.789726,0.693656,0.803922,0.833084,0.843823,0.531308,0.820619,0.642402,0.350225,0.082496
0.018026,0.053259,1249,1900,1305,2498,3174,2321,2625,3088,2896,1600,3408,2698,1688,2097,,0.437381,0.137848,0.191818,0.890395,0.791096,0.693656,0.803922,0.833084,0.843823,0.531308,0.820619,0.642402,0.351351,0.083214
0.017998,0.071257,1249,1899,1304,2497,3174,2320,2626,3088,2896,1600,3408,2699,1689,2097,,0.437381,0.136638,0.190909,0.889266,0.791096,0.693051,0.804902,0.833084,0.843823,0.531308,0.820619,0.643312,0.352477,0.083214
0.017998,0.089255,1249,1899,1305,2498,3174,2321,2626,3088,2896,1600,3408,2699,1688,2097,,0.437381,0.136638,0.191818,0.890395,0.791096,0.693656,0.804902,0.833084,0.843823,0.531308,0.820619,0.643312,0.351351,0.083214
0.017984,0.107239,1250,1900,1306,2499,3173,2321,2626,3087,2896,1600,3408,2699,1689,2097,,0.438330,0.137848,0.192727,0.891525,0.790411,0.693656,0.804902,0.832335,0.843823,0.531308,0.820619,0.643312,0.352477,0.083214
0.018031,0.125269,1250,1899,1304,2498,3173,2321,2626,3088,2896,1600,3408,2699,1689,2097,,0.438330,0.136638,0.190909,0.890395,0.790411,0.693656,0.804902,0.833084,0.843823,0.531308,0.820619,0.643312,0.352477,0.083214
0.017976,0.143246,1249,1899,1305,2498,3173,2321,2626,3088,2896,1600,3408,2699,1688,2097,,0.437381,0.136638,0.191818,0.890395,0.790411,0.693656,0.804902,0.833084,0.843823,0.531308,0.820619,0.643312,0.351351,0.083214
0.018015,0.161260,1250,1899,1304,2498,3174,2322,2626,3088,2897,1599,3407,2698,1688,2097,,0.438330,0.136638,0.190909,0.890395,0.791096,0.694260,0.804902,0.833084,0.844988,0.530387,0.819588,0.642402,0.351351,0.083214
