GloveManager recording started on 10/20/16 at 15:58:32

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017810,0.017810,1025,1873,1600,2430,2915,2306,2406,2959,2891,1678,3336,2972,1952,2786,,0.148581,0.105200,0.469349,0.800965,0.578160,0.825243,0.647629,0.731092,0.855952,0.603131,0.824455,0.891720,0.672794,0.576564
0.018024,0.035834,1025,1873,1600,2430,2915,2306,2406,2959,2891,1678,3336,2972,1952,2786,,0.148581,0.105200,0.469349,0.800965,0.578160,0.825243,0.647629,0.731092,0.855952,0.603131,0.824455,0.891720,0.672794,0.576564
0.017956,0.053790,1024,1873,1600,2429,2915,2306,2406,2960,2891,1677,3335,2972,1953,2787,,0.146912,0.105200,0.469349,0.799759,0.578160,0.825243,0.647629,0.731856,0.855952,0.602210,0.823245,0.891720,0.674020,0.577283
0.018053,0.071843,1024,1873,1600,2429,2915,2306,2406,2960,2891,1677,3335,2972,1953,2787,,0.146912,0.105200,0.469349,0.799759,0.578160,0.825243,0.647629,0.731856,0.855952,0.602210,0.823245,0.891720,0.674020,0.577283
0.017994,0.089838,1025,1872,1600,2429,2916,2306,2405,2960,2891,1677,3336,2971,1952,2786,,0.148581,0.103990,0.469349,0.799759,0.578908,0.825243,0.646552,0.731856,0.855952,0.602210,0.824455,0.890810,0.672794,0.576564
0.017997,0.107835,1024,1873,1600,2430,2916,2306,2406,2960,2891,1677,3335,2971,1953,2786,,0.146912,0.105200,0.469349,0.800965,0.578908,0.825243,0.647629,0.731856,0.855952,0.602210,0.823245,0.890810,0.674020,0.576564
0.018002,0.125837,1024,1873,1600,2430,2915,2306,2405,2960,2891,1677,3336,2972,1953,2786,,0.146912,0.105200,0.469349,0.800965,0.578160,0.825243,0.646552,0.731856,0.855952,0.602210,0.824455,0.891720,0.674020,0.576564
0.018003,0.143840,1024,1872,1600,2430,2916,2306,2406,2961,2890,1677,3335,2971,1952,2786,,0.146912,0.103990,0.469349,0.800965,0.578908,0.825243,0.647629,0.732620,0.854762,0.602210,0.823245,0.890810,0.672794,0.576564
0.018001,0.161841,1025,1874,1600,2430,2917,2306,2406,2961,2891,1677,3335,2971,1953,2787,,0.148581,0.106409,0.469349,0.800965,0.579656,0.825243,0.647629,0.732620,0.855952,0.602210,0.823245,0.890810,0.674020,0.577283
