GloveManager recording started on 10/20/16 at 15:59:14

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017214,0.017214,1138,2079,1697,2001,2216,2224,1912,2110,2946,1135,2916,2878,1577,2194,,0.337229,0.354293,0.562261,0.283474,0.055348,0.752868,0.115302,0.082506,0.921429,0.103131,0.315981,0.806187,0.213235,0.150971
0.018021,0.035235,1137,2079,1698,2002,2217,2225,1912,2110,2946,1135,2916,2877,1577,2193,,0.335559,0.354293,0.563218,0.284680,0.056096,0.753751,0.115302,0.082506,0.921429,0.103131,0.315981,0.805278,0.213235,0.150252
0.018000,0.053235,1137,2079,1698,2002,2217,2225,1912,2110,2946,1135,2916,2877,1577,2193,,0.335559,0.354293,0.563218,0.284680,0.056096,0.753751,0.115302,0.082506,0.921429,0.103131,0.315981,0.805278,0.213235,0.150252
0.018044,0.071279,1137,2079,1699,2002,2217,2224,1912,2111,2946,1135,2916,2876,1577,2193,,0.335559,0.354293,0.564176,0.284680,0.056096,0.752868,0.115302,0.083270,0.921429,0.103131,0.315981,0.804368,0.213235,0.150252
0.017994,0.089273,1137,2079,1699,2002,2218,2225,1912,2111,2946,1136,2915,2877,1578,2193,,0.335559,0.354293,0.564176,0.284680,0.056844,0.753751,0.115302,0.083270,0.921429,0.104052,0.314770,0.805278,0.214461,0.150252
0.017985,0.107257,1138,2079,1699,2003,2217,2226,1913,2111,2945,1135,2915,2878,1577,2193,,0.337229,0.354293,0.564176,0.285887,0.056096,0.754634,0.116379,0.083270,0.920238,0.103131,0.314770,0.806187,0.213235,0.150252
0.017993,0.125251,1137,2079,1699,2004,2218,2224,1911,2111,2946,1135,2915,2877,1577,2193,,0.335559,0.354293,0.564176,0.287093,0.056844,0.752868,0.114224,0.083270,0.921429,0.103131,0.314770,0.805278,0.213235,0.150252
0.018016,0.143267,1138,2080,1698,2004,2218,2225,1912,2112,2946,1135,2915,2877,1577,2193,,0.337229,0.355502,0.563218,0.287093,0.056844,0.753751,0.115302,0.084034,0.921429,0.103131,0.314770,0.805278,0.213235,0.150252
0.017976,0.161243,1137,2078,1698,2004,2218,2225,1912,2112,2946,1135,2915,2876,1576,2192,,0.335559,0.353083,0.563218,0.287093,0.056844,0.753751,0.115302,0.084034,0.921429,0.103131,0.314770,0.804368,0.212010,0.149533
