GloveManager recording started on 10/20/16 at 15:59:25

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017530,0.017530,1107,1870,1246,2089,2348,2261,1902,2476,2913,1145,2948,2894,1539,2197,,0.285476,0.101572,0.130268,0.389626,0.154076,0.785525,0.104526,0.362108,0.882143,0.112339,0.354722,0.820746,0.166667,0.153127
0.017996,0.035525,1107,1870,1245,2089,2348,2261,1902,2476,2913,1146,2948,2894,1538,2198,,0.285476,0.101572,0.129310,0.389626,0.154076,0.785525,0.104526,0.362108,0.882143,0.113260,0.354722,0.820746,0.165441,0.153846
0.018002,0.053528,1107,1870,1245,2089,2348,2261,1902,2476,2913,1146,2948,2894,1538,2198,,0.285476,0.101572,0.129310,0.389626,0.154076,0.785525,0.104526,0.362108,0.882143,0.113260,0.354722,0.820746,0.165441,0.153846
0.017979,0.071506,1107,1869,1246,2089,2349,2260,1902,2476,2914,1146,2949,2895,1538,2198,,0.285476,0.100363,0.130268,0.389626,0.154824,0.784643,0.104526,0.362108,0.883333,0.113260,0.355932,0.821656,0.165441,0.153846
0.018032,0.089538,1108,1870,1247,2089,2348,2261,1902,2477,2913,1146,2948,2894,1538,2198,,0.287145,0.101572,0.131226,0.389626,0.154076,0.785525,0.104526,0.362872,0.882143,0.113260,0.354722,0.820746,0.165441,0.153846
0.017969,0.107508,1107,1870,1246,2089,2348,2261,1901,2477,2913,1146,2948,2894,1538,2198,,0.285476,0.101572,0.130268,0.389626,0.154076,0.785525,0.103448,0.362872,0.882143,0.113260,0.354722,0.820746,0.165441,0.153846
0.018026,0.125534,1106,1870,1245,2088,2348,2261,1902,2476,2913,1145,2948,2895,1538,2198,,0.283806,0.101572,0.129310,0.388420,0.154076,0.785525,0.104526,0.362108,0.882143,0.112339,0.354722,0.821656,0.165441,0.153846
0.017952,0.143486,1107,1869,1245,2088,2348,2261,1902,2476,2913,1146,2948,2894,1538,2198,,0.285476,0.100363,0.129310,0.388420,0.154076,0.785525,0.104526,0.362108,0.882143,0.113260,0.354722,0.820746,0.165441,0.153846
0.018036,0.161522,1107,1869,1246,2088,2348,2260,1901,2477,2912,1145,2948,2894,1538,2197,,0.285476,0.100363,0.130268,0.388420,0.154076,0.784643,0.103448,0.362872,0.880952,0.112339,0.354722,0.820746,0.165441,0.153127
0.018011,0.179533,1107,1869,1246,2089,2348,2261,1902,2477,2914,1146,2948,2894,1538,2198,,0.285476,0.100363,0.130268,0.389626,0.154076,0.785525,0.104526,0.362872,0.883333,0.113260,0.354722,0.820746,0.165441,0.153846
0.018008,0.197541,1107,1870,1247,2089,2348,2261,1902,2477,2913,1147,2949,2894,1538,2198,,0.285476,0.101572,0.131226,0.389626,0.154076,0.785525,0.104526,0.362872,0.882143,0.114180,0.355932,0.820746,0.165441,0.153846
0.018003,0.215544,1106,1869,1246,2088,2348,2260,1902,2475,2913,1146,2948,2895,1538,2198,,0.283806,0.100363,0.130268,0.388420,0.154076,0.784643,0.104526,0.361345,0.882143,0.113260,0.354722,0.821656,0.165441,0.153846
0.017993,0.233537,1107,1869,1246,2088,2347,2260,1901,2476,2913,1146,2948,2894,1538,2198,,0.285476,0.100363,0.130268,0.388420,0.153328,0.784643,0.103448,0.362108,0.882143,0.113260,0.354722,0.820746,0.165441,0.153846
0.018000,0.251536,1107,1869,1246,2087,2349,2260,1901,2476,2913,1146,2948,2895,1539,2198,,0.285476,0.100363,0.130268,0.387213,0.154824,0.784643,0.103448,0.362108,0.882143,0.113260,0.354722,0.821656,0.166667,0.153846
0.017979,0.269516,1107,1869,1246,2087,2348,2260,1902,2476,2913,1146,2948,2894,1538,2198,,0.285476,0.100363,0.130268,0.387213,0.154076,0.784643,0.104526,0.362108,0.882143,0.113260,0.354722,0.820746,0.165441,0.153846
0.018029,0.287544,1107,1869,1246,2088,2348,2260,1902,2476,2913,1146,2948,2894,1538,2198,,0.285476,0.100363,0.130268,0.388420,0.154076,0.784643,0.104526,0.362108,0.882143,0.113260,0.354722,0.820746,0.165441,0.153846
0.017994,0.305539,1107,1870,1246,2088,2348,2260,1902,2476,2914,1146,2948,2894,1538,2199,,0.285476,0.101572,0.130268,0.388420,0.154076,0.784643,0.104526,0.362108,0.883333,0.113260,0.354722,0.820746,0.165441,0.154565
0.018002,0.323541,1107,1869,1246,2088,2349,2261,1901,2476,2912,1147,2948,2894,1539,2198,,0.285476,0.100363,0.130268,0.388420,0.154824,0.785525,0.103448,0.362108,0.880952,0.114180,0.354722,0.820746,0.166667,0.153846
0.018000,0.341541,1107,1869,1246,2087,2349,2261,1902,2477,2913,1146,2948,2894,1538,2198,,0.285476,0.100363,0.130268,0.387213,0.154824,0.785525,0.104526,0.362872,0.882143,0.113260,0.354722,0.820746,0.165441,0.153846
0.018002,0.359543,1108,1869,1246,2088,2349,2260,1901,2476,2913,1146,2948,2894,1538,2197,,0.287145,0.100363,0.130268,0.388420,0.154824,0.784643,0.103448,0.362108,0.882143,0.113260,0.354722,0.820746,0.165441,0.153127
0.018005,0.377548,1107,1869,1247,2088,2349,2261,1902,2476,2913,1146,2948,2894,1539,2197,,0.285476,0.100363,0.131226,0.388420,0.154824,0.785525,0.104526,0.362108,0.882143,0.113260,0.354722,0.820746,0.166667,0.153127
0.017974,0.395522,1107,1869,1246,2087,2348,2261,1901,2477,2913,1147,2948,2894,1539,2198,,0.285476,0.100363,0.130268,0.387213,0.154076,0.785525,0.103448,0.362872,0.882143,0.114180,0.354722,0.820746,0.166667,0.153846
0.018023,0.413545,1107,1869,1246,2087,2348,2261,1901,2477,2913,1147,2948,2894,1539,2198,,0.285476,0.100363,0.130268,0.387213,0.154076,0.785525,0.103448,0.362872,0.882143,0.114180,0.354722,0.820746,0.166667,0.153846
0.017985,0.431530,1108,1869,1246,2087,2348,2260,1902,2476,2913,1146,2949,2893,1538,2197,,0.287145,0.100363,0.130268,0.387213,0.154076,0.784643,0.104526,0.362108,0.882143,0.113260,0.355932,0.819836,0.165441,0.153127
0.018026,0.449555,1107,1869,1246,2087,2349,2260,1901,2477,2912,1146,2948,2894,1539,2198,,0.285476,0.100363,0.130268,0.387213,0.154824,0.784643,0.103448,0.362872,0.880952,0.113260,0.354722,0.820746,0.166667,0.153846
0.017999,0.467554,1108,1870,1247,2088,2349,2260,1901,2477,2913,1147,2949,2894,1538,2198,,0.287145,0.101572,0.131226,0.388420,0.154824,0.784643,0.103448,0.362872,0.882143,0.114180,0.355932,0.820746,0.165441,0.153846
0.017996,0.485550,1107,1869,1246,2088,2349,2260,1902,2477,2913,1146,2949,2894,1538,2198,,0.285476,0.100363,0.130268,0.388420,0.154824,0.784643,0.104526,0.362872,0.882143,0.113260,0.355932,0.820746,0.165441,0.153846
0.017979,0.503529,1107,1869,1246,2088,2349,2260,1902,2477,2913,1146,2949,2894,1538,2198,,0.285476,0.100363,0.130268,0.388420,0.154824,0.784643,0.104526,0.362872,0.882143,0.113260,0.355932,0.820746,0.166667,0.153846
0.018001,0.521530,1107,1869,1247,2088,2349,2260,1901,2477,2913,1146,2948,2894,1538,2198,,0.285476,0.100363,0.131226,0.388420,0.154824,0.784643,0.103448,0.362872,0.882143,0.113260,0.354722,0.820746,0.165441,0.153846
0.018030,0.539560,1107,1868,1246,2087,2349,2260,1901,2477,2913,1146,2948,2894,1541,2197,,0.285476,0.099154,0.130268,0.387213,0.154824,0.784643,0.103448,0.362872,0.882143,0.113260,0.354722,0.820746,0.169118,0.153127
0.017996,0.557556,1107,1869,1247,2088,2348,2261,1902,2477,2913,1145,2949,2893,1538,2197,,0.285476,0.100363,0.131226,0.388420,0.154076,0.785525,0.104526,0.362872,0.882143,0.112339,0.355932,0.819836,0.165441,0.153127
0.017985,0.575541,1106,1869,1246,2087,2349,2261,1901,2477,2913,1147,2948,2893,1538,2198,,0.283806,0.100363,0.130268,0.387213,0.154824,0.785525,0.103448,0.362872,0.882143,0.114180,0.354722,0.819836,0.165441,0.153846
0.018011,0.593551,1107,1869,1247,2088,2349,2261,1902,2477,2913,1146,2948,2893,1538,2198,,0.285476,0.100363,0.131226,0.388420,0.154824,0.785525,0.104526,0.362872,0.882143,0.113260,0.354722,0.819836,0.165441,0.153846
0.018001,0.611553,1107,1868,1246,2088,2349,2260,1901,2476,2913,1145,2949,2894,1538,2198,,0.285476,0.099154,0.130268,0.388420,0.154824,0.784643,0.103448,0.362108,0.882143,0.112339,0.355932,0.820746,0.165441,0.153846
0.017987,0.629540,1107,1868,1248,2087,2349,2260,1902,2477,2912,1146,2949,2894,1538,2197,,0.285476,0.099154,0.132184,0.387213,0.154824,0.784643,0.104526,0.362872,0.880952,0.113260,0.355932,0.820746,0.165441,0.153127
0.017994,0.647533,1107,1869,1247,2088,2349,2260,1902,2478,2913,1146,2949,2894,1540,2198,,0.285476,0.100363,0.131226,0.388420,0.154824,0.784643,0.104526,0.363636,0.882143,0.113260,0.355932,0.820746,0.167892,0.153846
0.018024,0.665557,1107,1869,1246,2088,2349,2260,1901,2477,2913,1145,2949,2894,1539,2198,,0.285476,0.100363,0.130268,0.388420,0.154824,0.784643,0.103448,0.362872,0.882143,0.112339,0.355932,0.820746,0.166667,0.153846
0.017994,0.683551,1107,1868,1247,2087,2349,2261,1902,2478,2913,1147,2949,2893,1539,2198,,0.285476,0.099154,0.131226,0.387213,0.154824,0.785525,0.104526,0.363636,0.882143,0.114180,0.355932,0.819836,0.166667,0.153846
0.018017,0.701568,1108,1869,1247,2088,2349,2260,1902,2477,2913,1147,2949,2894,1538,2199,,0.287145,0.100363,0.131226,0.388420,0.154824,0.784643,0.104526,0.362872,0.882143,0.114180,0.355932,0.820746,0.165441,0.154565
0.017997,0.719565,1107,1868,1247,2087,2350,2261,1903,2478,2913,1147,2949,2893,1540,2198,,0.285476,0.099154,0.131226,0.387213,0.155572,0.785525,0.105603,0.363636,0.882143,0.114180,0.355932,0.819836,0.167892,0.153846
0.018009,0.737574,1107,1869,1247,2087,2349,2260,1901,2477,2913,1146,2949,2894,1538,2198,,0.285476,0.100363,0.131226,0.387213,0.154824,0.784643,0.103448,0.362872,0.882143,0.113260,0.355932,0.820746,0.165441,0.153846
0.017989,0.755562,1107,1868,1247,2087,2349,2260,1902,2477,2913,1146,2948,2893,1539,2198,,0.285476,0.099154,0.131226,0.387213,0.154824,0.784643,0.104526,0.362872,0.882143,0.113260,0.354722,0.819836,0.166667,0.153846
