GloveManager recording started on 10/20/16 at 15:59:42

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017518,0.017518,1137,1974,1255,2119,2974,2274,1908,2996,2912,1166,3322,2864,1530,2726,,0.335559,0.227328,0.138889,0.425814,0.622289,0.796999,0.110991,0.759358,0.880952,0.131676,0.807506,0.793449,0.155637,0.533429
0.018049,0.035567,1136,1974,1254,2120,2975,2273,1908,2996,2912,1166,3322,2864,1528,2726,,0.333890,0.227328,0.137931,0.427021,0.623037,0.796117,0.110991,0.759358,0.880952,0.131676,0.807506,0.793449,0.153186,0.533429
0.018020,0.053587,1136,1974,1254,2120,2975,2273,1908,2996,2912,1166,3322,2864,1528,2726,,0.333890,0.227328,0.137931,0.427021,0.623037,0.796117,0.110991,0.759358,0.880952,0.131676,0.807506,0.793449,0.153186,0.533429
0.017980,0.071568,1136,1974,1255,2120,2974,2273,1908,2996,2912,1166,3323,2863,1529,2726,,0.333890,0.227328,0.138889,0.427021,0.622289,0.796117,0.110991,0.759358,0.880952,0.131676,0.808717,0.792539,0.154412,0.533429
0.018008,0.089576,1136,1974,1255,2121,2974,2273,1909,2996,2912,1166,3323,2863,1528,2725,,0.333890,0.227328,0.138889,0.428227,0.622289,0.796117,0.112069,0.759358,0.880952,0.131676,0.808717,0.792539,0.153186,0.532710
0.017971,0.107547,1135,1974,1254,2121,2975,2274,1908,2996,2912,1167,3323,2864,1530,2726,,0.332220,0.227328,0.137931,0.428227,0.623037,0.796999,0.110991,0.759358,0.880952,0.132597,0.808717,0.793449,0.155637,0.533429
0.018028,0.125575,1135,1974,1254,2121,2975,2274,1908,2996,2912,1167,3323,2864,1530,2726,,0.332220,0.227328,0.137931,0.428227,0.623037,0.796999,0.110991,0.759358,0.880952,0.132597,0.808717,0.793449,0.155637,0.533429
0.017952,0.143527,1137,1975,1255,2121,2975,2274,1908,2996,2912,1167,3323,2864,1530,2725,,0.335559,0.228537,0.138889,0.428227,0.623037,0.796999,0.110991,0.759358,0.880952,0.132597,0.808717,0.793449,0.155637,0.532710
0.018055,0.161582,1135,1974,1255,2121,2975,2275,1909,2996,2912,1166,3323,2865,1529,2726,,0.332220,0.227328,0.138889,0.428227,0.623037,0.797882,0.112069,0.759358,0.880952,0.131676,0.808717,0.794358,0.154412,0.533429
