GloveManager recording started on 10/20/16 at 16:00:04

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017492,0.017492,1057,2009,1436,2157,2305,1931,2562,3019,2897,1638,3420,2901,1823,2717,,0.202003,0.269649,0.312261,0.471653,0.121915,0.494263,0.815733,0.776929,0.863095,0.566298,0.926150,0.827116,0.514706,0.526959
0.018026,0.035518,1055,2009,1435,2158,2305,1931,2562,3019,2896,1638,3420,2900,1821,2716,,0.198664,0.269649,0.311303,0.472859,0.121915,0.494263,0.815733,0.776929,0.861905,0.566298,0.926150,0.826206,0.512255,0.526240
0.018009,0.053527,1055,2009,1435,2158,2305,1931,2562,3019,2896,1638,3420,2900,1821,2716,,0.198664,0.269649,0.311303,0.472859,0.121915,0.494263,0.815733,0.776929,0.861905,0.566298,0.926150,0.826206,0.512255,0.526240
0.017988,0.071515,1055,2009,1435,2158,2305,1932,2562,3019,2896,1637,3421,2901,1821,2717,,0.198664,0.269649,0.311303,0.472859,0.121915,0.495146,0.815733,0.776929,0.861905,0.565378,0.927361,0.827116,0.512255,0.526959
0.018014,0.089529,1055,2009,1435,2158,2305,1932,2562,3019,2896,1637,3421,2901,1821,2717,,0.198664,0.269649,0.311303,0.472859,0.121915,0.495146,0.815733,0.776929,0.861905,0.565378,0.927361,0.827116,0.512255,0.526959
0.018006,0.107535,1056,2009,1434,2158,2304,1931,2562,3019,2896,1637,3420,2900,1822,2717,,0.200334,0.269649,0.310345,0.472859,0.121167,0.494263,0.815733,0.776929,0.861905,0.565378,0.926150,0.826206,0.513480,0.526959
0.018000,0.125535,1055,2008,1435,2159,2304,1933,2561,3019,2897,1637,3421,2900,1822,2716,,0.198664,0.268440,0.311303,0.474065,0.121167,0.496028,0.814655,0.776929,0.863095,0.565378,0.927361,0.826206,0.513480,0.526240
0.017990,0.143525,1056,2008,1435,2159,2303,1934,2561,3020,2897,1637,3421,2900,1821,2716,,0.200334,0.268440,0.311303,0.474065,0.120419,0.496911,0.814655,0.777693,0.863095,0.565378,0.927361,0.826206,0.512255,0.526240
0.018002,0.161528,1056,2010,1435,2160,2303,1933,2562,3020,2896,1637,3421,2901,1823,2717,,0.200334,0.270859,0.311303,0.475271,0.120419,0.496028,0.815733,0.777693,0.861905,0.565378,0.927361,0.827116,0.514706,0.526959
0.018002,0.179530,1057,2009,1436,2161,2303,1935,2562,3020,2897,1638,3420,2900,1822,2717,,0.202003,0.269649,0.312261,0.476478,0.120419,0.497793,0.815733,0.777693,0.863095,0.566298,0.926150,0.826206,0.513480,0.526959
0.017990,0.197520,1057,2009,1436,2161,2303,1935,2562,3020,2897,1638,3420,2900,1822,2717,,0.202003,0.269649,0.312261,0.476478,0.120419,0.497793,0.815733,0.777693,0.863095,0.566298,0.926150,0.826206,0.513480,0.526959
0.018012,0.215532,1055,2008,1436,2161,2303,1935,2562,3020,2897,1637,3420,2901,1821,2716,,0.198664,0.268440,0.312261,0.476478,0.120419,0.497793,0.815733,0.777693,0.863095,0.565378,0.926150,0.827116,0.512255,0.526240
0.017991,0.233523,1056,2007,1436,2161,2303,1935,2562,3020,2896,1638,3420,2900,1821,2717,,0.200334,0.267231,0.312261,0.476478,0.120419,0.497793,0.815733,0.777693,0.861905,0.566298,0.926150,0.826206,0.512255,0.526959
0.017985,0.251508,1056,2008,1436,2161,2304,1935,2562,3019,2896,1638,3420,2900,1822,2717,,0.200334,0.268440,0.312261,0.476478,0.121167,0.497793,0.815733,0.776929,0.861905,0.566298,0.926150,0.826206,0.513480,0.526959
0.017978,0.269485,1056,2008,1436,2161,2303,1935,2563,3020,2897,1639,3421,2901,1822,2717,,0.200334,0.268440,0.312261,0.476478,0.120419,0.497793,0.816810,0.777693,0.863095,0.567219,0.927361,0.827116,0.513480,0.526959
0.018057,0.287542,1056,2008,1435,2161,2303,1935,2563,3020,2897,1638,3420,2900,1822,2717,,0.200334,0.268440,0.311303,0.476478,0.120419,0.497793,0.816810,0.777693,0.863095,0.566298,0.926150,0.826206,0.513480,0.526959
0.018002,0.305544,1056,2008,1435,2161,2303,1935,2563,3020,2896,1638,3420,2901,1822,2717,,0.200334,0.268440,0.311303,0.476478,0.120419,0.497793,0.816810,0.777693,0.861905,0.566298,0.926150,0.827116,0.513480,0.526959
0.017991,0.323535,1056,2009,1436,2161,2303,1935,2564,3020,2897,1638,3420,2901,1822,2717,,0.200334,0.269649,0.312261,0.476478,0.120419,0.497793,0.817888,0.777693,0.863095,0.566298,0.926150,0.827116,0.513480,0.526959
0.018003,0.341538,1057,2008,1435,2162,2303,1934,2563,3020,2896,1638,3420,2900,1822,2716,,0.202003,0.268440,0.311303,0.477684,0.120419,0.496911,0.816810,0.777693,0.861905,0.566298,0.926150,0.826206,0.513480,0.526240
0.017975,0.359513,1057,2009,1435,2162,2303,1935,2563,3019,2896,1638,3421,2900,1822,2717,,0.202003,0.269649,0.311303,0.477684,0.120419,0.497793,0.816810,0.776929,0.861905,0.566298,0.927361,0.826206,0.513480,0.526959
0.018021,0.377533,1056,2008,1435,2161,2302,1935,2563,3020,2897,1638,3421,2901,1822,2717,,0.200334,0.268440,0.311303,0.476478,0.119671,0.497793,0.816810,0.777693,0.863095,0.566298,0.927361,0.827116,0.513480,0.526959
0.017989,0.395522,1056,2009,1436,2162,2303,1936,2563,3020,2897,1638,3420,2901,1821,2717,,0.200334,0.269649,0.312261,0.477684,0.120419,0.498676,0.816810,0.777693,0.863095,0.566298,0.926150,0.827116,0.512255,0.526959
0.018012,0.413535,1056,2009,1435,2163,2303,1936,2563,3020,2897,1638,3421,2901,1822,2717,,0.200334,0.269649,0.311303,0.478890,0.120419,0.498676,0.816810,0.777693,0.863095,0.566298,0.927361,0.827116,0.513480,0.526959
0.018006,0.431541,1056,2009,1436,2161,2302,1936,2563,3020,2896,1638,3420,2900,1822,2717,,0.200334,0.269649,0.312261,0.476478,0.119671,0.498676,0.816810,0.777693,0.861905,0.566298,0.926150,0.826206,0.513480,0.526959
0.017981,0.449522,1056,2008,1435,2162,2302,1937,2562,3021,2896,1638,3420,2900,1822,2717,,0.200334,0.268440,0.311303,0.477684,0.119671,0.499559,0.815733,0.778457,0.861905,0.566298,0.926150,0.826206,0.513480,0.526959
0.018024,0.467545,1056,2008,1435,2162,2302,1937,2562,3021,2896,1638,3420,2900,1822,2717,,0.200334,0.268440,0.311303,0.477684,0.119671,0.499559,0.815733,0.778457,0.861905,0.566298,0.926150,0.826206,0.513480,0.526959
0.017970,0.485515,1056,2009,1436,2161,2302,1936,2562,3020,2896,1637,3420,2902,1822,2717,,0.200334,0.269649,0.312261,0.476478,0.119671,0.498676,0.815733,0.777693,0.861905,0.565378,0.926150,0.828025,0.513480,0.526959
0.018005,0.503520,1056,2009,1436,2161,2302,1936,2562,3020,2896,1637,3420,2902,1822,2717,,0.200334,0.269649,0.312261,0.476478,0.119671,0.498676,0.815733,0.777693,0.861905,0.565378,0.926150,0.828025,0.513480,0.526959
0.018008,0.521528,1056,2010,1435,2161,2302,1936,2562,3021,2897,1639,3421,2902,1821,2717,,0.200334,0.270859,0.311303,0.476478,0.119671,0.498676,0.815733,0.778457,0.863095,0.567219,0.927361,0.828025,0.512255,0.526959
0.018013,0.539541,1056,2009,1436,2162,2302,1935,2562,3020,2896,1637,3421,2901,1821,2717,,0.200334,0.269649,0.312261,0.477684,0.119671,0.497793,0.815733,0.777693,0.861905,0.565378,0.927361,0.827116,0.512255,0.526959
0.018009,0.557550,1057,2009,1436,2162,2302,1936,2562,3021,2897,1638,3421,2901,1822,2717,,0.202003,0.269649,0.312261,0.477684,0.119671,0.498676,0.815733,0.778457,0.863095,0.566298,0.927361,0.827116,0.513480,0.526959
0.018028,0.575578,1057,2010,1437,2162,2302,1937,2563,3020,2897,1638,3420,2902,1822,2717,,0.202003,0.270859,0.313218,0.477684,0.119671,0.499559,0.816810,0.777693,0.863095,0.566298,0.926150,0.828025,0.513480,0.526959
0.017953,0.593531,1057,2010,1437,2162,2302,1938,2562,3019,2897,1638,3422,2901,1821,2716,,0.202003,0.270859,0.313218,0.477684,0.119671,0.500441,0.815733,0.776929,0.863095,0.566298,0.928571,0.827116,0.512255,0.526240
0.017989,0.611520,1057,2010,1437,2162,2302,1938,2562,3019,2897,1638,3422,2901,1821,2716,,0.202003,0.270859,0.313218,0.477684,0.119671,0.500441,0.815733,0.776929,0.863095,0.566298,0.928571,0.827116,0.512255,0.526240
0.018027,0.629547,1057,2009,1437,2162,2302,1938,2562,3020,2897,1637,3421,2902,1821,2717,,0.202003,0.269649,0.313218,0.477684,0.119671,0.500441,0.815733,0.777693,0.863095,0.565378,0.927361,0.828025,0.512255,0.526959
