GloveManager recording started on 10/20/16 at 16:00:12

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017412,0.017412,1136,1895,1320,2198,2160,2221,2347,2363,2741,1618,3404,2954,1801,2771,,0.333890,0.131802,0.201149,0.521110,0.013463,0.750221,0.584052,0.275783,0.677381,0.547882,0.906780,0.875341,0.487745,0.565780
0.018002,0.035414,1135,1895,1322,2197,2161,2221,2347,2362,2741,1618,3405,2954,1800,2771,,0.332220,0.131802,0.203065,0.519903,0.014211,0.750221,0.584052,0.275019,0.677381,0.547882,0.907990,0.875341,0.486520,0.565780
0.017971,0.053385,1136,1896,1321,2198,2160,2221,2349,2362,2741,1617,3404,2954,1801,2770,,0.333890,0.133011,0.202107,0.521110,0.013463,0.750221,0.586207,0.275019,0.677381,0.546961,0.906780,0.875341,0.487745,0.565061
0.018025,0.071410,1136,1895,1322,2197,2161,2221,2350,2362,2742,1617,3404,2954,1800,2770,,0.333890,0.131802,0.203065,0.519903,0.014211,0.750221,0.587285,0.275019,0.678571,0.546961,0.906780,0.875341,0.486520,0.565061
0.017976,0.089386,1137,1896,1322,2196,2161,2221,2350,2360,2741,1617,3404,2954,1801,2772,,0.335559,0.133011,0.203065,0.518697,0.014211,0.750221,0.587285,0.273491,0.677381,0.546961,0.906780,0.875341,0.487745,0.566499
0.018024,0.107410,1136,1895,1321,2196,2161,2220,2348,2359,2741,1614,3404,2954,1800,2770,,0.333890,0.131802,0.202107,0.518697,0.014211,0.749338,0.585129,0.272727,0.677381,0.544199,0.906780,0.875341,0.486520,0.565061
0.017976,0.125385,1136,1896,1320,2196,2161,2221,2348,2359,2741,1614,3404,2954,1799,2770,,0.333890,0.133011,0.201149,0.518697,0.014211,0.750221,0.585129,0.272727,0.677381,0.544199,0.906780,0.875341,0.485294,0.565061
0.018027,0.143413,1136,1896,1320,2195,2161,2220,2349,2358,2742,1615,3405,2953,1799,2771,,0.333890,0.133011,0.201149,0.517491,0.014211,0.749338,0.586207,0.271963,0.678571,0.545120,0.907990,0.874431,0.485294,0.565780
0.017997,0.161410,1137,1896,1320,2196,2160,2221,2351,2359,2742,1615,3405,2953,1799,2771,,0.335559,0.133011,0.201149,0.518697,0.013463,0.750221,0.588362,0.272727,0.678571,0.545120,0.907990,0.874431,0.485294,0.565780
0.018014,0.179424,1137,1896,1321,2196,2161,2220,2353,2359,2741,1615,3406,2955,1799,2772,,0.335559,0.133011,0.202107,0.518697,0.014211,0.749338,0.590517,0.272727,0.677381,0.545120,0.909201,0.876251,0.485294,0.566499
0.017996,0.197420,1137,1895,1321,2196,2161,2221,2353,2358,2742,1616,3405,2955,1806,2772,,0.335559,0.131802,0.202107,0.518697,0.014211,0.750221,0.590517,0.271963,0.678571,0.546041,0.907990,0.876251,0.493873,0.566499
0.017970,0.215391,1137,1896,1319,2196,2160,2221,2353,2358,2742,1615,3405,2954,1799,2771,,0.335559,0.133011,0.200192,0.518697,0.013463,0.750221,0.590517,0.271963,0.678571,0.545120,0.907990,0.875341,0.485294,0.565780
0.018039,0.233429,1137,1896,1320,2195,2161,2222,2352,2358,2742,1614,3405,2954,1799,2771,,0.335559,0.133011,0.201149,0.517491,0.014211,0.751103,0.589440,0.271963,0.678571,0.544199,0.907990,0.875341,0.485294,0.565780
0.017963,0.251393,1136,1898,1321,2196,2161,2221,2353,2358,2741,1615,3405,2954,1800,2771,,0.333890,0.135429,0.202107,0.518697,0.014211,0.750221,0.590517,0.271963,0.677381,0.545120,0.907990,0.875341,0.486520,0.565780
0.018025,0.269418,1136,1897,1320,2196,2161,2221,2353,2357,2741,1615,3405,2954,1799,2771,,0.333890,0.134220,0.201149,0.518697,0.014211,0.750221,0.590517,0.271199,0.677381,0.545120,0.907990,0.875341,0.485294,0.565780
0.018020,0.287438,1137,1897,1322,2197,2160,2221,2354,2358,2742,1615,3405,2955,1800,2771,,0.335559,0.134220,0.203065,0.519903,0.013463,0.750221,0.591595,0.271963,0.678571,0.545120,0.907990,0.876251,0.486520,0.565780
0.017936,0.305373,1136,1896,1323,2196,2161,2221,2355,2357,2742,1614,3405,2953,1800,2771,,0.333890,0.133011,0.204023,0.518697,0.014211,0.750221,0.592672,0.271199,0.678571,0.544199,0.907990,0.874431,0.486520,0.565780
0.018048,0.323422,1137,1898,1333,2195,2161,2221,2355,2357,2742,1613,3406,2953,1799,2771,,0.335559,0.135429,0.213602,0.517491,0.014211,0.750221,0.592672,0.271199,0.678571,0.543278,0.909201,0.874431,0.485294,0.565780
0.017977,0.341399,1135,1898,1338,2193,2160,2221,2353,2356,2742,1612,3406,2953,1799,2771,,0.332220,0.135429,0.218391,0.515078,0.013463,0.750221,0.590517,0.270435,0.678571,0.542357,0.909201,0.874431,0.485294,0.565780
0.018036,0.359434,1134,1899,1342,2194,2160,2222,2354,2357,2742,1613,3406,2953,1799,2771,,0.330551,0.136638,0.222222,0.516285,0.013463,0.751103,0.591595,0.271199,0.678571,0.543278,0.909201,0.874431,0.485294,0.565780
0.017977,0.377412,1135,1898,1345,2193,2160,2221,2352,2357,2742,1612,3406,2953,1798,2771,,0.332220,0.135429,0.225096,0.515078,0.013463,0.750221,0.589440,0.271199,0.678571,0.542357,0.909201,0.874431,0.484069,0.565780
0.018027,0.395439,1135,1898,1345,2193,2160,2222,2353,2357,2742,1612,3406,2953,1798,2771,,0.332220,0.135429,0.225096,0.515078,0.013463,0.751103,0.590517,0.271199,0.678571,0.542357,0.909201,0.874431,0.484069,0.565780
0.018008,0.413447,1135,1898,1344,2193,2160,2222,2353,2357,2742,1613,3407,2953,1798,2770,,0.332220,0.135429,0.224138,0.515078,0.013463,0.751103,0.590517,0.271199,0.678571,0.543278,0.910412,0.874431,0.484069,0.565061
0.017968,0.431415,1133,1898,1343,2194,2160,2221,2353,2356,2742,1613,3406,2953,1798,2770,,0.328881,0.135429,0.223180,0.516285,0.013463,0.750221,0.590517,0.270435,0.678571,0.543278,0.909201,0.874431,0.484069,0.565061
0.018024,0.449439,1133,1897,1341,2194,2160,2221,2354,2356,2742,1613,3407,2953,1799,2771,,0.328881,0.134220,0.221264,0.516285,0.013463,0.750221,0.591595,0.270435,0.678571,0.543278,0.910412,0.874431,0.485294,0.565780
0.018008,0.467447,1135,1897,1340,2195,2159,2222,2356,2355,2742,1614,3406,2953,1800,2771,,0.332220,0.134220,0.220307,0.517491,0.012715,0.751103,0.593750,0.269671,0.678571,0.544199,0.909201,0.874431,0.486520,0.565780
0.017983,0.485430,1133,1896,1339,2195,2160,2223,2357,2355,2742,1614,3407,2953,1799,2770,,0.328881,0.133011,0.219349,0.517491,0.013463,0.751986,0.594828,0.269671,0.678571,0.544199,0.910412,0.874431,0.485294,0.565061
