GloveManager recording started on 10/20/16 at 16:00:20

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017482,0.017482,1053,1878,1262,2396,3222,2401,2352,3098,2916,1441,3370,2837,1673,2158,,0.195326,0.111245,0.145594,0.759952,0.807779,0.909091,0.589440,0.837280,0.885714,0.384899,0.865617,0.768881,0.330882,0.125090
0.018002,0.035483,1053,1878,1262,2395,3224,2401,2354,3098,2917,1442,3369,2837,1673,2158,,0.195326,0.111245,0.145594,0.758745,0.809274,0.909091,0.591595,0.837280,0.886905,0.385820,0.864407,0.768881,0.330882,0.125090
0.018048,0.053532,1053,1878,1262,2395,3224,2401,2354,3098,2917,1443,3370,2837,1673,2158,,0.195326,0.111245,0.146552,0.758745,0.807779,0.909091,0.590517,0.837280,0.886905,0.386740,0.865617,0.768881,0.330882,0.125090
0.017953,0.071484,1053,1877,1262,2395,3223,2400,2353,3099,2917,1442,3370,2836,1674,2158,,0.195326,0.110036,0.145594,0.758745,0.808527,0.908208,0.590517,0.838044,0.886905,0.385820,0.865617,0.767971,0.332108,0.125090
0.018014,0.089498,1054,1877,1263,2396,3224,2402,2354,3098,2917,1443,3369,2837,1673,2158,,0.196995,0.110036,0.146552,0.759952,0.809274,0.909974,0.591595,0.837280,0.886905,0.386740,0.864407,0.768881,0.330882,0.125090
0.017997,0.107495,1053,1878,1263,2396,3223,2402,2353,3098,2917,1444,3369,2837,1673,2158,,0.195326,0.111245,0.146552,0.759952,0.808527,0.909974,0.590517,0.837280,0.886905,0.387661,0.864407,0.768881,0.330882,0.125090
0.017965,0.125459,1054,1879,1263,2396,3224,2401,2355,3099,2917,1444,3369,2836,1673,2158,,0.196995,0.112455,0.146552,0.759952,0.809274,0.909091,0.592672,0.838044,0.886905,0.387661,0.864407,0.767971,0.330882,0.125090
0.018000,0.143460,1054,1878,1263,2395,3223,2402,2354,3099,2917,1444,3369,2837,1672,2158,,0.196995,0.111245,0.146552,0.758745,0.808527,0.909974,0.591595,0.838044,0.886905,0.387661,0.864407,0.768881,0.329657,0.125090
0.018029,0.161489,1053,1878,1262,2395,3223,2401,2353,3098,2917,1444,3370,2837,1673,2158,,0.195326,0.111245,0.145594,0.758745,0.808527,0.909091,0.590517,0.837280,0.886905,0.387661,0.865617,0.768881,0.330882,0.125090
