GloveManager recording started on 10/20/16 at 16:01:27

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017611,0.017611,1043,1828,1322,2404,3043,2382,2310,2914,2906,1440,3251,2711,1680,2115,,0.178631,0.050786,0.203065,0.769602,0.673897,0.892321,0.544181,0.696715,0.873810,0.383978,0.721550,0.654231,0.339461,0.094177
0.017956,0.035568,1042,1827,1322,2405,3042,2383,2309,2915,2905,1440,3251,2711,1680,2114,,0.176962,0.049577,0.203065,0.770808,0.673149,0.893204,0.543103,0.697479,0.872619,0.383978,0.721550,0.654231,0.339461,0.093458
0.018065,0.053633,1042,1828,1322,2405,3042,2382,2310,2916,2906,1441,3251,2712,1681,2114,,0.176962,0.050786,0.203065,0.770808,0.673149,0.892321,0.544181,0.698243,0.873810,0.384899,0.721550,0.655141,0.340686,0.093458
0.017989,0.071622,1044,1827,1322,2405,3042,2382,2310,2915,2905,1439,3251,2711,1681,2115,,0.180301,0.049577,0.203065,0.770808,0.673149,0.892321,0.544181,0.697479,0.872619,0.383057,0.721550,0.654231,0.340686,0.094177
0.017947,0.089569,1043,1827,1322,2405,3042,2383,2310,2915,2905,1440,3251,2711,1681,2114,,0.178631,0.049577,0.203065,0.770808,0.673149,0.893204,0.544181,0.697479,0.872619,0.383978,0.721550,0.654231,0.340686,0.093458
0.018024,0.107593,1043,1827,1322,2405,3042,2382,2309,2915,2905,1440,3251,2710,1680,2115,,0.178631,0.049577,0.203065,0.770808,0.673149,0.892321,0.543103,0.697479,0.872619,0.383978,0.721550,0.653321,0.339461,0.094177
0.018028,0.125621,1043,1827,1322,2405,3042,2382,2309,2915,2905,1440,3251,2710,1680,2115,,0.178631,0.049577,0.203065,0.770808,0.673149,0.892321,0.543103,0.697479,0.872619,0.383978,0.721550,0.653321,0.339461,0.094177
0.018011,0.143632,1042,1827,1322,2404,3042,2382,2310,2915,2905,1440,3251,2711,1681,2115,,0.176962,0.049577,0.203065,0.769602,0.673149,0.892321,0.544181,0.697479,0.872619,0.383978,0.721550,0.654231,0.340686,0.094177
0.017994,0.161626,1042,1827,1322,2404,3042,2382,2310,2915,2905,1440,3251,2711,1681,2115,,0.176962,0.049577,0.203065,0.769602,0.673149,0.892321,0.544181,0.697479,0.872619,0.383978,0.721550,0.654231,0.340686,0.094177
0.017997,0.179623,1042,1827,1322,2405,3042,2383,2309,2915,2905,1440,3251,2710,1681,2114,,0.176962,0.049577,0.203065,0.770808,0.673149,0.893204,0.543103,0.697479,0.872619,0.383978,0.721550,0.653321,0.340686,0.093458
0.017997,0.197620,1043,1827,1323,2405,3042,2382,2310,2916,2906,1440,3251,2711,1681,2115,,0.178631,0.049577,0.204023,0.770808,0.673149,0.892321,0.544181,0.698243,0.873810,0.383978,0.721550,0.654231,0.340686,0.094177
0.018005,0.215625,1043,1828,1322,2404,3042,2382,2309,2915,2906,1440,3251,2709,1681,2114,,0.178631,0.050786,0.203065,0.769602,0.673149,0.892321,0.543103,0.697479,0.873810,0.383978,0.721550,0.652411,0.340686,0.093458
0.018002,0.233628,1043,1828,1322,2404,3041,2382,2310,2915,2906,1440,3251,2710,1681,2115,,0.178631,0.050786,0.203065,0.769602,0.672401,0.892321,0.544181,0.697479,0.873810,0.383978,0.721550,0.653321,0.340686,0.094177
0.018017,0.251645,1043,1827,1323,2404,3042,2382,2309,2915,2906,1440,3250,2710,1681,2114,,0.178631,0.049577,0.204023,0.769602,0.673149,0.892321,0.543103,0.697479,0.873810,0.383978,0.720339,0.653321,0.340686,0.093458
0.017974,0.269619,1043,1828,1323,2404,3041,2383,2309,2915,2906,1440,3251,2710,1681,2114,,0.178631,0.050786,0.204023,0.769602,0.672401,0.893204,0.543103,0.697479,0.873810,0.383978,0.721550,0.653321,0.340686,0.093458
0.017988,0.287606,1043,1828,1323,2404,3041,2383,2309,2915,2906,1440,3251,2710,1681,2114,,0.178631,0.050786,0.204023,0.769602,0.672401,0.893204,0.543103,0.697479,0.873810,0.383978,0.721550,0.653321,0.340686,0.093458
0.018023,0.305629,1043,1828,1323,2405,3041,2383,2310,2915,2906,1440,3251,2710,1680,2114,,0.178631,0.050786,0.204023,0.770808,0.672401,0.893204,0.544181,0.697479,0.873810,0.383978,0.721550,0.653321,0.339461,0.093458
0.018019,0.323648,1043,1827,1323,2404,3041,2383,2309,2915,2906,1440,3251,2710,1682,2115,,0.178631,0.049577,0.204023,0.769602,0.672401,0.893204,0.543103,0.697479,0.873810,0.383978,0.721550,0.653321,0.341912,0.094177
0.017982,0.341630,1043,1827,1323,2405,3042,2382,2310,2915,2906,1441,3251,2710,1682,2114,,0.178631,0.049577,0.204023,0.770808,0.673149,0.892321,0.544181,0.697479,0.873810,0.384899,0.721550,0.653321,0.341912,0.093458
0.018002,0.359633,1043,1827,1323,2404,3042,2382,2309,2915,2906,1440,3250,2710,1681,2114,,0.178631,0.049577,0.204023,0.769602,0.673149,0.892321,0.543103,0.697479,0.873810,0.383978,0.720339,0.653321,0.340686,0.093458
0.017985,0.377618,1043,1827,1323,2405,3042,2383,2310,2915,2905,1442,3251,2710,1681,2115,,0.178631,0.049577,0.204023,0.770808,0.673149,0.893204,0.544181,0.697479,0.872619,0.385820,0.721550,0.653321,0.340686,0.094177
0.018027,0.395645,1043,1827,1322,2404,3042,2382,2309,2915,2906,1441,3250,2710,1681,2114,,0.178631,0.049577,0.203065,0.769602,0.673149,0.892321,0.543103,0.697479,0.873810,0.384899,0.720339,0.653321,0.340686,0.093458
0.018001,0.413646,1043,1827,1323,2405,3042,2382,2310,2915,2906,1441,3251,2710,1681,2113,,0.178631,0.049577,0.204023,0.770808,0.673149,0.892321,0.544181,0.697479,0.873810,0.384899,0.721550,0.653321,0.340686,0.092739
0.017994,0.431640,1043,1827,1323,2404,3042,2383,2309,2915,2905,1440,3250,2710,1681,2114,,0.178631,0.049577,0.204023,0.769602,0.673149,0.893204,0.543103,0.697479,0.872619,0.383978,0.720339,0.653321,0.340686,0.093458
0.018001,0.449641,1043,1827,1324,2404,3043,2382,2311,2915,2905,1441,3251,2710,1682,2114,,0.178631,0.049577,0.204981,0.769602,0.673897,0.892321,0.545259,0.697479,0.872619,0.384899,0.721550,0.653321,0.341912,0.093458
0.018000,0.467641,1043,1827,1324,2404,3043,2382,2311,2915,2905,1441,3251,2710,1682,2114,,0.178631,0.049577,0.204981,0.769602,0.673897,0.892321,0.545259,0.697479,0.872619,0.384899,0.721550,0.653321,0.341912,0.093458
0.018000,0.485640,1043,1827,1323,2405,3042,2382,2311,2915,2906,1442,3250,2710,1681,2114,,0.178631,0.049577,0.204023,0.770808,0.673149,0.892321,0.545259,0.697479,0.873810,0.385820,0.720339,0.653321,0.340686,0.093458
0.017976,0.503616,1043,1827,1324,2404,3042,2383,2311,2915,2905,1441,3250,2709,1682,2113,,0.178631,0.049577,0.204981,0.769602,0.673149,0.893204,0.545259,0.697479,0.872619,0.384899,0.720339,0.652411,0.341912,0.092739
0.018026,0.521642,1044,1827,1323,2404,3042,2383,2311,2915,2906,1441,3251,2709,1681,2114,,0.180301,0.049577,0.204023,0.769602,0.673149,0.893204,0.545259,0.697479,0.873810,0.384899,0.721550,0.652411,0.340686,0.093458
0.018015,0.539657,1044,1827,1323,2405,3042,2383,2311,2915,2906,1442,3251,2710,1681,2115,,0.180301,0.049577,0.204023,0.770808,0.673149,0.893204,0.545259,0.697479,0.873810,0.385820,0.721550,0.653321,0.340686,0.094177
0.017982,0.557639,1044,1828,1323,2405,3042,2383,2311,2915,2906,1441,3251,2711,1682,2114,,0.180301,0.050786,0.204023,0.770808,0.673149,0.893204,0.545259,0.697479,0.873810,0.384899,0.721550,0.654231,0.341912,0.093458
0.018007,0.575646,1043,1828,1324,2404,3042,2382,2311,2916,2906,1441,3251,2709,1681,2113,,0.178631,0.050786,0.204981,0.769602,0.673149,0.892321,0.545259,0.698243,0.873810,0.384899,0.721550,0.652411,0.340686,0.092739
0.017980,0.593626,1043,1827,1323,2404,3042,2383,2311,2915,2906,1441,3251,2709,1681,2113,,0.178631,0.049577,0.204023,0.769602,0.673149,0.893204,0.545259,0.697479,0.873810,0.384899,0.721550,0.652411,0.340686,0.092739
0.018021,0.611647,1043,1827,1323,2404,3042,2383,2311,2915,2906,1441,3251,2709,1681,2113,,0.178631,0.049577,0.204023,0.769602,0.673149,0.893204,0.545259,0.697479,0.873810,0.384899,0.721550,0.652411,0.340686,0.092739
0.017992,0.629640,1044,1827,1324,2405,3042,2383,2311,2915,2906,1440,3250,2709,1681,2114,,0.180301,0.049577,0.204981,0.770808,0.673149,0.893204,0.545259,0.697479,0.873810,0.383978,0.720339,0.652411,0.340686,0.093458
0.018013,0.647653,1044,1827,1324,2405,3042,2383,2311,2915,2906,1440,3250,2709,1681,2114,,0.180301,0.049577,0.204981,0.770808,0.673149,0.893204,0.545259,0.697479,0.873810,0.383978,0.720339,0.652411,0.340686,0.093458
0.017997,0.665650,1043,1826,1323,2404,3042,2382,2311,2915,2906,1441,3251,2710,1681,2114,,0.178631,0.048368,0.204023,0.769602,0.673149,0.892321,0.545259,0.697479,0.873810,0.384899,0.721550,0.653321,0.340686,0.093458
0.018009,0.683659,1043,1827,1323,2405,3042,2382,2310,2915,2907,1440,3250,2710,1681,2114,,0.178631,0.049577,0.204023,0.770808,0.673149,0.892321,0.544181,0.697479,0.875000,0.383978,0.720339,0.653321,0.340686,0.093458
0.017994,0.701653,1043,1827,1323,2404,3043,2382,2311,2915,2905,1441,3251,2710,1681,2113,,0.178631,0.049577,0.204023,0.769602,0.673897,0.892321,0.545259,0.697479,0.872619,0.384899,0.721550,0.653321,0.340686,0.092739
0.018001,0.719654,1043,1827,1324,2404,3042,2383,2311,2915,2906,1441,3251,2710,1682,2114,,0.178631,0.049577,0.204981,0.769602,0.673149,0.893204,0.545259,0.697479,0.873810,0.384899,0.721550,0.653321,0.341912,0.093458
