GloveManager recording started on 10/20/16 at 16:01:41

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017504,0.017504,1091,1871,1356,2122,2331,1847,2653,3055,2860,1674,3413,2910,1911,2458,,0.258765,0.102781,0.235632,0.429433,0.141361,0.420124,0.913793,0.804431,0.819048,0.599447,0.917676,0.835305,0.622549,0.340762
0.017962,0.035467,1090,1872,1356,2122,2331,1847,2653,3056,2860,1674,3413,2910,1911,2458,,0.257095,0.103990,0.235632,0.429433,0.141361,0.420124,0.913793,0.805195,0.819048,0.599447,0.917676,0.835305,0.622549,0.340762
0.018002,0.053469,1090,1870,1355,2121,2330,1847,2654,3056,2860,1675,3413,2910,1911,2457,,0.257095,0.101572,0.234674,0.428227,0.140613,0.420124,0.914871,0.805195,0.819048,0.600368,0.917676,0.835305,0.622549,0.340043
0.018034,0.071503,1090,1870,1355,2121,2330,1848,2654,3055,2859,1673,3413,2911,1911,2458,,0.257095,0.101572,0.234674,0.428227,0.140613,0.421006,0.914871,0.804431,0.817857,0.598527,0.917676,0.836215,0.622549,0.340762
0.018027,0.089530,1090,1870,1355,2121,2331,1848,2654,3056,2859,1674,3413,2911,1911,2458,,0.257095,0.101572,0.234674,0.428227,0.141361,0.421006,0.914871,0.805195,0.817857,0.599447,0.917676,0.836215,0.622549,0.340762
0.017999,0.107529,1090,1871,1355,2121,2330,1848,2654,3054,2859,1673,3413,2910,1911,2458,,0.257095,0.102781,0.234674,0.428227,0.140613,0.421006,0.914871,0.803667,0.817857,0.598527,0.917676,0.835305,0.622549,0.340762
0.017995,0.125524,1090,1871,1355,2122,2330,1848,2653,3056,2859,1674,3413,2911,1912,2459,,0.257095,0.102781,0.234674,0.429433,0.140613,0.421006,0.913793,0.805195,0.817857,0.599447,0.917676,0.836215,0.623775,0.341481
0.017996,0.143520,1091,1871,1355,2122,2330,1849,2653,3056,2859,1674,3413,2911,1911,2458,,0.258765,0.102781,0.234674,0.429433,0.140613,0.421889,0.913793,0.805195,0.817857,0.599447,0.917676,0.836215,0.622549,0.340762
0.017986,0.161506,1091,1871,1355,2122,2330,1848,2654,3056,2859,1674,3413,2911,1913,2459,,0.258765,0.102781,0.234674,0.429433,0.140613,0.421006,0.914871,0.805195,0.817857,0.599447,0.917676,0.836215,0.625000,0.341481
0.018017,0.179523,1091,1872,1354,2123,2330,1849,2655,3057,2859,1674,3414,2911,1912,2459,,0.258765,0.103990,0.233716,0.430639,0.140613,0.421889,0.915948,0.805959,0.817857,0.599447,0.918886,0.836215,0.623775,0.341481
0.017982,0.197505,1090,1872,1354,2122,2330,1849,2654,3056,2860,1674,3413,2912,1911,2459,,0.257095,0.103990,0.233716,0.429433,0.140613,0.421889,0.914871,0.805195,0.819048,0.599447,0.917676,0.837125,0.622549,0.341481
0.018025,0.215529,1091,1872,1355,2122,2330,1849,2655,3056,2859,1675,3414,2910,1912,2459,,0.258765,0.103990,0.234674,0.429433,0.140613,0.421889,0.915948,0.805195,0.817857,0.600368,0.918886,0.835305,0.623775,0.341481
0.017997,0.233526,1091,1872,1355,2123,2330,1849,2655,3057,2860,1675,3413,2910,1912,2460,,0.258765,0.103990,0.234674,0.430639,0.140613,0.421889,0.915948,0.805959,0.819048,0.600368,0.917676,0.835305,0.623775,0.342200
