GloveManager recording started on 10/20/16 at 16:01:47

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017859,0.017859,1357,2264,1401,2239,2828,2361,2116,2894,2941,1294,3233,2822,1904,2712,,0.702838,0.577993,0.278736,0.570567,0.513089,0.873786,0.335129,0.681436,0.915476,0.249540,0.699758,0.755232,0.613971,0.523364
0.018005,0.035864,1359,2266,1402,2238,2829,2361,2117,2894,2941,1294,3233,2822,1903,2712,,0.706177,0.580411,0.279693,0.569361,0.513837,0.873786,0.336207,0.681436,0.915476,0.249540,0.699758,0.755232,0.612745,0.523364
0.017965,0.053829,1360,2267,1402,2239,2828,2362,2117,2894,2941,1294,3233,2822,1903,2713,,0.707846,0.581620,0.279693,0.570567,0.513089,0.874669,0.336207,0.681436,0.915476,0.249540,0.699758,0.755232,0.612745,0.524083
0.018024,0.071853,1360,2267,1403,2239,2828,2361,2117,2894,2941,1294,3233,2822,1903,2712,,0.707846,0.581620,0.280651,0.570567,0.513089,0.873786,0.336207,0.681436,0.915476,0.249540,0.699758,0.755232,0.612745,0.523364
0.017980,0.089833,1360,2267,1404,2239,2828,2361,2116,2894,2941,1295,3234,2821,1904,2712,,0.707846,0.581620,0.281609,0.570567,0.513089,0.873786,0.335129,0.681436,0.915476,0.250460,0.700969,0.754322,0.613971,0.523364
0.018013,0.107846,1362,2268,1403,2240,2829,2362,2117,2894,2941,1295,3233,2822,1905,2713,,0.711185,0.582829,0.280651,0.571773,0.513837,0.874669,0.336207,0.681436,0.915476,0.250460,0.699758,0.755232,0.615196,0.524083
0.018020,0.125866,1362,2268,1403,2240,2829,2362,2117,2894,2941,1295,3233,2822,1905,2713,,0.711185,0.582829,0.280651,0.571773,0.513837,0.874669,0.336207,0.681436,0.915476,0.250460,0.699758,0.755232,0.615196,0.524083
0.017992,0.143858,1362,2268,1404,2239,2829,2361,2116,2894,2942,1294,3234,2821,1904,2712,,0.711185,0.582829,0.281609,0.570567,0.513837,0.873786,0.335129,0.681436,0.916667,0.249540,0.700969,0.754322,0.613971,0.523364
0.018003,0.161861,1362,2267,1404,2240,2829,2362,2117,2894,2941,1295,3233,2821,1905,2712,,0.711185,0.581620,0.281609,0.571773,0.513837,0.874669,0.336207,0.681436,0.915476,0.250460,0.699758,0.754322,0.615196,0.523364
0.017985,0.179846,1363,2267,1404,2239,2829,2362,2117,2894,2942,1295,3234,2820,1905,2712,,0.712855,0.581620,0.281609,0.570567,0.513837,0.874669,0.336207,0.681436,0.916667,0.250460,0.700969,0.753412,0.615196,0.523364
0.018025,0.197871,1364,2266,1404,2240,2829,2362,2116,2893,2942,1295,3233,2820,1906,2711,,0.714524,0.580411,0.281609,0.571773,0.513837,0.874669,0.335129,0.680672,0.916667,0.250460,0.699758,0.753412,0.616422,0.522646
0.018003,0.215874,1363,2267,1404,2241,2830,2362,2116,2893,2941,1294,3233,2820,1906,2711,,0.712855,0.581620,0.281609,0.572980,0.514585,0.874669,0.335129,0.680672,0.915476,0.249540,0.699758,0.753412,0.616422,0.522646
0.017995,0.233869,1364,2266,1404,2240,2829,2362,2117,2893,2942,1295,3233,2820,1906,2712,,0.714524,0.580411,0.281609,0.571773,0.513837,0.874669,0.336207,0.680672,0.916667,0.250460,0.699758,0.753412,0.616422,0.523364
0.018001,0.251871,1363,2266,1403,2240,2829,2362,2116,2893,2941,1295,3233,2820,1907,2711,,0.712855,0.580411,0.280651,0.571773,0.513837,0.874669,0.335129,0.680672,0.915476,0.250460,0.699758,0.753412,0.617647,0.522646
0.017980,0.269850,1363,2265,1404,2241,2828,2362,2117,2892,2941,1295,3232,2819,1908,2711,,0.712855,0.579202,0.281609,0.572980,0.513089,0.874669,0.336207,0.679908,0.915476,0.250460,0.698547,0.752502,0.618873,0.522646
0.018014,0.287864,1364,2264,1403,2240,2828,2362,2117,2892,2941,1295,3232,2819,1908,2710,,0.714524,0.577993,0.280651,0.571773,0.513089,0.874669,0.336207,0.679908,0.915476,0.250460,0.698547,0.752502,0.618873,0.521927
0.017981,0.305845,1364,2260,1403,2241,2828,2362,2117,2892,2942,1295,3233,2819,1908,2710,,0.714524,0.573156,0.280651,0.572980,0.513089,0.874669,0.336207,0.679908,0.916667,0.250460,0.699758,0.752502,0.618873,0.521927
0.018033,0.323877,1366,2256,1404,2242,2828,2362,2116,2892,2941,1294,3233,2818,1908,2710,,0.717863,0.568319,0.281609,0.574186,0.513089,0.874669,0.335129,0.679908,0.915476,0.249540,0.699758,0.751592,0.618873,0.521927
0.017947,0.341825,1368,2254,1404,2242,2827,2362,2114,2891,2941,1295,3233,2819,1910,2710,,0.721202,0.565901,0.281609,0.574186,0.512341,0.874669,0.332974,0.679144,0.915476,0.250460,0.699758,0.752502,0.621324,0.521927
0.018024,0.359849,1372,2253,1407,2243,2827,2361,2114,2891,2941,1294,3232,2819,1911,2710,,0.727880,0.564692,0.284483,0.575392,0.512341,0.873786,0.332974,0.679144,0.915476,0.249540,0.698547,0.752502,0.622549,0.521927
0.018031,0.377880,1376,2254,1411,2244,2828,2361,2113,2890,2941,1295,3233,2819,1914,2711,,0.734558,0.565901,0.288314,0.576598,0.513089,0.873786,0.331897,0.678380,0.915476,0.250460,0.699758,0.752502,0.626225,0.522646
0.017977,0.395857,1377,2255,1410,2243,2827,2360,2113,2890,2941,1293,3232,2818,1915,2710,,0.736227,0.567110,0.287356,0.575392,0.512341,0.872904,0.331897,0.678380,0.915476,0.248619,0.698547,0.751592,0.627451,0.521927
0.017992,0.413849,1377,2255,1411,2244,2828,2361,2113,2889,2941,1295,3233,2818,1915,2710,,0.736227,0.567110,0.288314,0.576598,0.513089,0.873786,0.331897,0.677616,0.915476,0.250460,0.699758,0.751592,0.627451,0.521927
0.018009,0.431859,1378,2255,1411,2244,2827,2361,2114,2889,2941,1295,3233,2817,1916,2709,,0.737897,0.567110,0.288314,0.576598,0.512341,0.873786,0.332974,0.677616,0.915476,0.250460,0.699758,0.750682,0.628676,0.521208
0.018008,0.449867,1377,2255,1410,2245,2828,2361,2115,2889,2941,1295,3233,2817,1917,2708,,0.736227,0.567110,0.287356,0.577805,0.513089,0.873786,0.334052,0.677616,0.915476,0.250460,0.699758,0.750682,0.629902,0.520489
0.017997,0.467864,1377,2255,1410,2245,2828,2361,2115,2889,2941,1295,3233,2817,1917,2708,,0.736227,0.567110,0.287356,0.577805,0.513089,0.873786,0.334052,0.677616,0.915476,0.250460,0.699758,0.750682,0.629902,0.520489
0.018019,0.485883,1378,2257,1411,2246,2828,2360,2115,2890,2941,1296,3234,2817,1917,2709,,0.737897,0.569528,0.288314,0.579011,0.513089,0.872904,0.334052,0.678380,0.915476,0.251381,0.700969,0.750682,0.629902,0.521208
0.017975,0.503858,1378,2257,1409,2245,2828,2361,2115,2889,2942,1296,3233,2816,1917,2709,,0.737897,0.569528,0.286398,0.577805,0.513089,0.873786,0.334052,0.677616,0.916667,0.251381,0.699758,0.749773,0.629902,0.521208
0.018040,0.521898,1378,2256,1410,2244,2827,2360,2115,2889,2941,1295,3233,2816,1917,2709,,0.737897,0.568319,0.287356,0.576598,0.512341,0.872904,0.334052,0.677616,0.915476,0.250460,0.699758,0.749773,0.629902,0.521208
0.018001,0.539899,1378,2256,1410,2244,2827,2360,2115,2889,2941,1295,3233,2816,1917,2709,,0.737897,0.568319,0.287356,0.576598,0.512341,0.872904,0.334052,0.677616,0.915476,0.250460,0.699758,0.749773,0.629902,0.521208
0.017977,0.557875,1377,2255,1410,2246,2827,2361,2116,2889,2941,1296,3234,2817,1917,2709,,0.736227,0.567110,0.287356,0.579011,0.512341,0.873786,0.335129,0.677616,0.915476,0.251381,0.700969,0.750682,0.629902,0.521208
0.018019,0.575894,1378,2255,1410,2246,2828,2361,2115,2889,2941,1296,3234,2816,1917,2710,,0.737897,0.567110,0.287356,0.579011,0.513089,0.873786,0.334052,0.677616,0.915476,0.251381,0.700969,0.749773,0.629902,0.521927
0.017976,0.593870,1379,2254,1411,2246,2827,2361,2114,2889,2940,1295,3234,2816,1917,2711,,0.739566,0.565901,0.288314,0.579011,0.512341,0.873786,0.332974,0.677616,0.914286,0.250460,0.700969,0.749773,0.629902,0.522646
0.018015,0.611885,1380,2253,1411,2246,2826,2360,2114,2887,2941,1295,3233,2817,1918,2711,,0.741235,0.564692,0.288314,0.579011,0.511593,0.872904,0.332974,0.676089,0.915476,0.250460,0.699758,0.750682,0.631127,0.522646
0.018001,0.629887,1382,2253,1411,2247,2826,2361,2114,2888,2942,1296,3233,2816,1918,2713,,0.744574,0.564692,0.288314,0.580217,0.511593,0.873786,0.332974,0.676853,0.916667,0.251381,0.699758,0.749773,0.631127,0.524083
0.018000,0.647887,1382,2253,1410,2247,2826,2360,2115,2887,2941,1296,3233,2817,1918,2712,,0.744574,0.564692,0.287356,0.580217,0.511593,0.872904,0.334052,0.676089,0.915476,0.251381,0.699758,0.750682,0.631127,0.523364
0.018019,0.665906,1383,2254,1412,2247,2826,2360,2114,2887,2941,1295,3233,2816,1919,2713,,0.746244,0.565901,0.289272,0.580217,0.511593,0.872904,0.332974,0.676089,0.915476,0.250460,0.699758,0.749773,0.632353,0.524083
0.018011,0.683917,1385,2254,1413,2247,2826,2361,2114,2888,2941,1296,3234,2817,1919,2715,,0.749583,0.565901,0.290230,0.580217,0.511593,0.873786,0.334052,0.676089,0.916667,0.251381,0.699758,0.750682,0.633578,0.525521
0.017983,0.701901,1385,2254,1412,2247,2826,2361,2115,2887,2942,1296,3233,2817,1920,2715,,0.749583,0.565901,0.289272,0.580217,0.511593,0.873786,0.334052,0.676089,0.916667,0.251381,0.699758,0.750682,0.633578,0.525521
