GloveManager recording started on 10/20/16 at 16:01:59

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017387,0.017387,1157,1876,1269,2166,2857,2298,1955,2883,2913,1144,3249,2896,1628,2473,,0.368948,0.108827,0.152299,0.482509,0.534779,0.818182,0.161638,0.673033,0.882143,0.111418,0.719128,0.822566,0.275735,0.351546
0.018007,0.035394,1157,1877,1270,2165,2857,2298,1955,2884,2913,1143,3249,2895,1627,2473,,0.368948,0.110036,0.153257,0.481303,0.534779,0.818182,0.161638,0.673797,0.882143,0.110497,0.719128,0.821656,0.274510,0.351546
0.018021,0.053415,1157,1877,1270,2166,2858,2298,1955,2884,2913,1143,3250,2896,1628,2473,,0.368948,0.110036,0.153257,0.482509,0.535527,0.818182,0.161638,0.673797,0.882143,0.110497,0.720339,0.822566,0.275735,0.351546
0.017914,0.071328,1157,1877,1270,2165,2858,2298,1956,2884,2913,1143,3250,2897,1628,2473,,0.368948,0.110036,0.153257,0.481303,0.535527,0.818182,0.162716,0.673797,0.882143,0.110497,0.720339,0.823476,0.275735,0.351546
0.018068,0.089396,1157,1876,1270,2166,2858,2297,1955,2884,2914,1143,3250,2897,1628,2474,,0.368948,0.108827,0.153257,0.482509,0.535527,0.817299,0.161638,0.673797,0.883333,0.110497,0.720339,0.823476,0.275735,0.352265
0.017979,0.107375,1158,1877,1271,2165,2859,2299,1956,2885,2914,1144,3250,2896,1628,2474,,0.370618,0.110036,0.154215,0.481303,0.536275,0.819064,0.162716,0.674561,0.883333,0.111418,0.720339,0.822566,0.275735,0.352265
0.017980,0.125355,1158,1877,1270,2164,2858,2299,1956,2884,2913,1143,3250,2896,1628,2474,,0.370618,0.110036,0.153257,0.480096,0.535527,0.819064,0.162716,0.673797,0.882143,0.110497,0.720339,0.822566,0.275735,0.352265
0.017976,0.143331,1157,1877,1270,2166,2858,2298,1956,2885,2912,1143,3250,2895,1628,2475,,0.368948,0.110036,0.153257,0.482509,0.535527,0.818182,0.162716,0.674561,0.880952,0.110497,0.720339,0.821656,0.275735,0.352983
0.018049,0.161380,1157,1877,1270,2165,2859,2299,1956,2884,2913,1143,3250,2895,1628,2475,,0.368948,0.110036,0.153257,0.481303,0.536275,0.819064,0.162716,0.673797,0.882143,0.110497,0.720339,0.821656,0.275735,0.352983
0.018032,0.179412,1157,1877,1269,2165,2859,2298,1956,2884,2913,1143,3249,2895,1628,2475,,0.368948,0.110036,0.152299,0.481303,0.536275,0.818182,0.162716,0.673797,0.882143,0.110497,0.719128,0.821656,0.275735,0.352983
0.017947,0.197359,1157,1876,1270,2165,2859,2298,1956,2884,2913,1143,3249,2895,1628,2475,,0.368948,0.108827,0.153257,0.481303,0.536275,0.818182,0.162716,0.673797,0.882143,0.110497,0.719128,0.821656,0.275735,0.352983
0.018002,0.215361,1157,1876,1270,2165,2859,2298,1955,2884,2913,1144,3250,2895,1628,2475,,0.368948,0.108827,0.153257,0.481303,0.536275,0.818182,0.161638,0.673797,0.882143,0.111418,0.720339,0.821656,0.275735,0.352983
0.017999,0.233361,1157,1877,1270,2165,2859,2298,1957,2884,2913,1144,3250,2896,1629,2476,,0.368948,0.110036,0.153257,0.481303,0.536275,0.818182,0.163793,0.673797,0.882143,0.111418,0.720339,0.822566,0.276961,0.353702
0.018068,0.251428,1158,1877,1270,2164,2860,2298,1956,2885,2912,1144,3250,2896,1629,2476,,0.370618,0.110036,0.153257,0.480096,0.537023,0.818182,0.162716,0.674561,0.880952,0.111418,0.720339,0.822566,0.276961,0.353702
0.017927,0.269355,1157,1877,1270,2165,2860,2297,1956,2885,2912,1143,3250,2896,1629,2476,,0.368948,0.110036,0.153257,0.481303,0.537023,0.817299,0.162716,0.674561,0.880952,0.110497,0.720339,0.822566,0.276961,0.353702
0.018034,0.287389,1157,1877,1270,2165,2860,2297,1956,2885,2912,1143,3250,2896,1629,2476,,0.368948,0.110036,0.153257,0.481303,0.537023,0.817299,0.162716,0.674561,0.880952,0.110497,0.720339,0.822566,0.276961,0.353702
0.017990,0.305379,1156,1877,1270,2165,2861,2298,1957,2884,2913,1144,3250,2895,1629,2476,,0.367279,0.110036,0.153257,0.481303,0.537771,0.818182,0.163793,0.673797,0.882143,0.111418,0.720339,0.821656,0.276961,0.353702
0.017962,0.323341,1158,1877,1270,2165,2860,2298,1957,2885,2913,1143,3250,2896,1628,2476,,0.370618,0.110036,0.153257,0.481303,0.537023,0.818182,0.163793,0.674561,0.882143,0.110497,0.720339,0.822566,0.275735,0.353702
0.018025,0.341366,1157,1876,1270,2165,2861,2298,1957,2884,2913,1144,3250,2895,1629,2476,,0.368948,0.108827,0.153257,0.481303,0.537771,0.818182,0.163793,0.673797,0.882143,0.111418,0.720339,0.821656,0.276961,0.353702
0.018035,0.359401,1157,1876,1270,2165,2861,2298,1957,2884,2913,1144,3250,2895,1629,2476,,0.368948,0.108827,0.153257,0.481303,0.537771,0.818182,0.163793,0.673797,0.882143,0.111418,0.720339,0.821656,0.276961,0.353702
0.017993,0.377394,1157,1877,1271,2165,2861,2299,1957,2885,2913,1144,3250,2896,1629,2477,,0.368948,0.110036,0.154215,0.481303,0.537771,0.819064,0.163793,0.674561,0.882143,0.111418,0.720339,0.822566,0.276961,0.354421
0.017972,0.395367,1157,1876,1271,2165,2861,2299,1957,2885,2913,1144,3250,2896,1629,2477,,0.368948,0.108827,0.154215,0.481303,0.537771,0.819064,0.163793,0.674561,0.882143,0.111418,0.720339,0.822566,0.276961,0.354421
0.018002,0.413369,1157,1877,1270,2165,2862,2298,1957,2884,2913,1145,3250,2895,1628,2477,,0.368948,0.110036,0.153257,0.481303,0.538519,0.818182,0.163793,0.673797,0.882143,0.112339,0.720339,0.821656,0.275735,0.354421
0.017977,0.431346,1157,1877,1271,2165,2861,2299,1959,2884,2913,1144,3250,2895,1628,2478,,0.368948,0.110036,0.154215,0.481303,0.537771,0.819064,0.165948,0.673797,0.882143,0.111418,0.720339,0.821656,0.275735,0.355140
0.018066,0.449412,1158,1877,1271,2165,2862,2298,1958,2884,2913,1144,3250,2896,1628,2478,,0.370618,0.110036,0.154215,0.481303,0.538519,0.818182,0.164871,0.673797,0.882143,0.111418,0.720339,0.822566,0.275735,0.355140
0.018003,0.467415,1156,1876,1270,2165,2861,2298,1959,2884,2913,1145,3251,2895,1629,2478,,0.367279,0.108827,0.153257,0.481303,0.537771,0.818182,0.165948,0.673797,0.882143,0.112339,0.721550,0.821656,0.276961,0.355140
0.017992,0.485408,1156,1877,1270,2164,2862,2298,1959,2884,2913,1145,3250,2896,1629,2477,,0.367279,0.110036,0.153257,0.480096,0.538519,0.818182,0.165948,0.673797,0.882143,0.112339,0.720339,0.822566,0.276961,0.354421
0.018033,0.503440,1157,1877,1271,2165,2862,2298,1960,2885,2913,1145,3250,2896,1629,2479,,0.368948,0.110036,0.154215,0.481303,0.538519,0.818182,0.167026,0.674561,0.882143,0.112339,0.720339,0.822566,0.276961,0.355859
0.017951,0.521392,1158,1876,1271,2165,2863,2298,1959,2884,2913,1144,3250,2895,1629,2479,,0.370618,0.108827,0.154215,0.481303,0.539267,0.818182,0.165948,0.673797,0.882143,0.111418,0.720339,0.821656,0.276961,0.355859
0.018015,0.539407,1156,1877,1270,2165,2863,2299,1959,2885,2912,1145,3251,2896,1628,2479,,0.367279,0.110036,0.153257,0.481303,0.539267,0.819064,0.165948,0.674561,0.880952,0.112339,0.721550,0.822566,0.275735,0.355859
0.017994,0.557401,1156,1877,1271,2165,2863,2299,1959,2885,2913,1144,3250,2896,1628,2479,,0.367279,0.110036,0.154215,0.481303,0.539267,0.819064,0.165948,0.674561,0.882143,0.111418,0.720339,0.822566,0.275735,0.355859
0.017978,0.575378,1157,1877,1270,2165,2863,2299,1959,2885,2913,1144,3251,2896,1629,2480,,0.368948,0.110036,0.153257,0.481303,0.539267,0.819064,0.165948,0.674561,0.882143,0.111418,0.721550,0.822566,0.276961,0.356578
0.018001,0.593380,1157,1876,1271,2164,2864,2298,1960,2884,2913,1145,3251,2895,1629,2480,,0.368948,0.108827,0.154215,0.480096,0.540015,0.818182,0.167026,0.673797,0.882143,0.112339,0.721550,0.821656,0.276961,0.356578
0.018045,0.611425,1156,1876,1270,2165,2864,2299,1960,2884,2913,1144,3250,2895,1629,2479,,0.367279,0.108827,0.153257,0.481303,0.540015,0.819064,0.167026,0.673797,0.882143,0.111418,0.720339,0.821656,0.276961,0.355859
