GloveManager recording started on 10/20/16 at 16:02:37

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017324,0.017324,1060,1818,1311,2212,2210,2233,2151,3079,2909,1279,3384,2887,1681,2628,,0.207012,0.038694,0.192529,0.537998,0.050860,0.760812,0.339216,0.822765,0.877381,0.235727,0.882567,0.814377,0.322880,0.462976
0.018002,0.035326,1058,1817,1311,2212,2210,2232,2150,3080,2909,1279,3384,2887,1682,2628,,0.203673,0.037485,0.192529,0.537998,0.050860,0.759929,0.338235,0.823529,0.877381,0.235727,0.882567,0.814377,0.324042,0.462976
0.018009,0.053336,1059,1818,1312,2210,2210,2233,2150,3080,2909,1279,3384,2887,1681,2627,,0.203673,0.038694,0.194444,0.537998,0.050112,0.760812,0.338235,0.823529,0.877381,0.235727,0.882567,0.814377,0.322880,0.462257
0.017947,0.071282,1058,1818,1313,2212,2209,2233,2150,3080,2909,1279,3384,2887,1681,2627,,0.203673,0.038694,0.194444,0.537998,0.050112,0.760812,0.338235,0.823529,0.877381,0.235727,0.882567,0.814377,0.322880,0.462257
0.018048,0.089330,1058,1817,1313,2212,2210,2233,2150,3080,2909,1280,3384,2887,1681,2627,,0.203673,0.037485,0.194444,0.537998,0.050860,0.760812,0.338235,0.823529,0.877381,0.236648,0.882567,0.814377,0.322880,0.462257
0.018009,0.107339,1059,1818,1313,2213,2210,2233,2151,3080,2909,1279,3384,2887,1681,2627,,0.205342,0.038694,0.194444,0.539204,0.050860,0.760812,0.339216,0.823529,0.877381,0.235727,0.882567,0.814377,0.322880,0.462257
0.017977,0.125316,1058,1818,1314,2213,2210,2234,2150,3080,2909,1279,3384,2887,1681,2627,,0.203673,0.038694,0.195402,0.539204,0.050860,0.761695,0.338235,0.823529,0.877381,0.235727,0.882567,0.814377,0.322880,0.462257
0.018015,0.143331,1058,1817,1313,2213,2209,2233,2150,3081,2909,1279,3384,2887,1681,2627,,0.203673,0.037485,0.194444,0.539204,0.050112,0.760812,0.338235,0.824293,0.877381,0.235727,0.882567,0.814377,0.322880,0.462257
0.017957,0.161288,1058,1817,1313,2212,2211,2233,2151,3080,2909,1281,3384,2887,1681,2628,,0.203673,0.037485,0.194444,0.537998,0.051608,0.760812,0.339216,0.823529,0.877381,0.237569,0.882567,0.814377,0.322880,0.462976
0.018046,0.179334,1058,1817,1313,2213,2210,2233,2152,3080,2909,1281,3384,2887,1681,2628,,0.203673,0.037485,0.194444,0.539204,0.050860,0.760812,0.340196,0.823529,0.877381,0.237569,0.882567,0.814377,0.322880,0.462976
