GloveManager recording started on 10/20/16 at 16:02:51

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017554,0.017554,1085,1876,1273,2424,3405,2346,2462,3168,2835,1606,3412,2952,1808,3097,,0.248748,0.108827,0.156130,0.793727,0.944652,0.860547,0.644118,0.890756,0.789286,0.536832,0.906587,0.873521,0.470383,0.800144
0.018042,0.035596,1085,1875,1272,2426,3404,2346,2462,3167,2835,1606,3413,2952,1807,3096,,0.248748,0.107618,0.155172,0.796140,0.943904,0.860547,0.644118,0.889992,0.789286,0.536832,0.907784,0.873521,0.469222,0.799425
0.017981,0.053577,1085,1875,1272,2426,3404,2346,2462,3167,2835,1606,3413,2952,1807,3096,,0.248748,0.107618,0.155172,0.796140,0.943904,0.860547,0.644118,0.889992,0.789286,0.536832,0.907784,0.873521,0.469222,0.799425
0.017978,0.071554,1085,1876,1272,2426,3403,2346,2461,3167,2834,1605,3412,2953,1808,3095,,0.248748,0.108827,0.155172,0.796140,0.943156,0.860547,0.643137,0.889992,0.788095,0.535912,0.906587,0.874431,0.470383,0.798706
0.018028,0.089582,1085,1876,1272,2426,3403,2346,2461,3167,2834,1605,3412,2953,1808,3095,,0.248748,0.108827,0.155172,0.796140,0.943156,0.860547,0.643137,0.889992,0.788095,0.535912,0.906587,0.874431,0.470383,0.798706
0.017976,0.107558,1086,1876,1272,2426,3404,2345,2462,3167,2835,1606,3412,2952,1808,3094,,0.250417,0.108827,0.155172,0.796140,0.943904,0.859665,0.644118,0.889992,0.789286,0.536832,0.906587,0.873521,0.470383,0.797987
0.017999,0.125557,1085,1875,1272,2426,3404,2346,2461,3167,2834,1606,3412,2952,1807,3095,,0.248748,0.107618,0.155172,0.796140,0.943904,0.860547,0.643137,0.889992,0.788095,0.536832,0.906587,0.873521,0.469222,0.798706
0.018025,0.143582,1085,1875,1271,2426,3403,2346,2462,3166,2834,1605,3413,2952,1808,3095,,0.248748,0.107618,0.154215,0.796140,0.943156,0.860547,0.644118,0.889228,0.788095,0.535912,0.907784,0.873521,0.470383,0.798706
0.018003,0.161585,1084,1875,1271,2427,3404,2345,2462,3166,2834,1606,3412,2952,1808,3095,,0.247078,0.107618,0.154215,0.797346,0.943904,0.859665,0.644118,0.889228,0.788095,0.536832,0.906587,0.873521,0.470383,0.798706
