GloveManager recording started on 10/20/16 at 16:03:03

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017553,0.017553,1178,1894,1276,2048,2296,2165,1920,2250,2885,1125,3437,2627,1621,2854,,0.404007,0.130593,0.159004,0.340169,0.115183,0.700794,0.112745,0.189458,0.848810,0.093923,0.936527,0.577798,0.253194,0.625449
0.018000,0.035553,1178,1894,1276,2048,2296,2165,1920,2250,2885,1125,3437,2627,1621,2854,,0.404007,0.130593,0.159004,0.340169,0.115183,0.700794,0.112745,0.189458,0.848810,0.093923,0.936527,0.577798,0.253194,0.625449
0.018032,0.053585,1176,1890,1275,2049,2295,2165,1920,2250,2885,1124,3436,2631,1621,2842,,0.400668,0.125756,0.158046,0.341375,0.114435,0.700794,0.112745,0.189458,0.848810,0.093002,0.935329,0.581438,0.253194,0.616822
0.017991,0.071577,1176,1887,1273,2049,2296,2164,1922,2249,2884,1123,3436,2632,1621,2839,,0.400668,0.122128,0.156130,0.341375,0.115183,0.699912,0.114706,0.188694,0.847619,0.092081,0.935329,0.582348,0.253194,0.614666
0.017999,0.089576,1176,1886,1274,2051,2295,2165,1922,2249,2884,1124,3437,2635,1622,2838,,0.400668,0.120919,0.157088,0.343788,0.114435,0.700794,0.114706,0.188694,0.847619,0.093002,0.936527,0.585077,0.254355,0.613947
0.018003,0.107579,1175,1884,1273,2051,2296,2165,1922,2250,2885,1124,3437,2636,1621,2839,,0.398998,0.118501,0.156130,0.343788,0.115183,0.700794,0.114706,0.189458,0.848810,0.093002,0.936527,0.585987,0.253194,0.614666
0.017999,0.125578,1174,1883,1272,2051,2295,2165,1922,2249,2884,1124,3437,2637,1621,2841,,0.397329,0.117291,0.155172,0.343788,0.114435,0.700794,0.114706,0.188694,0.847619,0.093002,0.936527,0.586897,0.253194,0.616104
0.018003,0.143581,1174,1883,1272,2051,2295,2165,1922,2249,2884,1124,3438,2638,1621,2842,,0.397329,0.117291,0.155172,0.343788,0.114435,0.700794,0.114706,0.188694,0.847619,0.093002,0.937725,0.587807,0.253194,0.616822
0.017981,0.161561,1174,1883,1273,2052,2295,2165,1922,2250,2884,1125,3438,2640,1620,2842,,0.397329,0.117291,0.156130,0.344994,0.114435,0.700794,0.114706,0.189458,0.847619,0.093923,0.937725,0.589627,0.252033,0.616822
