GloveManager recording started on 10/20/16 at 16:03:38

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017457,0.017457,1176,1991,1296,2186,2363,2103,2434,3180,2739,1558,3494,2896,1763,2734,,0.400668,0.247884,0.178161,0.506634,0.165295,0.646072,0.616667,0.899924,0.675000,0.492634,1.000000,0.822566,0.418118,0.539180
0.018009,0.035466,1176,1990,1296,2189,2363,2104,2434,3179,2740,1560,3494,2895,1764,2735,,0.400668,0.246675,0.178161,0.510253,0.165295,0.646955,0.616667,0.899160,0.676190,0.494475,0.998810,0.821656,0.419280,0.539899
0.018015,0.053481,1176,1990,1297,2191,2363,2105,2434,3179,2739,1561,3495,2895,1764,2734,,0.400668,0.246675,0.179119,0.512666,0.165295,0.647838,0.616667,0.899160,0.675000,0.495396,1.000000,0.821656,0.419280,0.539180
0.018000,0.071481,1176,1991,1296,2193,2363,2108,2434,3179,2739,1562,3494,2895,1765,2733,,0.400668,0.247884,0.178161,0.515078,0.165295,0.650485,0.616667,0.899160,0.675000,0.496317,0.998810,0.821656,0.420441,0.538462
0.018003,0.089484,1176,1991,1297,2195,2364,2109,2433,3179,2739,1562,3493,2896,1766,2732,,0.400668,0.247884,0.179119,0.517491,0.166043,0.651368,0.615686,0.899160,0.675000,0.496317,0.997619,0.822566,0.421603,0.537743
0.018009,0.107493,1175,1990,1297,2196,2363,2111,2433,3180,2738,1563,3493,2896,1765,2732,,0.398998,0.246675,0.179119,0.518697,0.165295,0.653133,0.615686,0.899924,0.673810,0.497238,0.997619,0.822566,0.420441,0.537743
0.018027,0.125520,1175,1990,1295,2198,2363,2111,2434,3178,2738,1563,3493,2895,1765,2732,,0.398998,0.246675,0.177203,0.521110,0.165295,0.653133,0.616667,0.898396,0.673810,0.497238,0.997619,0.821656,0.420441,0.537743
0.017965,0.143485,1175,1990,1295,2199,2362,2113,2433,3180,2738,1564,3493,2896,1766,2732,,0.398998,0.246675,0.177203,0.522316,0.164547,0.654899,0.615686,0.899924,0.673810,0.498158,0.997619,0.822566,0.421603,0.537743
0.017975,0.161461,1174,1991,1296,2199,2362,2113,2433,3179,2739,1564,3492,2895,1767,2732,,0.397329,0.247884,0.178161,0.522316,0.164547,0.654899,0.615686,0.899160,0.675000,0.498158,0.996429,0.821656,0.422764,0.537743
0.018024,0.179485,1174,1990,1295,2202,2361,2114,2433,3179,2738,1565,3493,2895,1767,2731,,0.397329,0.246675,0.177203,0.525935,0.163800,0.655781,0.615686,0.899160,0.673810,0.499079,0.997619,0.821656,0.422764,0.537024
0.018010,0.197495,1175,1991,1296,2202,2362,2114,2433,3179,2738,1566,3493,2895,1767,2730,,0.398998,0.247884,0.178161,0.525935,0.164547,0.655781,0.615686,0.899160,0.673810,0.500000,0.997619,0.821656,0.422764,0.536305
0.017992,0.215487,1174,1991,1295,2203,2362,2115,2434,3179,2738,1566,3493,2894,1767,2730,,0.397329,0.247884,0.177203,0.527141,0.164547,0.656664,0.616667,0.899160,0.673810,0.500000,0.997619,0.820746,0.422764,0.536305
0.018010,0.233497,1174,1992,1295,2204,2361,2115,2434,3179,2738,1566,3493,2895,1767,2730,,0.397329,0.249093,0.177203,0.528347,0.163800,0.656664,0.616667,0.899160,0.673810,0.500000,0.997619,0.821656,0.422764,0.536305
0.017982,0.251479,1174,1991,1294,2204,2362,2117,2435,3179,2739,1567,3493,2895,1768,2730,,0.397329,0.247884,0.176245,0.528347,0.164547,0.658429,0.617647,0.899160,0.675000,0.500921,0.997619,0.821656,0.423926,0.536305
0.018019,0.269498,1174,1992,1294,2205,2362,2117,2435,3179,2739,1568,3493,2895,1767,2730,,0.397329,0.249093,0.176245,0.529554,0.164547,0.658429,0.617647,0.899160,0.675000,0.501842,0.997619,0.821656,0.422764,0.536305
