GloveManager recording started on 10/20/16 at 16:21:48

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017805,0.017805,1015,1958,1429,2417,3333,2420,2609,3178,2934,1943,3442,3011,2134,2991,,0.215370,0.179920,0.304545,0.801339,0.900000,0.753474,0.790087,0.880674,0.888112,0.837887,0.856851,0.947541,0.856237,0.724534
0.017995,0.035801,1016,1956,1429,2417,3333,2420,2610,3178,2935,1943,3441,3011,2132,2991,,0.216319,0.177932,0.304545,0.801339,0.900000,0.753474,0.791059,0.880674,0.889277,0.837887,0.855828,0.947541,0.854123,0.724534
0.017980,0.053780,1016,1956,1429,2417,3333,2421,2610,3177,2934,1942,3442,3010,2127,2992,,0.216319,0.177932,0.304545,0.801339,0.900000,0.754079,0.791059,0.879941,0.888112,0.836976,0.856851,0.946885,0.848837,0.725251
0.017999,0.071780,1016,1954,1428,2416,3333,2422,2610,3178,2934,1942,3442,3011,2126,2993,,0.216319,0.175944,0.303636,0.800223,0.900000,0.754683,0.791059,0.880674,0.888112,0.836976,0.856851,0.947541,0.847780,0.725968
0.018033,0.089812,1017,1955,1429,2417,3332,2422,2610,3178,2934,1941,3442,3011,2124,2994,,0.217268,0.176938,0.304545,0.801339,0.899315,0.754683,0.791059,0.880674,0.888112,0.836066,0.856851,0.947541,0.845666,0.726686
0.017966,0.107778,1017,1954,1429,2417,3334,2424,2612,3179,2934,1942,3442,3012,2123,2994,,0.217268,0.175944,0.304545,0.801339,0.900685,0.755891,0.793003,0.881406,0.888112,0.836976,0.856851,0.948197,0.844609,0.726686
0.018027,0.125805,1017,1953,1429,2417,3333,2423,2610,3178,2934,1940,3442,3011,2118,2995,,0.217268,0.174950,0.304545,0.801339,0.900000,0.755287,0.791059,0.880674,0.888112,0.835155,0.856851,0.947541,0.839323,0.727403
0.018001,0.143806,1017,1953,1429,2417,3333,2423,2610,3178,2934,1940,3442,3011,2118,2995,,0.217268,0.174950,0.304545,0.801339,0.900000,0.755287,0.791059,0.880674,0.888112,0.835155,0.856851,0.947541,0.839323,0.727403
0.018004,0.161809,1017,1953,1428,2417,3332,2424,2611,3178,2935,1940,3442,3012,2117,2995,,0.217268,0.174950,0.303636,0.801339,0.899315,0.755891,0.792031,0.880674,0.889277,0.835155,0.856851,0.948197,0.838266,0.727403
0.017994,0.179803,1017,1952,1430,2416,3334,2423,2610,3178,2934,1940,3441,3012,2116,2996,,0.217268,0.173956,0.305455,0.800223,0.900685,0.755287,0.791059,0.880674,0.888112,0.835155,0.855828,0.948197,0.837209,0.728121
0.018033,0.197836,1017,1951,1428,2416,3333,2423,2610,3178,2933,1938,3442,3012,2114,2997,,0.217268,0.172962,0.303636,0.800223,0.900000,0.755287,0.791059,0.880674,0.886946,0.833333,0.856851,0.948197,0.835095,0.728838
0.017971,0.215807,1018,1952,1429,2417,3333,2424,2610,3178,2934,1937,3441,3012,2111,2997,,0.218216,0.173956,0.304545,0.801339,0.900000,0.755891,0.791059,0.880674,0.888112,0.832423,0.855828,0.948197,0.831924,0.728838
0.018000,0.233807,1018,1951,1428,2416,3332,2423,2608,3177,2934,1936,3441,3012,2110,2997,,0.218216,0.172962,0.303636,0.800223,0.899315,0.755287,0.789116,0.879941,0.888112,0.831512,0.855828,0.948197,0.830867,0.728838
0.018002,0.251809,1018,1952,1428,2416,3332,2423,2608,3177,2935,1935,3441,3012,2109,2996,,0.218216,0.173956,0.303636,0.800223,0.899315,0.755287,0.789116,0.879941,0.889277,0.830601,0.855828,0.948197,0.829810,0.728121
0.018000,0.269809,1019,1951,1428,2416,3332,2422,2607,3177,2934,1932,3440,3012,2108,2997,,0.219165,0.172962,0.303636,0.800223,0.899315,0.754683,0.788144,0.879941,0.888112,0.827869,0.854806,0.948197,0.828753,0.728838
