GloveManager recording started on 10/20/16 at 16:22:02

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017265,0.017265,1105,2032,1921,2198,2310,2231,1957,2107,2994,1075,2830,2868,1404,2315,,0.300759,0.253479,0.751818,0.556920,0.199315,0.639275,0.156463,0.096633,0.940503,0.047359,0.231084,0.853770,0.084567,0.239598
0.018000,0.035265,1104,2033,1921,2198,2310,2232,1958,2108,2994,1076,2830,2868,1404,2315,,0.299810,0.254473,0.751818,0.556920,0.199315,0.639879,0.157434,0.097365,0.940503,0.048270,0.231084,0.853770,0.084567,0.239598
0.018001,0.053266,1106,2033,1921,2198,2310,2232,1958,2108,2994,1076,2830,2868,1404,2315,,0.301708,0.254473,0.751818,0.556920,0.199315,0.639879,0.157434,0.097365,0.940503,0.048270,0.231084,0.853770,0.084567,0.239598
0.018012,0.071278,1105,2033,1921,2197,2311,2231,1957,2108,2994,1075,2830,2868,1404,2315,,0.300759,0.254473,0.751818,0.555804,0.200000,0.639275,0.156463,0.097365,0.940503,0.047359,0.231084,0.853770,0.084567,0.239598
0.017992,0.089270,1105,2033,1921,2197,2310,2231,1959,2108,2994,1075,2829,2868,1403,2314,,0.300759,0.254473,0.751818,0.555804,0.199315,0.639275,0.158406,0.097365,0.940503,0.047359,0.230061,0.853770,0.083510,0.238881
0.018001,0.107271,1105,2032,1921,2197,2310,2231,1957,2107,2994,1075,2830,2868,1403,2314,,0.300759,0.253479,0.751818,0.555804,0.199315,0.639275,0.156463,0.096633,0.940503,0.047359,0.231084,0.853770,0.083510,0.238881
0.018001,0.125272,1105,2034,1922,2196,2310,2231,1957,2108,2993,1076,2830,2868,1404,2314,,0.300759,0.255467,0.752727,0.554688,0.199315,0.639275,0.156463,0.097365,0.939359,0.048270,0.231084,0.853770,0.084567,0.238881
0.017999,0.143271,1104,2034,1921,2197,2311,2231,1957,2108,2994,1076,2830,2868,1404,2314,,0.299810,0.255467,0.751818,0.555804,0.200000,0.639275,0.156463,0.097365,0.940503,0.048270,0.231084,0.853770,0.084567,0.238881
0.018022,0.161293,1106,2033,1921,2196,2310,2231,1958,2108,2993,1075,2830,2868,1404,2314,,0.301708,0.254473,0.751818,0.554688,0.199315,0.639275,0.157434,0.097365,0.939359,0.047359,0.231084,0.853770,0.084567,0.238881
0.018017,0.179310,1105,2032,1921,2195,2311,2231,1957,2108,2993,1076,2830,2868,1404,2314,,0.300759,0.253479,0.751818,0.553571,0.200000,0.639275,0.156463,0.097365,0.939359,0.048270,0.231084,0.853770,0.084567,0.238881
0.017995,0.197306,1105,2032,1921,2195,2311,2231,1957,2108,2993,1076,2830,2868,1404,2314,,0.300759,0.253479,0.751818,0.553571,0.200000,0.639275,0.156463,0.097365,0.939359,0.048270,0.231084,0.853770,0.084567,0.238881
0.018006,0.215311,1104,2031,1921,2195,2310,2230,1958,2109,2993,1076,2830,2868,1404,2314,,0.299810,0.252485,0.751818,0.553571,0.199315,0.638671,0.157434,0.098097,0.939359,0.048270,0.231084,0.853770,0.084567,0.238881
0.017945,0.233256,1104,2032,1921,2195,2310,2230,1958,2108,2994,1076,2830,2868,1404,2314,,0.299810,0.253479,0.751818,0.553571,0.199315,0.638671,0.157434,0.097365,0.940503,0.048270,0.231084,0.853770,0.084567,0.238881
0.018055,0.251311,1104,2032,1921,2195,2311,2230,1958,2108,2993,1076,2829,2868,1404,2313,,0.299810,0.253479,0.751818,0.553571,0.200000,0.638671,0.157434,0.097365,0.939359,0.048270,0.230061,0.853770,0.084567,0.238164
0.017999,0.269310,1104,2032,1921,2195,2311,2230,1958,2108,2993,1076,2829,2868,1404,2313,,0.299810,0.253479,0.751818,0.553571,0.200000,0.638671,0.157434,0.097365,0.939359,0.048270,0.230061,0.853770,0.084567,0.238164
0.017998,0.287308,1105,2032,1921,2195,2311,2230,1958,2108,2993,1076,2830,2867,1404,2312,,0.300759,0.253479,0.751818,0.553571,0.200000,0.638671,0.157434,0.097365,0.939359,0.048270,0.231084,0.853115,0.084567,0.237446
0.017995,0.305304,1104,2031,1920,2195,2310,2229,1958,2108,2994,1075,2829,2868,1404,2313,,0.299810,0.252485,0.750909,0.553571,0.199315,0.638066,0.157434,0.097365,0.940503,0.047359,0.230061,0.853770,0.084567,0.238164
0.018007,0.323311,1104,2031,1920,2194,2310,2229,1958,2108,2993,1076,2829,2868,1403,2313,,0.299810,0.252485,0.750909,0.552455,0.199315,0.638066,0.157434,0.097365,0.939359,0.048270,0.230061,0.853770,0.083510,0.238164
0.017993,0.341304,1104,2032,1920,2194,2311,2229,1958,2108,2992,1076,2829,2868,1403,2313,,0.299810,0.253479,0.750909,0.552455,0.200000,0.638066,0.157434,0.097365,0.938215,0.048270,0.230061,0.853770,0.083510,0.238164
0.017954,0.359259,1104,2031,1919,2194,2310,2229,1958,2108,2992,1076,2829,2868,1404,2313,,0.299810,0.252485,0.750000,0.552455,0.199315,0.638066,0.157434,0.097365,0.938215,0.048270,0.230061,0.853770,0.084567,0.238164
0.018028,0.377286,1104,2031,1920,2194,2311,2229,1958,2108,2993,1076,2830,2867,1404,2313,,0.299810,0.252485,0.750909,0.552455,0.200000,0.638066,0.157434,0.097365,0.939359,0.048270,0.231084,0.853115,0.084567,0.238164
0.018028,0.395314,1105,2032,1920,2194,2311,2229,1958,2109,2992,1076,2829,2868,1404,2312,,0.300759,0.253479,0.750909,0.552455,0.200000,0.638066,0.157434,0.098097,0.938215,0.048270,0.230061,0.853770,0.084567,0.237446
0.017974,0.413288,1105,2032,1920,2194,2311,2229,1958,2109,2992,1076,2829,2868,1404,2312,,0.300759,0.253479,0.750909,0.552455,0.200000,0.638066,0.157434,0.098097,0.938215,0.048270,0.230061,0.853770,0.084567,0.237446
0.018020,0.431308,1105,2032,1919,2193,2311,2228,1958,2109,2993,1076,2829,2868,1403,2312,,0.300759,0.253479,0.750000,0.551339,0.200000,0.637462,0.157434,0.098097,0.939359,0.048270,0.230061,0.853770,0.083510,0.237446
0.018012,0.449320,1105,2032,1919,2193,2310,2228,1958,2108,2992,1076,2829,2867,1403,2312,,0.300759,0.253479,0.750000,0.551339,0.199315,0.637462,0.157434,0.097365,0.938215,0.048270,0.230061,0.853115,0.083510,0.237446
0.017999,0.467319,1104,2032,1919,2193,2310,2228,1958,2108,2993,1076,2828,2866,1403,2312,,0.299810,0.253479,0.750000,0.551339,0.199315,0.637462,0.157434,0.097365,0.939359,0.048270,0.229039,0.852459,0.083510,0.237446
0.018025,0.485343,1105,2032,1919,2192,2309,2227,1958,2107,2993,1075,2829,2867,1403,2311,,0.300759,0.253479,0.750000,0.550223,0.198630,0.636858,0.157434,0.096633,0.939359,0.047359,0.230061,0.853115,0.083510,0.236729
0.017994,0.503338,1105,2032,1919,2192,2310,2228,1958,2108,2993,1076,2828,2867,1403,2311,,0.300759,0.253479,0.750000,0.550223,0.199315,0.637462,0.157434,0.097365,0.939359,0.048270,0.229039,0.853115,0.083510,0.236729
0.017977,0.521314,1105,2032,1918,2192,2310,2228,1958,2108,2992,1076,2828,2867,1402,2312,,0.300759,0.253479,0.749091,0.550223,0.199315,0.637462,0.157434,0.097365,0.938215,0.048270,0.229039,0.853115,0.082452,0.237446
0.018028,0.539342,1105,2032,1918,2193,2310,2228,1958,2108,2992,1076,2828,2867,1403,2312,,0.300759,0.253479,0.749091,0.551339,0.199315,0.637462,0.157434,0.097365,0.938215,0.048270,0.229039,0.853115,0.083510,0.237446
0.017976,0.557319,1105,2033,1918,2193,2310,2227,1958,2108,2993,1077,2828,2867,1404,2311,,0.300759,0.254473,0.749091,0.551339,0.199315,0.636858,0.157434,0.097365,0.939359,0.049180,0.229039,0.853115,0.084567,0.236729
0.018013,0.575332,1104,2032,1918,2192,2311,2227,1959,2108,2992,1076,2828,2866,1403,2311,,0.299810,0.253479,0.749091,0.550223,0.200000,0.636858,0.158406,0.097365,0.938215,0.048270,0.229039,0.852459,0.083510,0.236729
0.018009,0.593341,1105,2033,1918,2193,2310,2228,1958,2108,2993,1076,2829,2867,1403,2312,,0.300759,0.254473,0.749091,0.551339,0.199315,0.637462,0.157434,0.097365,0.939359,0.048270,0.230061,0.853115,0.083510,0.237446
0.017977,0.611318,1105,2032,1918,2192,2310,2228,1959,2108,2993,1076,2828,2866,1403,2311,,0.300759,0.253479,0.749091,0.550223,0.199315,0.637462,0.158406,0.097365,0.939359,0.048270,0.229039,0.852459,0.083510,0.236729
0.018000,0.629318,1105,2033,1918,2193,2311,2228,1960,2109,2993,1077,2829,2866,1403,2311,,0.300759,0.254473,0.749091,0.551339,0.200000,0.637462,0.159378,0.098097,0.939359,0.049180,0.230061,0.852459,0.083510,0.236729
0.018011,0.647329,1105,2032,1919,2193,2311,2228,1959,2108,2993,1077,2829,2867,1404,2311,,0.300759,0.253479,0.750000,0.551339,0.200000,0.637462,0.158406,0.097365,0.939359,0.049180,0.230061,0.853115,0.084567,0.236729
0.018004,0.665333,1106,2033,1918,2193,2311,2227,1959,2108,2993,1077,2828,2866,1404,2311,,0.301708,0.254473,0.749091,0.551339,0.200000,0.636858,0.158406,0.097365,0.939359,0.049180,0.229039,0.852459,0.084567,0.236729
