GloveManager recording started on 10/20/16 at 16:22:08

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017289,0.017289,1126,1823,1181,2300,2635,2290,2028,2721,2949,1055,3051,2858,1456,2243,,0.320683,0.045726,0.079091,0.670759,0.421918,0.674924,0.225462,0.546120,0.889016,0.029144,0.457055,0.847213,0.139535,0.187948
0.017994,0.035283,1126,1823,1181,2300,2635,2290,2028,2721,2949,1055,3051,2858,1456,2243,,0.320683,0.045726,0.079091,0.670759,0.421918,0.674924,0.225462,0.546120,0.889016,0.029144,0.457055,0.847213,0.139535,0.187948
0.018007,0.053289,1124,1821,1182,2302,2636,2289,2026,2722,2949,1054,3050,2858,1455,2243,,0.318786,0.043738,0.080000,0.672991,0.422603,0.674320,0.223518,0.546852,0.889016,0.028233,0.456033,0.847213,0.138478,0.187948
0.018001,0.071291,1125,1821,1183,2302,2637,2290,2027,2722,2950,1054,3051,2858,1456,2243,,0.319734,0.043738,0.080909,0.672991,0.423288,0.674924,0.224490,0.546852,0.890160,0.028233,0.457055,0.847213,0.139535,0.187948
0.018000,0.089291,1124,1821,1182,2302,2636,2289,2025,2721,2950,1054,3052,2859,1456,2244,,0.318786,0.043738,0.080000,0.672991,0.422603,0.674320,0.222546,0.546120,0.890160,0.028233,0.458078,0.847869,0.139535,0.188666
0.018006,0.107297,1124,1819,1183,2302,2637,2290,2026,2722,2950,1053,3051,2858,1455,2244,,0.318786,0.041750,0.080909,0.672991,0.423288,0.674924,0.223518,0.546852,0.890160,0.027322,0.457055,0.847213,0.138478,0.188666
0.017995,0.125292,1124,1819,1183,2301,2636,2289,2025,2722,2949,1053,3051,2859,1455,2244,,0.318786,0.041750,0.080909,0.671875,0.422603,0.674320,0.222546,0.546852,0.889016,0.027322,0.457055,0.847869,0.138478,0.188666
0.018012,0.143305,1124,1819,1183,2301,2636,2289,2025,2722,2949,1053,3051,2859,1455,2244,,0.318786,0.041750,0.080909,0.671875,0.422603,0.674320,0.222546,0.546852,0.889016,0.027322,0.457055,0.847869,0.138478,0.188666
0.017990,0.161295,1123,1819,1184,2302,2636,2289,2025,2722,2950,1053,3050,2859,1455,2244,,0.317837,0.041750,0.081818,0.672991,0.422603,0.674320,0.222546,0.546852,0.890160,0.027322,0.456033,0.847869,0.138478,0.188666
