GloveManager recording started on 10/20/16 at 16:22:38

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017485,0.017485,1195,1924,1579,2311,2340,2230,2363,2296,2706,1832,3445,3031,1851,3046,,0.386148,0.146123,0.440909,0.683036,0.219863,0.638671,0.551020,0.234993,0.607509,0.736794,0.859918,0.960656,0.557082,0.763988
0.018003,0.035488,1195,1924,1579,2311,2341,2230,2365,2296,2705,1832,3445,3033,1850,3046,,0.386148,0.146123,0.440909,0.683036,0.220548,0.638671,0.552964,0.234993,0.606371,0.736794,0.859918,0.961967,0.556025,0.763988
0.018028,0.053516,1193,1924,1579,2311,2341,2230,2365,2295,2706,1832,3445,3032,1851,3046,,0.384250,0.146123,0.440909,0.683036,0.220548,0.638671,0.552964,0.234261,0.607509,0.736794,0.859918,0.961311,0.557082,0.763988
0.017972,0.071488,1194,1925,1579,2311,2341,2229,2366,2296,2706,1832,3445,3033,1851,3045,,0.385199,0.147117,0.440909,0.683036,0.220548,0.638066,0.553936,0.234993,0.607509,0.736794,0.859918,0.961967,0.557082,0.763271
0.018009,0.089497,1195,1925,1579,2311,2341,2230,2366,2296,2706,1833,3444,3032,1851,3046,,0.386148,0.147117,0.440909,0.683036,0.220548,0.638671,0.553936,0.234993,0.607509,0.737705,0.858896,0.961311,0.557082,0.763988
0.017994,0.107491,1194,1924,1579,2312,2341,2230,2366,2295,2705,1831,3445,3032,1851,3045,,0.385199,0.146123,0.440909,0.684152,0.220548,0.638671,0.553936,0.234261,0.606371,0.735883,0.859918,0.961311,0.557082,0.763271
0.018004,0.125496,1195,1925,1580,2311,2341,2230,2366,2294,2705,1832,3446,3032,1851,3045,,0.386148,0.147117,0.441818,0.683036,0.220548,0.638671,0.553936,0.233529,0.606371,0.736794,0.860941,0.961311,0.557082,0.763271
0.017996,0.143492,1195,1925,1580,2311,2341,2230,2368,2294,2705,1833,3445,3032,1851,3045,,0.386148,0.147117,0.441818,0.683036,0.220548,0.638671,0.555879,0.233529,0.606371,0.737705,0.859918,0.961311,0.557082,0.763271
0.018000,0.161492,1195,1924,1580,2311,2341,2230,2369,2294,2705,1832,3445,3032,1851,3045,,0.386148,0.146123,0.441818,0.683036,0.220548,0.638671,0.556851,0.233529,0.606371,0.736794,0.859918,0.961311,0.557082,0.763271
0.018027,0.179520,1195,1925,1579,2312,2341,2230,2369,2294,2705,1833,3445,3031,1852,3045,,0.386148,0.147117,0.440909,0.684152,0.220548,0.638671,0.556851,0.233529,0.606371,0.737705,0.859918,0.960656,0.558140,0.763271
0.017975,0.197495,1195,1925,1579,2311,2340,2230,2369,2293,2704,1833,3445,3032,1852,3046,,0.386148,0.147117,0.440909,0.683036,0.219863,0.638671,0.556851,0.232796,0.605233,0.737705,0.859918,0.961311,0.558140,0.763988
0.018003,0.215497,1195,1924,1579,2311,2339,2230,2370,2293,2705,1834,3446,3032,1852,3047,,0.386148,0.146123,0.440909,0.683036,0.219178,0.638671,0.557823,0.232796,0.606371,0.738616,0.860941,0.961311,0.558140,0.764706
0.018001,0.233498,1195,1925,1579,2312,2340,2229,2370,2293,2705,1833,3445,3031,1852,3046,,0.386148,0.147117,0.440909,0.684152,0.219863,0.638066,0.557823,0.232796,0.606371,0.737705,0.859918,0.960656,0.558140,0.763988
0.017999,0.251498,1195,1925,1579,2312,2340,2230,2371,2293,2704,1834,3446,3031,1851,3046,,0.386148,0.147117,0.440909,0.684152,0.219863,0.638671,0.558795,0.232796,0.605233,0.738616,0.860941,0.960656,0.557082,0.763988
0.018001,0.269499,1195,1924,1580,2313,2340,2231,2372,2293,2705,1834,3446,3031,1852,3046,,0.386148,0.146123,0.441818,0.685268,0.219863,0.639275,0.559767,0.232796,0.606371,0.738616,0.860941,0.960656,0.558140,0.763988
0.018008,0.287507,1195,1925,1579,2313,2340,2230,2372,2292,2704,1834,3446,3032,1852,3045,,0.386148,0.147117,0.440909,0.685268,0.219863,0.638671,0.559767,0.232064,0.605233,0.738616,0.860941,0.961311,0.558140,0.763271
0.018030,0.305537,1195,1924,1578,2313,2340,2231,2373,2292,2704,1834,3446,3032,1851,3046,,0.386148,0.146123,0.440000,0.685268,0.219863,0.639275,0.560739,0.232064,0.605233,0.738616,0.860941,0.961311,0.557082,0.763988
0.017965,0.323502,1195,1925,1579,2313,2339,2231,2375,2291,2703,1833,3446,3032,1851,3046,,0.386148,0.147117,0.440909,0.685268,0.219178,0.639275,0.562682,0.231332,0.604096,0.737705,0.860941,0.961311,0.557082,0.763988
0.017987,0.341489,1195,1924,1578,2313,2339,2229,2374,2291,2703,1833,3445,3032,1851,3046,,0.386148,0.146123,0.440000,0.685268,0.219178,0.638066,0.561710,0.231332,0.604096,0.737705,0.859918,0.961311,0.557082,0.763988
0.018014,0.359503,1195,1924,1578,2314,2338,2231,2377,2292,2702,1833,3445,3032,1850,3045,,0.386148,0.146123,0.440000,0.686384,0.218493,0.639275,0.564626,0.232064,0.602958,0.737705,0.859918,0.961311,0.556025,0.763271
0.017958,0.377461,1195,1924,1578,2314,2338,2232,2378,2290,2702,1834,3445,3033,1851,3046,,0.386148,0.146123,0.440000,0.686384,0.218493,0.639879,0.565598,0.230600,0.602958,0.738616,0.859918,0.961967,0.557082,0.763988
0.018057,0.395518,1195,1924,1578,2313,2338,2232,2379,2292,2703,1834,3446,3031,1851,3046,,0.386148,0.146123,0.440000,0.685268,0.218493,0.639879,0.566570,0.232064,0.604096,0.738616,0.860941,0.960656,0.557082,0.763988
0.017986,0.413504,1194,1924,1578,2313,2338,2232,2378,2290,2702,1834,3445,3032,1851,3046,,0.385199,0.146123,0.440000,0.685268,0.218493,0.639879,0.565598,0.230600,0.602958,0.738616,0.859918,0.961311,0.557082,0.763988
0.018005,0.431509,1194,1924,1577,2314,2337,2232,2378,2290,2703,1833,3445,3032,1851,3046,,0.385199,0.146123,0.439091,0.686384,0.217808,0.639879,0.565598,0.230600,0.604096,0.737705,0.859918,0.961311,0.557082,0.763988
0.018000,0.449509,1195,1924,1578,2314,2337,2232,2380,2290,2702,1832,3445,3032,1851,3047,,0.386148,0.146123,0.440000,0.686384,0.217808,0.639879,0.567541,0.230600,0.602958,0.736794,0.859918,0.961311,0.557082,0.764706
0.018003,0.467511,1195,1924,1578,2313,2337,2232,2380,2290,2702,1834,3445,3032,1852,3046,,0.386148,0.146123,0.440000,0.685268,0.217808,0.639879,0.567541,0.230600,0.602958,0.738616,0.859918,0.961311,0.558140,0.763988
