GloveManager recording started on 10/20/16 at 16:22:51

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017242,0.017242,1120,1865,1282,2426,3397,2265,2447,3087,2951,1608,3433,2502,1754,2092,,0.314991,0.087475,0.170909,0.811384,0.943836,0.659819,0.632653,0.814056,0.886234,0.532787,0.847648,0.613770,0.454545,0.079627
0.018027,0.035269,1119,1864,1281,2426,3397,2264,2447,3087,2951,1607,3433,2502,1753,2091,,0.314042,0.086481,0.170000,0.811384,0.943836,0.659214,0.632653,0.814056,0.886234,0.531876,0.847648,0.613770,0.453488,0.078910
0.017978,0.053246,1119,1864,1281,2427,3397,2265,2447,3088,2951,1608,3432,2503,1753,2090,,0.314042,0.086481,0.170000,0.812500,0.943836,0.659819,0.632653,0.814788,0.886234,0.532787,0.846626,0.614426,0.453488,0.078192
0.018001,0.071248,1119,1864,1280,2427,3396,2265,2448,3087,2951,1609,3432,2504,1753,2091,,0.314042,0.086481,0.169091,0.812500,0.943151,0.659819,0.633625,0.814056,0.886234,0.533698,0.846626,0.615082,0.453488,0.078910
0.018001,0.089249,1119,1864,1281,2427,3397,2265,2448,3088,2951,1609,3433,2504,1751,2092,,0.314042,0.086481,0.170000,0.812500,0.943836,0.659819,0.633625,0.814788,0.886234,0.533698,0.847648,0.615082,0.451374,0.079627
0.017999,0.107247,1119,1864,1281,2426,3396,2264,2448,3088,2951,1609,3433,2504,1752,2092,,0.314042,0.086481,0.170000,0.811384,0.943151,0.659214,0.633625,0.814788,0.886234,0.533698,0.847648,0.615082,0.452431,0.079627
0.017983,0.125230,1119,1864,1281,2426,3396,2265,2447,3087,2951,1609,3434,2505,1751,2092,,0.314042,0.086481,0.170000,0.811384,0.943151,0.659819,0.632653,0.814056,0.886234,0.533698,0.848671,0.615738,0.451374,0.079627
0.018007,0.143237,1119,1864,1281,2426,3396,2265,2448,3087,2951,1609,3433,2506,1751,2091,,0.314042,0.086481,0.170000,0.811384,0.943151,0.659819,0.633625,0.814056,0.886234,0.533698,0.847648,0.616393,0.451374,0.078910
0.018012,0.161250,1119,1864,1282,2427,3395,2265,2448,3087,2950,1609,3433,2506,1751,2091,,0.314042,0.086481,0.170909,0.812500,0.942466,0.659819,0.633625,0.814056,0.885097,0.533698,0.847648,0.616393,0.451374,0.078910
0.018039,0.179289,1119,1863,1281,2427,3395,2265,2449,3088,2951,1609,3432,2506,1751,2091,,0.314042,0.085487,0.170000,0.812500,0.942466,0.659819,0.634597,0.814788,0.886234,0.533698,0.846626,0.616393,0.451374,0.078910
0.017995,0.197284,1119,1864,1280,2427,3395,2265,2449,3088,2951,1609,3432,2506,1751,2091,,0.314042,0.086481,0.169091,0.812500,0.942466,0.659819,0.634597,0.814788,0.886234,0.533698,0.846626,0.616393,0.451374,0.078910
0.017998,0.215282,1118,1864,1281,2427,3396,2265,2449,3088,2951,1609,3433,2507,1750,2091,,0.313093,0.086481,0.170000,0.812500,0.943151,0.659819,0.634597,0.814788,0.886234,0.533698,0.847648,0.617049,0.450317,0.078910
0.017983,0.233264,1118,1864,1281,2427,3396,2265,2449,3088,2951,1609,3433,2507,1750,2091,,0.313093,0.086481,0.170000,0.812500,0.943151,0.659819,0.634597,0.814788,0.886234,0.533698,0.847648,0.617049,0.450317,0.078910
0.018111,0.251375,1118,1864,1281,2427,3395,2264,2449,3088,2951,1610,3433,2507,1751,2091,,0.313093,0.086481,0.170000,0.812500,0.942466,0.659214,0.634597,0.814788,0.886234,0.534608,0.847648,0.617049,0.451374,0.078910
0.017908,0.269283,1118,1864,1281,2427,3395,2264,2449,3088,2951,1610,3433,2507,1751,2091,,0.313093,0.086481,0.170000,0.812500,0.942466,0.659214,0.634597,0.814788,0.886234,0.534608,0.847648,0.617049,0.451374,0.078910
0.017976,0.287259,1119,1864,1281,2427,3394,2266,2449,3088,2951,1610,3433,2508,1749,2090,,0.314042,0.086481,0.170000,0.812500,0.941781,0.660423,0.634597,0.814788,0.886234,0.534608,0.847648,0.617705,0.449260,0.078192
