GloveManager recording started on 10/20/16 at 16:23:29

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017111,0.017111,1344,2139,1643,2415,3128,2416,2376,3028,2870,1619,3389,2992,1848,3067,,0.527514,0.369246,0.499091,0.799107,0.759589,0.751057,0.563654,0.770864,0.759521,0.542805,0.802658,0.935082,0.553911,0.779053
0.018019,0.035130,1344,2139,1643,2415,3128,2416,2376,3028,2870,1619,3389,2992,1848,3067,,0.527514,0.369246,0.499091,0.799107,0.759589,0.751057,0.563654,0.770864,0.759521,0.542805,0.802658,0.935082,0.553911,0.779053
0.017999,0.053129,1344,2139,1643,2415,3128,2416,2376,3028,2870,1618,3390,2993,1848,3066,,0.527514,0.369246,0.499091,0.799107,0.759589,0.751057,0.563654,0.770864,0.759521,0.541894,0.803681,0.935738,0.553911,0.778336
0.017996,0.071125,1344,2140,1643,2415,3128,2416,2376,3027,2871,1619,3390,2993,1849,3067,,0.527514,0.370225,0.499091,0.799107,0.759589,0.751057,0.563654,0.770132,0.760609,0.542805,0.803681,0.935738,0.554968,0.779053
0.017996,0.089122,1344,2140,1644,2416,3128,2415,2376,3027,2870,1619,3390,2992,1849,3066,,0.527514,0.370225,0.500000,0.800223,0.759589,0.750453,0.563654,0.770132,0.759521,0.542805,0.803681,0.935082,0.554968,0.778336
0.018002,0.107124,1343,2139,1642,2415,3128,2415,2376,3028,2870,1619,3390,2992,1849,3066,,0.526565,0.369246,0.498182,0.799107,0.759589,0.750453,0.563654,0.770864,0.759521,0.542805,0.803681,0.935082,0.554968,0.778336
0.017973,0.125097,1343,2140,1643,2415,3128,2415,2375,3028,2870,1618,3390,2992,1848,3066,,0.526565,0.370225,0.499091,0.799107,0.759589,0.750453,0.562682,0.770864,0.759521,0.541894,0.803681,0.935082,0.553911,0.778336
0.018031,0.143128,1343,2140,1643,2415,3128,2415,2375,3028,2870,1618,3390,2992,1848,3066,,0.526565,0.370225,0.499091,0.799107,0.759589,0.750453,0.562682,0.770864,0.759521,0.541894,0.803681,0.935082,0.553911,0.778336
0.017986,0.161114,1342,2140,1643,2415,3128,2415,2375,3028,2871,1619,3390,2992,1849,3066,,0.525617,0.370225,0.499091,0.799107,0.759589,0.750453,0.562682,0.770864,0.760609,0.542805,0.803681,0.935082,0.554968,0.778336
