GloveManager recording started on 10/20/16 at 16:23:36

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017262,0.017262,1216,1839,1195,2347,2902,2252,2271,2844,2933,1309,3224,2931,1656,2643,,0.406072,0.075416,0.091818,0.723214,0.604795,0.651964,0.461613,0.636164,0.828074,0.260474,0.633947,0.895082,0.350951,0.474892
0.018004,0.035266,1216,1840,1196,2347,2903,2252,2271,2843,2933,1309,3223,2931,1655,2643,,0.406072,0.076396,0.092727,0.723214,0.605479,0.651964,0.461613,0.635432,0.828074,0.260474,0.632924,0.895082,0.349894,0.474892
0.017999,0.053265,1216,1840,1195,2347,2902,2251,2271,2843,2933,1310,3224,2931,1656,2644,,0.406072,0.076396,0.091818,0.723214,0.604795,0.651359,0.461613,0.635432,0.828074,0.261384,0.633947,0.895082,0.350951,0.475610
0.018001,0.071266,1215,1840,1196,2347,2902,2252,2270,2843,2933,1310,3224,2931,1656,2643,,0.405123,0.076396,0.092727,0.723214,0.604795,0.651964,0.460641,0.635432,0.828074,0.261384,0.633947,0.895082,0.350951,0.474892
0.017999,0.089265,1216,1840,1195,2347,2902,2251,2271,2843,2933,1310,3224,2931,1655,2642,,0.406072,0.076396,0.091818,0.723214,0.604795,0.651359,0.461613,0.635432,0.828074,0.261384,0.633947,0.895082,0.349894,0.474175
0.018003,0.107268,1216,1840,1195,2347,2902,2252,2271,2843,2934,1310,3224,2931,1656,2644,,0.406072,0.076396,0.091818,0.723214,0.604795,0.651964,0.461613,0.635432,0.829162,0.261384,0.633947,0.895082,0.350951,0.475610
0.017997,0.125266,1216,1840,1195,2346,2902,2252,2270,2843,2933,1310,3224,2931,1655,2643,,0.406072,0.076396,0.091818,0.722098,0.604795,0.651964,0.460641,0.635432,0.828074,0.261384,0.633947,0.895082,0.349894,0.474892
0.018004,0.143270,1215,1839,1194,2346,2901,2252,2270,2843,2934,1310,3224,2930,1655,2643,,0.405123,0.075416,0.090909,0.722098,0.604110,0.651964,0.460641,0.635432,0.829162,0.261384,0.633947,0.894426,0.349894,0.474892
0.017979,0.161248,1215,1839,1196,2346,2902,2251,2270,2843,2933,1309,3223,2931,1656,2642,,0.405123,0.075416,0.092727,0.722098,0.604795,0.651359,0.460641,0.635432,0.828074,0.260474,0.632924,0.895082,0.350951,0.474175
0.018050,0.179299,1215,1838,1195,2345,2902,2251,2269,2843,2933,1309,3223,2931,1656,2643,,0.405123,0.074437,0.091818,0.720982,0.604795,0.651359,0.459670,0.635432,0.828074,0.260474,0.632924,0.895082,0.350951,0.474892
0.017997,0.197295,1214,1838,1196,2346,2902,2251,2270,2844,2933,1310,3223,2930,1655,2642,,0.404175,0.074437,0.092727,0.722098,0.604795,0.651359,0.460641,0.636164,0.828074,0.261384,0.632924,0.894426,0.349894,0.474175
0.018002,0.215297,1214,1838,1195,2345,2902,2251,2269,2843,2933,1309,3223,2930,1656,2643,,0.404175,0.074437,0.091818,0.720982,0.604795,0.651359,0.459670,0.635432,0.828074,0.260474,0.632924,0.894426,0.350951,0.474892
0.017999,0.233296,1214,1838,1196,2345,2902,2251,2269,2843,2934,1310,3223,2931,1656,2643,,0.404175,0.074437,0.092727,0.720982,0.604795,0.651359,0.459670,0.635432,0.829162,0.261384,0.632924,0.895082,0.350951,0.474892
0.017980,0.251276,1214,1838,1195,2345,2901,2251,2268,2843,2933,1308,3222,2930,1655,2643,,0.404175,0.074437,0.091818,0.720982,0.604110,0.651359,0.458698,0.635432,0.828074,0.259563,0.631902,0.894426,0.349894,0.474892
0.017999,0.269275,1214,1838,1195,2345,2901,2251,2268,2843,2933,1308,3222,2930,1655,2643,,0.404175,0.074437,0.091818,0.720982,0.604110,0.651359,0.458698,0.635432,0.828074,0.259563,0.631902,0.894426,0.349894,0.474892
0.018003,0.287278,1214,1837,1196,2343,2901,2250,2267,2842,2934,1309,3222,2930,1655,2642,,0.404175,0.073457,0.092727,0.718750,0.604110,0.650755,0.457726,0.634700,0.829162,0.260474,0.631902,0.894426,0.349894,0.474175
0.018041,0.305319,1213,1837,1196,2344,2901,2251,2267,2842,2934,1308,3223,2930,1654,2642,,0.403226,0.073457,0.092727,0.719866,0.604110,0.651359,0.457726,0.634700,0.829162,0.259563,0.632924,0.894426,0.348837,0.474175
0.017992,0.323312,1213,1837,1196,2343,2901,2250,2266,2842,2935,1308,3223,2931,1655,2643,,0.403226,0.073457,0.092727,0.718750,0.604110,0.650755,0.456754,0.634700,0.830250,0.259563,0.632924,0.895082,0.349894,0.474892
0.017991,0.341303,1213,1838,1197,2343,2902,2251,2266,2843,2935,1307,3223,2930,1655,2643,,0.403226,0.074437,0.093636,0.718750,0.604795,0.651359,0.456754,0.635432,0.830250,0.258652,0.632924,0.894426,0.349894,0.474892
0.017977,0.359280,1213,1837,1197,2343,2902,2251,2267,2843,2934,1308,3222,2931,1655,2643,,0.403226,0.073457,0.093636,0.718750,0.604795,0.651359,0.457726,0.635432,0.829162,0.259563,0.631902,0.895082,0.349894,0.474892
0.018042,0.377322,1213,1836,1197,2342,2902,2251,2266,2843,2934,1309,3223,2930,1655,2642,,0.403226,0.072478,0.093636,0.717634,0.604795,0.651359,0.456754,0.635432,0.829162,0.260474,0.632924,0.894426,0.349894,0.474175
0.017966,0.395289,1213,1837,1196,2342,2902,2250,2267,2843,2934,1308,3222,2931,1654,2642,,0.403226,0.073457,0.092727,0.717634,0.604795,0.650755,0.457726,0.635432,0.829162,0.259563,0.631902,0.895082,0.348837,0.474175
0.018006,0.413295,1213,1837,1197,2342,2902,2250,2265,2843,2935,1308,3222,2930,1654,2642,,0.403226,0.073457,0.093636,0.717634,0.604795,0.650755,0.455782,0.635432,0.830250,0.259563,0.631902,0.894426,0.348837,0.474175
0.018018,0.431313,1212,1836,1197,2342,2902,2251,2265,2843,2935,1307,3222,2930,1654,2642,,0.402277,0.072478,0.093636,0.717634,0.604795,0.651359,0.455782,0.635432,0.830250,0.258652,0.631902,0.894426,0.348837,0.474175
0.017998,0.449311,1213,1836,1196,2342,2902,2251,2265,2841,2935,1307,3222,2931,1653,2642,,0.403226,0.072478,0.092727,0.717634,0.604795,0.651359,0.455782,0.633968,0.830250,0.258652,0.631902,0.895082,0.347780,0.474175
0.018012,0.467322,1212,1836,1196,2342,2901,2250,2265,2842,2935,1307,3222,2930,1655,2642,,0.402277,0.072478,0.092727,0.717634,0.604110,0.650755,0.455782,0.634700,0.830250,0.258652,0.631902,0.894426,0.349894,0.474175
0.017990,0.485312,1211,1835,1195,2342,2902,2250,2265,2843,2935,1307,3222,2931,1654,2642,,0.401328,0.071499,0.091818,0.717634,0.604795,0.650755,0.455782,0.635432,0.830250,0.258652,0.631902,0.895082,0.348837,0.474175
0.018003,0.503316,1212,1837,1197,2342,2902,2251,2264,2842,2934,1308,3222,2930,1654,2642,,0.402277,0.073457,0.093636,0.717634,0.604795,0.651359,0.454811,0.634700,0.829162,0.259563,0.631902,0.894426,0.348837,0.474175
0.018005,0.521321,1211,1835,1196,2342,2902,2251,2265,2842,2935,1308,3223,2931,1655,2642,,0.401328,0.071499,0.092727,0.717634,0.604795,0.651359,0.455782,0.634700,0.830250,0.259563,0.632924,0.895082,0.349894,0.474175
0.017994,0.539315,1212,1835,1197,2342,2901,2250,2264,2842,2935,1308,3222,2930,1655,2642,,0.402277,0.071499,0.093636,0.717634,0.604110,0.650755,0.454811,0.634700,0.830250,0.259563,0.631902,0.894426,0.349894,0.474175
0.018006,0.557322,1212,1836,1197,2341,2902,2250,2264,2842,2935,1307,3223,2930,1655,2642,,0.402277,0.072478,0.093636,0.716518,0.604795,0.650755,0.454811,0.634700,0.830250,0.258652,0.632924,0.894426,0.349894,0.474175
0.017995,0.575316,1211,1835,1196,2340,2901,2250,2264,2841,2935,1307,3223,2930,1654,2641,,0.401328,0.071499,0.092727,0.715402,0.604110,0.650755,0.454811,0.633968,0.830250,0.258652,0.632924,0.894426,0.348837,0.473458
0.017999,0.593316,1211,1835,1196,2341,2901,2251,2265,2842,2935,1307,3222,2930,1654,2642,,0.401328,0.071499,0.092727,0.716518,0.604110,0.651359,0.455782,0.634700,0.830250,0.258652,0.631902,0.894426,0.348837,0.474175
0.018012,0.611328,1211,1835,1196,2341,2901,2251,2265,2842,2935,1307,3222,2930,1654,2642,,0.401328,0.071499,0.092727,0.716518,0.604110,0.651359,0.455782,0.634700,0.830250,0.258652,0.631902,0.894426,0.348837,0.474175
0.017994,0.629321,1211,1836,1196,2340,2901,2250,2264,2841,2935,1306,3222,2930,1654,2641,,0.401328,0.072478,0.092727,0.715402,0.604110,0.650755,0.454811,0.633968,0.830250,0.257741,0.631902,0.894426,0.348837,0.473458
0.017987,0.647308,1211,1836,1197,2341,2900,2250,2264,2841,2935,1307,3222,2929,1654,2642,,0.401328,0.072478,0.093636,0.716518,0.603425,0.650755,0.454811,0.633968,0.830250,0.258652,0.631902,0.893771,0.348837,0.474175
0.018017,0.665325,1210,1835,1196,2341,2900,2250,2264,2842,2935,1307,3222,2931,1654,2642,,0.400380,0.071499,0.092727,0.716518,0.603425,0.650755,0.454811,0.634700,0.830250,0.258652,0.631902,0.895082,0.348837,0.474175
0.018008,0.683333,1210,1835,1196,2341,2900,2250,2264,2842,2935,1307,3222,2931,1654,2642,,0.400380,0.071499,0.092727,0.716518,0.603425,0.650755,0.454811,0.634700,0.830250,0.258652,0.631902,0.895082,0.348837,0.474175
0.017986,0.701319,1211,1836,1197,2341,2901,2251,2264,2841,2936,1307,3222,2930,1654,2642,,0.401328,0.072478,0.093636,0.716518,0.604110,0.651359,0.454811,0.633968,0.831338,0.258652,0.631902,0.894426,0.348837,0.474175
0.018005,0.719325,1211,1836,1197,2341,2901,2251,2264,2841,2936,1307,3222,2930,1654,2642,,0.401328,0.072478,0.093636,0.716518,0.604110,0.651359,0.454811,0.633968,0.831338,0.258652,0.631902,0.894426,0.348837,0.474175
0.018012,0.737337,1211,1836,1198,2341,2900,2250,2264,2841,2936,1307,3223,2930,1654,2641,,0.401328,0.072478,0.094545,0.716518,0.603425,0.650755,0.454811,0.633968,0.831338,0.258652,0.632924,0.894426,0.348837,0.473458
0.017990,0.755326,1211,1836,1198,2341,2900,2250,2264,2841,2936,1307,3223,2930,1654,2641,,0.401328,0.072478,0.094545,0.716518,0.603425,0.650755,0.454811,0.633968,0.831338,0.258652,0.632924,0.894426,0.348837,0.473458
0.017999,0.773326,1211,1836,1197,2340,2900,2250,2264,2842,2935,1306,3223,2929,1653,2643,,0.401328,0.072478,0.093636,0.715402,0.603425,0.650755,0.454811,0.634700,0.830250,0.257741,0.632924,0.893771,0.347780,0.474892
0.017998,0.791324,1211,1835,1197,2341,2901,2250,2264,2841,2935,1307,3223,2930,1654,2642,,0.401328,0.071499,0.093636,0.716518,0.604110,0.650755,0.454811,0.633968,0.830250,0.258652,0.632924,0.894426,0.348837,0.474175
0.018015,0.809339,1211,1835,1197,2340,2900,2250,2264,2842,2935,1307,3222,2929,1654,2642,,0.401328,0.071499,0.093636,0.715402,0.603425,0.650755,0.454811,0.634700,0.830250,0.258652,0.631902,0.893771,0.348837,0.474175
0.017993,0.827332,1210,1835,1196,2339,2901,2250,2263,2842,2936,1307,3222,2930,1655,2642,,0.400380,0.071499,0.092727,0.714286,0.604110,0.650755,0.453839,0.634700,0.831338,0.258652,0.631902,0.894426,0.349894,0.474175
0.018001,0.845333,1211,1835,1197,2340,2901,2251,2263,2841,2936,1307,3222,2930,1654,2641,,0.401328,0.071499,0.093636,0.715402,0.604110,0.651359,0.453839,0.633968,0.831338,0.258652,0.631902,0.894426,0.348837,0.473458
0.017997,0.863330,1211,1836,1198,2340,2900,2250,2264,2841,2936,1307,3222,2929,1654,2642,,0.401328,0.072478,0.094545,0.715402,0.603425,0.650755,0.454811,0.633968,0.831338,0.258652,0.631902,0.893771,0.348837,0.474175
0.018003,0.881333,1211,1835,1198,2341,2901,2251,2264,2841,2935,1307,3221,2931,1654,2641,,0.401328,0.071499,0.094545,0.716518,0.604110,0.651359,0.454811,0.633968,0.830250,0.258652,0.630879,0.895082,0.348837,0.473458
0.017952,0.899285,1210,1835,1197,2340,2900,2250,2262,2840,2935,1306,3221,2930,1653,2642,,0.400380,0.071499,0.093636,0.715402,0.603425,0.650755,0.452867,0.633236,0.830250,0.257741,0.630879,0.894426,0.347780,0.474175
0.018053,0.917338,1211,1835,1198,2340,2900,2250,2263,2841,2936,1307,3222,2930,1654,2642,,0.401328,0.071499,0.094545,0.715402,0.603425,0.650755,0.453839,0.633968,0.831338,0.258652,0.631902,0.894426,0.348837,0.474175
0.018001,0.935340,1211,1835,1198,2340,2901,2250,2263,2840,2936,1306,3222,2929,1654,2642,,0.401328,0.071499,0.094545,0.715402,0.604110,0.650755,0.453839,0.633236,0.831338,0.257741,0.631902,0.893771,0.348837,0.474175
0.017998,0.953338,1211,1835,1197,2340,2901,2251,2263,2840,2936,1306,3222,2929,1654,2642,,0.401328,0.071499,0.093636,0.715402,0.604110,0.651359,0.453839,0.633236,0.831338,0.257741,0.631902,0.893771,0.348837,0.474175
0.017973,0.971311,1211,1836,1198,2340,2900,2250,2263,2841,2936,1307,3222,2929,1654,2642,,0.401328,0.072478,0.094545,0.715402,0.603425,0.650755,0.453839,0.633968,0.831338,0.258652,0.631902,0.893771,0.348837,0.474175
0.018022,0.989333,1211,1836,1197,2339,2901,2251,2263,2840,2936,1307,3222,2930,1653,2642,,0.401328,0.072478,0.093636,0.714286,0.604110,0.651359,0.453839,0.633236,0.831338,0.258652,0.631902,0.894426,0.347780,0.474175
0.018025,1.007358,1211,1835,1198,2340,2901,2251,2263,2840,2936,1307,3222,2930,1654,2642,,0.401328,0.071499,0.094545,0.715402,0.604110,0.651359,0.453839,0.633236,0.831338,0.258652,0.631902,0.894426,0.348837,0.474175
0.017997,1.025355,1211,1835,1198,2340,2901,2251,2263,2840,2936,1307,3222,2930,1654,2642,,0.401328,0.071499,0.094545,0.715402,0.604110,0.651359,0.453839,0.633236,0.831338,0.258652,0.631902,0.894426,0.348837,0.474175
0.017991,1.043346,1211,1836,1198,2340,2901,2250,2263,2840,2935,1307,3221,2930,1654,2641,,0.401328,0.072478,0.094545,0.715402,0.604110,0.650755,0.453839,0.633236,0.830250,0.258652,0.630879,0.894426,0.348837,0.473458
0.017997,1.061343,1211,1835,1198,2340,2900,2250,2263,2841,2936,1308,3222,2930,1654,2642,,0.401328,0.071499,0.094545,0.715402,0.603425,0.650755,0.453839,0.633968,0.831338,0.259563,0.631902,0.894426,0.348837,0.474175
0.018039,1.079382,1211,1834,1197,2339,2900,2250,2262,2840,2936,1307,3222,2929,1654,2641,,0.401328,0.070519,0.093636,0.714286,0.603425,0.650755,0.452867,0.633236,0.831338,0.258652,0.631902,0.893771,0.348837,0.473458
0.017977,1.097358,1211,1834,1197,2339,2900,2250,2262,2840,2936,1307,3222,2929,1654,2641,,0.401328,0.070519,0.093636,0.714286,0.603425,0.650755,0.452867,0.633236,0.831338,0.258652,0.631902,0.893771,0.348837,0.473458
