GloveManager recording started on 10/20/16 at 16:23:44

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017158,0.017158,1198,1885,1650,2196,2435,1789,2511,2546,2850,1528,3203,2955,1718,2573,,0.388994,0.120470,0.505455,0.554688,0.284932,0.372205,0.694849,0.418009,0.737758,0.459927,0.612474,0.910820,0.416490,0.424677
0.017999,0.035157,1199,1885,1650,2197,2435,1790,2512,2545,2849,1528,3203,2956,1718,2572,,0.389943,0.120470,0.505455,0.555804,0.284932,0.372810,0.695821,0.417277,0.736670,0.459927,0.612474,0.911475,0.416490,0.423960
0.018000,0.053157,1199,1886,1650,2197,2435,1790,2511,2545,2849,1528,3202,2955,1718,2572,,0.389943,0.121450,0.505455,0.555804,0.284932,0.372810,0.694849,0.417277,0.736670,0.459927,0.611452,0.910820,0.416490,0.423960
0.018003,0.071160,1198,1885,1649,2198,2434,1790,2511,2545,2848,1526,3203,2956,1718,2572,,0.388994,0.120470,0.504545,0.556920,0.284247,0.372810,0.694849,0.417277,0.735582,0.458106,0.612474,0.911475,0.416490,0.423960
0.018001,0.089162,1199,1885,1648,2198,2433,1791,2511,2544,2849,1527,3202,2956,1718,2572,,0.389943,0.120470,0.503636,0.556920,0.283562,0.373414,0.694849,0.416545,0.736670,0.459016,0.611452,0.911475,0.416490,0.423960
0.017974,0.107136,1198,1886,1647,2198,2434,1792,2511,2544,2849,1526,3202,2955,1719,2573,,0.388994,0.121450,0.502727,0.556920,0.284247,0.374018,0.694849,0.416545,0.736670,0.458106,0.611452,0.910820,0.417548,0.424677
0.018028,0.125163,1198,1885,1647,2199,2433,1793,2510,2543,2849,1525,3202,2955,1718,2572,,0.388994,0.120470,0.502727,0.558036,0.283562,0.374622,0.693878,0.415813,0.736670,0.457195,0.611452,0.910820,0.416490,0.423960
0.018041,0.143205,1198,1885,1647,2199,2433,1793,2510,2543,2849,1525,3202,2955,1718,2572,,0.388994,0.120470,0.502727,0.558036,0.283562,0.374622,0.693878,0.415813,0.736670,0.457195,0.611452,0.910820,0.416490,0.423960
0.017973,0.161178,1199,1885,1648,2199,2433,1793,2511,2543,2849,1524,3202,2955,1719,2572,,0.389943,0.120470,0.503636,0.558036,0.283562,0.374622,0.694849,0.415813,0.736670,0.456284,0.611452,0.910820,0.417548,0.423960
