GloveManager recording started on 10/20/16 at 16:23:58

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017221,0.017221,1081,1919,1646,2127,2298,2326,1932,2312,2775,1143,3511,2890,1671,3126,,0.277989,0.153771,0.501818,0.477679,0.191096,0.696677,0.132167,0.246706,0.656148,0.109290,0.927403,0.868197,0.366808,0.821377
0.018001,0.035222,1080,1920,1646,2126,2299,2326,1932,2312,2774,1143,3512,2890,1671,3126,,0.277040,0.154750,0.501818,0.476563,0.191781,0.696677,0.132167,0.246706,0.655060,0.109290,0.928425,0.868197,0.366808,0.821377
0.018024,0.053246,1080,1920,1646,2126,2299,2326,1932,2312,2774,1143,3512,2890,1671,3126,,0.277040,0.154750,0.501818,0.476563,0.191781,0.696677,0.132167,0.246706,0.655060,0.109290,0.928425,0.868197,0.366808,0.821377
0.017999,0.071246,1080,1920,1645,2126,2298,2326,1933,2311,2775,1142,3510,2889,1655,3126,,0.277040,0.154750,0.500909,0.476563,0.191096,0.696677,0.133139,0.245974,0.656148,0.108379,0.926380,0.867541,0.349894,0.821377
0.018009,0.089255,1080,1920,1645,2126,2299,2326,1932,2310,2774,1141,3511,2889,1653,3126,,0.277040,0.154750,0.500909,0.476563,0.191781,0.696677,0.132167,0.245242,0.655060,0.107468,0.927403,0.867541,0.347780,0.821377
0.017993,0.107248,1080,1920,1645,2127,2299,2326,1934,2310,2775,1142,3512,2888,1654,3126,,0.277040,0.154750,0.500909,0.477679,0.191781,0.696677,0.134111,0.245242,0.656148,0.108379,0.928425,0.866885,0.348837,0.821377
0.017958,0.125206,1080,1920,1645,2127,2299,2325,1934,2310,2775,1143,3511,2887,1653,3126,,0.277040,0.154750,0.500909,0.477679,0.191781,0.696073,0.134111,0.245242,0.656148,0.109290,0.927403,0.866230,0.347780,0.821377
0.018047,0.143253,1081,1919,1644,2126,2299,2325,1934,2309,2776,1143,3511,2888,1654,3126,,0.277989,0.153771,0.500000,0.476563,0.191781,0.696073,0.134111,0.244510,0.657236,0.109290,0.927403,0.866885,0.348837,0.821377
0.017978,0.161231,1081,1920,1646,2128,2299,2325,1935,2308,2776,1143,3511,2888,1654,3125,,0.277989,0.154750,0.501818,0.478795,0.191781,0.696073,0.135083,0.243777,0.657236,0.109290,0.927403,0.866885,0.348837,0.820660
0.018055,0.179286,1081,1919,1645,2128,2299,2325,1935,2307,2776,1142,3511,2888,1654,3126,,0.277989,0.153771,0.500909,0.478795,0.191781,0.696073,0.135083,0.243045,0.657236,0.108379,0.927403,0.866885,0.348837,0.821377
0.017969,0.197255,1081,1919,1645,2129,2300,2325,1935,2308,2776,1142,3511,2889,1654,3124,,0.277989,0.153771,0.500909,0.479911,0.192466,0.696073,0.135083,0.243777,0.657236,0.108379,0.927403,0.867541,0.348837,0.819943
0.018008,0.215263,1081,1919,1645,2130,2300,2324,1936,2307,2777,1143,3511,2888,1652,3124,,0.277989,0.153771,0.500909,0.481027,0.192466,0.695468,0.136054,0.243045,0.658324,0.109290,0.927403,0.866885,0.346723,0.819943
0.017993,0.233255,1081,1919,1646,2129,2298,2323,1936,2307,2776,1143,3510,2888,1653,3125,,0.277989,0.153771,0.501818,0.479911,0.191096,0.694864,0.136054,0.243045,0.657236,0.109290,0.926380,0.866885,0.347780,0.820660
