GloveManager recording started on 10/20/16 at 16:24:11

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017524,0.017524,1120,2040,1608,2453,3227,1677,2236,3194,2956,1371,3473,2970,1682,3183,,0.314991,0.272282,0.467273,0.841518,0.827397,0.304532,0.427600,0.892387,0.853101,0.316940,0.888548,0.920656,0.378436,0.862267
0.018001,0.035525,1120,2040,1608,2453,3227,1677,2236,3194,2956,1371,3473,2970,1682,3183,,0.314991,0.272282,0.467273,0.841518,0.827397,0.304532,0.427600,0.892387,0.853101,0.316940,0.888548,0.920656,0.378436,0.862267
0.017991,0.053516,1120,2041,1608,2453,3227,1676,2236,3195,2955,1371,3473,2969,1681,3183,,0.314991,0.273262,0.467273,0.841518,0.827397,0.303927,0.427600,0.893119,0.852013,0.316940,0.888548,0.920000,0.377378,0.862267
0.018011,0.071527,1121,2040,1608,2453,3227,1677,2236,3194,2956,1372,3473,2969,1681,3184,,0.315939,0.272282,0.467273,0.841518,0.827397,0.304532,0.427600,0.892387,0.853101,0.317851,0.888548,0.920000,0.377378,0.862984
0.018003,0.089530,1120,2040,1608,2453,3227,1676,2236,3195,2956,1371,3473,2969,1681,3183,,0.314991,0.272282,0.467273,0.841518,0.827397,0.303927,0.427600,0.893119,0.853101,0.316940,0.888548,0.920000,0.377378,0.862267
0.017998,0.107529,1120,2040,1608,2453,3227,1676,2236,3195,2956,1371,3473,2969,1681,3183,,0.314991,0.272282,0.467273,0.841518,0.827397,0.303927,0.427600,0.893119,0.853101,0.316940,0.888548,0.920000,0.377378,0.862267
0.018005,0.125534,1120,2040,1608,2453,3226,1676,2235,3196,2956,1372,3474,2970,1681,3182,,0.314991,0.272282,0.467273,0.841518,0.826712,0.303927,0.426628,0.893851,0.853101,0.317851,0.889571,0.920656,0.377378,0.861549
0.018000,0.143534,1119,2039,1608,2452,3226,1675,2236,3195,2956,1371,3473,2970,1681,3182,,0.314042,0.271303,0.467273,0.840402,0.826712,0.303323,0.427600,0.893119,0.853101,0.316940,0.888548,0.920656,0.377378,0.861549
0.017999,0.161533,1120,2039,1608,2452,3226,1676,2236,3195,2956,1371,3473,2970,1680,3182,,0.314991,0.271303,0.467273,0.840402,0.826712,0.303927,0.427600,0.893119,0.853101,0.316940,0.888548,0.920656,0.376321,0.861549
