GloveManager recording started on 10/20/16 at 16:24:24

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017515,0.017515,1149,1865,1491,2132,2300,1465,2147,2178,2632,1254,3519,2958,1669,3102,,0.342505,0.100881,0.360909,0.483259,0.192466,0.176435,0.341108,0.148609,0.500544,0.210383,0.935583,0.912787,0.364693,0.804161
0.018000,0.035515,1149,1865,1492,2132,2301,1465,2147,2177,2631,1253,3520,2958,1669,3103,,0.342505,0.100881,0.361818,0.483259,0.193151,0.176435,0.341108,0.147877,0.499456,0.209472,0.936605,0.912787,0.364693,0.804878
0.018003,0.053517,1149,1866,1492,2132,2300,1464,2147,2178,2631,1254,3520,2958,1669,3103,,0.342505,0.101861,0.361818,0.483259,0.192466,0.175831,0.341108,0.148609,0.499456,0.210383,0.936605,0.912787,0.364693,0.804878
0.017991,0.071509,1150,1866,1490,2132,2301,1463,2147,2177,2632,1253,3520,2958,1668,3102,,0.343453,0.101861,0.360000,0.483259,0.193151,0.175227,0.341108,0.147877,0.500544,0.209472,0.936605,0.912787,0.363636,0.804161
0.018031,0.089539,1149,1865,1490,2132,2301,1464,2146,2177,2632,1253,3520,2958,1669,3103,,0.342505,0.100881,0.360000,0.483259,0.193151,0.175831,0.340136,0.147877,0.500544,0.209472,0.936605,0.912787,0.364693,0.804878
0.017984,0.107523,1149,1866,1489,2132,2300,1464,2147,2177,2632,1253,3520,2957,1668,3103,,0.342505,0.101861,0.359091,0.483259,0.192466,0.175831,0.341108,0.147877,0.500544,0.209472,0.936605,0.912131,0.363636,0.804878
0.018006,0.125529,1150,1865,1488,2133,2301,1465,2147,2177,2631,1254,3520,2957,1669,3102,,0.343453,0.100881,0.358182,0.484375,0.193151,0.176435,0.341108,0.147877,0.499456,0.210383,0.936605,0.912131,0.364693,0.804161
0.018003,0.143532,1150,1864,1489,2133,2301,1464,2147,2177,2631,1254,3520,2957,1669,3103,,0.343453,0.099902,0.359091,0.484375,0.193151,0.175831,0.341108,0.147877,0.499456,0.210383,0.936605,0.912131,0.364693,0.804878
0.017992,0.161524,1149,1865,1488,2133,2301,1464,2147,2177,2632,1253,3520,2957,1669,3103,,0.342505,0.100881,0.358182,0.484375,0.193151,0.175831,0.341108,0.147877,0.500544,0.209472,0.936605,0.912131,0.364693,0.804878
0.018019,0.179543,1149,1865,1488,2133,2301,1464,2147,2177,2632,1253,3520,2959,1669,3103,,0.341556,0.100881,0.357273,0.484375,0.192466,0.175227,0.340136,0.147145,0.499456,0.210383,0.936605,0.913443,0.364693,0.804878
0.017973,0.197515,1149,1865,1487,2133,2301,1464,2146,2176,2631,1253,3519,2957,1668,3102,,0.342505,0.100881,0.357273,0.484375,0.193151,0.175831,0.340136,0.147145,0.499456,0.209472,0.935583,0.912131,0.363636,0.804161
0.018023,0.215539,1149,1865,1488,2133,2300,1462,2146,2176,2631,1254,3519,2958,1668,3103,,0.342505,0.100881,0.358182,0.484375,0.192466,0.174622,0.340136,0.147145,0.499456,0.210383,0.935583,0.912787,0.363636,0.804878
0.017990,0.233528,1149,1865,1486,2134,2300,1464,2146,2177,2632,1254,3519,2958,1669,3103,,0.342505,0.100881,0.356364,0.485491,0.192466,0.175831,0.340136,0.147877,0.500544,0.210383,0.935583,0.912787,0.364693,0.804878
0.018002,0.251530,1149,1865,1486,2133,2301,1463,2146,2177,2631,1254,3520,2957,1668,3103,,0.342505,0.100881,0.356364,0.484375,0.193151,0.175227,0.340136,0.147877,0.499456,0.210383,0.936605,0.912131,0.363636,0.804878
0.018013,0.269543,1150,1865,1484,2134,2300,1464,2146,2176,2631,1254,3520,2957,1669,3102,,0.343453,0.100881,0.354545,0.485491,0.192466,0.175831,0.340136,0.147145,0.499456,0.210383,0.936605,0.912131,0.364693,0.804161
0.017960,0.287503,1150,1866,1485,2135,2300,1463,2147,2176,2632,1254,3520,2958,1669,3103,,0.343453,0.101861,0.355455,0.486607,0.192466,0.175227,0.341108,0.147145,0.500544,0.210383,0.936605,0.912787,0.364693,0.804878
0.018032,0.305535,1150,1865,1485,2135,2301,1464,2147,2177,2632,1255,3519,2958,1668,3102,,0.343453,0.100881,0.355455,0.486607,0.193151,0.175831,0.341108,0.147877,0.500544,0.211293,0.935583,0.912787,0.363636,0.804161
0.017998,0.323533,1150,1865,1484,2134,2300,1462,2146,2176,2631,1254,3520,2958,1668,3103,,0.343453,0.100881,0.354545,0.485491,0.192466,0.174622,0.340136,0.147145,0.499456,0.210383,0.936605,0.912787,0.363636,0.804878
0.017971,0.341505,1150,1865,1483,2134,2301,1463,2146,2176,2632,1253,3520,2958,1667,3102,,0.343453,0.100881,0.353636,0.485491,0.193151,0.175227,0.340136,0.147145,0.500544,0.209472,0.936605,0.912787,0.362579,0.804161
0.018032,0.359537,1149,1865,1484,2135,2301,1463,2147,2177,2631,1253,3519,2958,1667,3102,,0.342505,0.100881,0.354545,0.486607,0.193151,0.175227,0.341108,0.147877,0.499456,0.209472,0.935583,0.912787,0.362579,0.804161
0.017999,0.377536,1149,1865,1484,2135,2301,1463,2147,2177,2631,1253,3519,2958,1667,3102,,0.342505,0.100881,0.354545,0.486607,0.193151,0.175227,0.341108,0.147877,0.499456,0.209472,0.935583,0.912787,0.362579,0.804161
0.018017,0.395552,1150,1865,1482,2135,2300,1463,2147,2176,2631,1253,3518,2958,1668,3101,,0.343453,0.100881,0.352727,0.486607,0.192466,0.175227,0.341108,0.147145,0.499456,0.209472,0.934560,0.912787,0.363636,0.803443
0.018013,0.413565,1149,1865,1483,2136,2300,1464,2149,2176,2631,1255,3520,2958,1669,3101,,0.342505,0.100881,0.353636,0.487723,0.192466,0.175831,0.343051,0.147145,0.499456,0.211293,0.936605,0.912787,0.364693,0.803443
0.017989,0.431554,1150,1865,1484,2136,2300,1466,2150,2176,2630,1254,3519,2958,1668,3101,,0.343453,0.100881,0.354545,0.487723,0.192466,0.177039,0.344023,0.147145,0.498368,0.210383,0.935583,0.912787,0.363636,0.803443
0.017999,0.449553,1150,1865,1484,2136,2300,1466,2150,2176,2630,1254,3519,2958,1668,3101,,0.343453,0.100881,0.354545,0.487723,0.192466,0.177039,0.344023,0.147145,0.498368,0.210383,0.935583,0.912787,0.363636,0.803443
0.017954,0.467507,1149,1864,1481,2136,2301,1468,2150,2177,2630,1256,3519,2958,1669,3101,,0.342505,0.099902,0.351818,0.487723,0.193151,0.178248,0.344023,0.147877,0.498368,0.212204,0.935583,0.912787,0.364693,0.803443
0.018007,0.485515,1149,1864,1481,2135,2300,1469,2151,2176,2630,1255,3519,2958,1670,3100,,0.342505,0.099902,0.351818,0.486607,0.192466,0.178852,0.344995,0.147145,0.498368,0.211293,0.935583,0.912787,0.365751,0.802726
0.018016,0.503531,1149,1864,1483,2136,2301,1472,2152,2177,2630,1255,3519,2959,1670,3101,,0.342505,0.099902,0.353636,0.487723,0.193151,0.180665,0.345967,0.147877,0.498368,0.211293,0.935583,0.913443,0.365751,0.803443
0.017999,0.521530,1149,1864,1482,2136,2302,1470,2151,2177,2630,1256,3519,2958,1669,3101,,0.342505,0.099902,0.352727,0.487723,0.193836,0.179456,0.344995,0.147877,0.498368,0.212204,0.935583,0.912787,0.364693,0.803443
0.018014,0.539544,1149,1863,1482,2135,2301,1472,2152,2177,2630,1255,3520,2958,1669,3101,,0.342505,0.098923,0.352727,0.486607,0.193151,0.180665,0.345967,0.147877,0.498368,0.211293,0.936605,0.912787,0.364693,0.803443
0.018001,0.557545,1149,1863,1481,2134,2301,1472,2151,2176,2630,1255,3520,2959,1670,3101,,0.342505,0.098923,0.351818,0.485491,0.193151,0.180665,0.344995,0.147145,0.498368,0.211293,0.936605,0.913443,0.365751,0.803443
0.018006,0.575551,1148,1863,1482,2134,2302,1472,2153,2176,2630,1255,3520,2958,1669,3101,,0.341556,0.098923,0.352727,0.485491,0.193836,0.180665,0.346939,0.147145,0.498368,0.211293,0.936605,0.912787,0.364693,0.803443
