GloveManager recording started on 10/20/16 at 16:24:37

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017301,0.017301,1187,2045,1642,2247,2982,1855,2679,3111,2911,1790,3447,2983,1866,3181,,0.378558,0.277179,0.498182,0.611607,0.659589,0.412085,0.858115,0.831625,0.804135,0.698543,0.861963,0.929180,0.572939,0.860832
0.017950,0.035251,1187,2046,1641,2247,2982,1855,2678,3111,2912,1790,3447,2983,1865,3181,,0.378558,0.278159,0.497273,0.611607,0.659589,0.412085,0.857143,0.831625,0.805223,0.698543,0.861963,0.929180,0.571882,0.860832
0.018033,0.053284,1187,2045,1641,2247,2983,1855,2678,3111,2911,1789,3447,2984,1866,3182,,0.378558,0.277179,0.497273,0.611607,0.660274,0.412085,0.857143,0.831625,0.804135,0.697632,0.861963,0.929836,0.572939,0.861549
0.018001,0.071285,1188,2046,1641,2247,2983,1855,2678,3111,2912,1789,3448,2984,1865,3184,,0.379507,0.278159,0.497273,0.611607,0.660274,0.412085,0.857143,0.831625,0.805223,0.697632,0.862986,0.929836,0.571882,0.862984
0.018008,0.089294,1189,2047,1640,2246,2982,1856,2679,3111,2912,1788,3447,2984,1864,3184,,0.380455,0.279138,0.496364,0.610491,0.659589,0.412689,0.858115,0.831625,0.805223,0.696721,0.861963,0.929836,0.570825,0.862984
0.017973,0.107266,1189,2046,1640,2247,2982,1856,2678,3110,2912,1788,3447,2984,1866,3185,,0.380455,0.278159,0.496364,0.611607,0.659589,0.412689,0.857143,0.830893,0.805223,0.696721,0.861963,0.929836,0.572939,0.863702
0.018023,0.125289,1188,2046,1640,2248,2983,1857,2678,3110,2912,1788,3448,2985,1865,3185,,0.379507,0.278159,0.496364,0.612723,0.660274,0.413293,0.857143,0.830893,0.805223,0.696721,0.862986,0.930492,0.571882,0.863702
0.018020,0.143309,1189,2046,1639,2249,2982,1857,2678,3110,2912,1788,3447,2984,1865,3185,,0.380455,0.278159,0.495455,0.613839,0.659589,0.413293,0.857143,0.830893,0.805223,0.696721,0.861963,0.929836,0.571882,0.863702
0.017978,0.161287,1189,2045,1639,2248,2982,1857,2678,3110,2912,1788,3447,2984,1864,3186,,0.380455,0.277179,0.495455,0.612723,0.659589,0.413293,0.857143,0.830893,0.805223,0.696721,0.861963,0.929836,0.570825,0.864419
