GloveManager recording started on 11/02/16 at 15:24:39

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.018004,0.018004,1091,2083,1270,2384,3273,2458,2402,3199,2866,1639,3422,3049,2213,2896,,0.130137,0.538835,0.766055,0.880383,0.925047,0.897690,0.697674,0.910420,0.302139,0.630355,0.898428,0.948770,0.813152,0.859956
0.017997,0.036000,1090,2084,1270,2383,3273,2458,2402,3199,2865,1639,3422,3047,2214,2895,,0.127854,0.541262,0.766055,0.878788,0.925047,0.897690,0.697674,0.910420,0.299465,0.630355,0.898428,0.946721,0.814196,0.858862
0.017980,0.053981,1090,2083,1269,2384,3272,2458,2402,3199,2865,1639,3422,3048,2214,2897,,0.127854,0.538835,0.761468,0.880383,0.924099,0.897690,0.697674,0.910420,0.299465,0.630355,0.898428,0.947746,0.814196,0.861050
0.018021,0.072002,1091,2083,1270,2384,3273,2458,2403,3199,2866,1640,3423,3048,2214,2897,,0.130137,0.538835,0.766055,0.880383,0.925047,0.897690,0.698898,0.910420,0.302139,0.631579,0.899637,0.947746,0.814196,0.861050
0.018100,0.090102,1090,2083,1270,2383,3273,2458,2402,3200,2866,1639,3422,3048,2214,2896,,0.127854,0.538835,0.766055,0.878788,0.925047,0.897690,0.697674,0.911335,0.302139,0.630355,0.898428,0.947746,0.814196,0.859956
0.017902,0.108004,1091,2083,1271,2384,3273,2458,2402,3199,2866,1639,3422,3048,2214,2896,,0.130137,0.538835,0.770642,0.880383,0.925047,0.897690,0.697674,0.910420,0.302139,0.630355,0.898428,0.947746,0.814196,0.859956
0.018002,0.126006,1091,2083,1270,2384,3273,2457,2403,3199,2866,1639,3422,3048,2215,2896,,0.130137,0.538835,0.766055,0.880383,0.925047,0.896590,0.698898,0.910420,0.302139,0.630355,0.898428,0.947746,0.815240,0.859956
0.017999,0.144005,1091,2082,1270,2383,3272,2457,2402,3200,2866,1639,3421,3048,2213,2896,,0.130137,0.536408,0.766055,0.878788,0.924099,0.896590,0.697674,0.911335,0.302139,0.630355,0.897219,0.947746,0.813152,0.859956
0.018000,0.162006,1091,2082,1270,2383,3272,2457,2402,3200,2866,1639,3421,3048,2213,2896,,0.130137,0.536408,0.766055,0.878788,0.924099,0.896590,0.697674,0.911335,0.302139,0.630355,0.897219,0.947746,0.813152,0.859956
