GloveManager recording started on 11/02/16 at 15:25:38

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017479,0.017479,1183,2117,1773,2101,2287,2335,1918,2118,2827,1140,2792,2852,1540,2170,,0.356347,0.612440,0.832298,0.429027,0.005602,0.762376,0.105263,0.000000,0.200528,0.019584,0.136638,0.746926,0.110647,0.065646
0.017998,0.035477,1183,2117,1773,2102,2287,2336,1918,2118,2828,1140,2793,2852,1540,2170,,0.356347,0.612440,0.832298,0.430622,0.005602,0.763476,0.105263,0.000000,0.203166,0.019584,0.137848,0.746926,0.110647,0.065646
0.017998,0.053475,1184,2116,1773,2102,2288,2335,1917,2118,2828,1140,2793,2852,1540,2169,,0.358575,0.610048,0.832298,0.430622,0.006536,0.762376,0.104039,0.000000,0.203166,0.019584,0.137848,0.746926,0.110647,0.064551
0.018002,0.071477,1183,2116,1773,2102,2287,2335,1917,2118,2829,1140,2792,2852,1540,2170,,0.356347,0.610048,0.832298,0.430622,0.005602,0.762376,0.104039,0.000000,0.205805,0.019584,0.136638,0.746926,0.110647,0.065646
0.017993,0.089469,1184,2116,1773,2102,2287,2334,1918,2118,2830,1139,2793,2852,1540,2170,,0.358575,0.610048,0.832298,0.430622,0.005602,0.761276,0.105263,0.000000,0.208443,0.018360,0.137848,0.746926,0.110647,0.065646
0.018015,0.107484,1183,2116,1772,2102,2287,2335,1918,2118,2829,1140,2793,2851,1539,2170,,0.356347,0.610048,0.831056,0.430622,0.005602,0.762376,0.105263,0.000000,0.205805,0.019584,0.137848,0.745902,0.109603,0.065646
0.017995,0.125479,1183,2116,1772,2102,2287,2335,1918,2118,2829,1140,2793,2851,1539,2170,,0.356347,0.610048,0.831056,0.430622,0.005602,0.762376,0.105263,0.000000,0.205805,0.019584,0.137848,0.745902,0.109603,0.065646
0.018003,0.143483,1184,2116,1772,2102,2287,2335,1918,2118,2830,1141,2793,2851,1540,2169,,0.358575,0.610048,0.831056,0.430622,0.005602,0.762376,0.105263,0.000847,0.208443,0.020808,0.137848,0.745902,0.110647,0.064551
0.017978,0.161461,1184,2116,1773,2102,2286,2335,1918,2118,2829,1140,2793,2852,1540,2169,,0.358575,0.610048,0.832298,0.430622,0.004669,0.762376,0.105263,0.000847,0.205805,0.019584,0.137848,0.746926,0.110647,0.064551
0.018009,0.179470,1184,2117,1772,2102,2287,2335,1918,2118,2830,1139,2793,2852,1538,2169,,0.358575,0.612440,0.831056,0.430622,0.005602,0.762376,0.105263,0.000847,0.208443,0.018360,0.137848,0.746926,0.108559,0.064551
0.018016,0.197486,1184,2117,1773,2102,2287,2335,1918,2117,2830,1140,2793,2852,1540,2169,,0.358575,0.612440,0.832298,0.430622,0.005602,0.762376,0.105263,0.000000,0.208443,0.019584,0.137848,0.746926,0.110647,0.064551
0.018002,0.215487,1184,2117,1772,2101,2287,2335,1917,2116,2830,1140,2792,2851,1539,2169,,0.358575,0.612440,0.831056,0.429027,0.005602,0.762376,0.104039,0.000000,0.208443,0.019584,0.136638,0.745902,0.109603,0.064551
0.018005,0.233493,1185,2117,1772,2101,2286,2334,1918,2116,2830,1139,2792,2851,1539,2169,,0.360802,0.612440,0.831056,0.429027,0.004669,0.761276,0.105263,0.000000,0.208443,0.018360,0.136638,0.745902,0.109603,0.064551
0.017996,0.251489,1185,2117,1772,2100,2287,2334,1917,2116,2831,1140,2793,2851,1538,2168,,0.360802,0.612440,0.831056,0.427432,0.005602,0.761276,0.104039,0.000000,0.211082,0.019584,0.137848,0.745902,0.108559,0.063457
0.018001,0.269490,1184,2118,1771,2101,2287,2334,1916,2117,2832,1139,2793,2851,1538,2169,,0.358575,0.614833,0.829814,0.429027,0.005602,0.761276,0.102815,0.000847,0.213720,0.018360,0.137848,0.745902,0.108559,0.064551
0.018016,0.287507,1184,2118,1771,2101,2287,2334,1916,2117,2832,1139,2793,2851,1538,2169,,0.358575,0.614833,0.829814,0.429027,0.005602,0.761276,0.102815,0.000847,0.213720,0.018360,0.137848,0.745902,0.108559,0.064551
0.017990,0.305496,1186,2117,1772,2101,2287,2334,1917,2116,2832,1140,2793,2852,1537,2168,,0.363029,0.612440,0.831056,0.429027,0.005602,0.761276,0.104039,0.000000,0.213720,0.019584,0.137848,0.746926,0.107516,0.063457
0.017996,0.323492,1185,2117,1771,2100,2287,2334,1918,2116,2832,1140,2792,2851,1538,2168,,0.360802,0.612440,0.829814,0.427432,0.005602,0.761276,0.105263,0.000000,0.213720,0.019584,0.136638,0.745902,0.108559,0.063457
0.018001,0.341494,1184,2117,1771,2101,2287,2333,1918,2117,2832,1140,2792,2852,1538,2168,,0.358575,0.612440,0.829814,0.429027,0.005602,0.760176,0.105263,0.000847,0.213720,0.019584,0.136638,0.746926,0.108559,0.063457
0.017999,0.359492,1185,2117,1771,2100,2287,2334,1917,2116,2833,1140,2792,2851,1537,2168,,0.360802,0.612440,0.829814,0.427432,0.005602,0.761276,0.104039,0.000000,0.216359,0.019584,0.136638,0.745902,0.107516,0.063457
0.018005,0.377497,1185,2117,1772,2101,2286,2334,1917,2116,2833,1140,2792,2852,1537,2168,,0.360802,0.612440,0.831056,0.429027,0.004669,0.761276,0.104039,0.000000,0.216359,0.019584,0.136638,0.746926,0.107516,0.063457
0.018006,0.395503,1185,2117,1772,2101,2286,2334,1917,2116,2833,1140,2792,2852,1537,2168,,0.360802,0.612440,0.831056,0.429027,0.004669,0.761276,0.104039,0.000000,0.216359,0.019584,0.136638,0.746926,0.107516,0.063457
0.018010,0.413513,1185,2116,1771,2101,2287,2334,1918,2117,2834,1140,2792,2852,1538,2168,,0.360802,0.610048,0.829814,0.429027,0.005602,0.761276,0.105263,0.000847,0.218997,0.019584,0.136638,0.746926,0.108559,0.063457
0.017984,0.431497,1184,2117,1771,2101,2286,2334,1918,2117,2833,1140,2792,2852,1538,2168,,0.358575,0.612440,0.829814,0.429027,0.004669,0.761276,0.105263,0.000847,0.216359,0.019584,0.136638,0.746926,0.108559,0.063457
0.018002,0.449499,1184,2117,1772,2100,2287,2334,1918,2116,2834,1140,2792,2852,1536,2168,,0.358575,0.612440,0.831056,0.427432,0.005602,0.761276,0.105263,0.000000,0.218997,0.019584,0.136638,0.746926,0.106472,0.063457
0.018001,0.467501,1185,2116,1771,2100,2287,2334,1917,2116,2834,1140,2793,2853,1537,2169,,0.360802,0.610048,0.829814,0.427432,0.005602,0.761276,0.104039,0.000000,0.218997,0.019584,0.137848,0.747951,0.107516,0.064551
