GloveManager recording started on 11/02/16 at 15:26:16

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017360,0.017360,1265,1893,1134,2207,2276,2437,2127,2752,2947,1193,3150,2941,1600,2597,,0.538975,0.078759,0.066345,0.598086,0.000929,0.874587,0.362637,0.547342,0.517150,0.098795,0.569528,0.838115,0.173278,0.532823
0.018001,0.035361,1266,1894,1134,2207,2276,2436,2127,2752,2947,1194,3150,2940,1600,2597,,0.541203,0.081146,0.066345,0.598086,0.000929,0.873487,0.362637,0.547342,0.517150,0.100000,0.569528,0.837090,0.173278,0.532823
0.017999,0.053360,1266,1893,1135,2208,2276,2437,2127,2753,2947,1194,3151,2940,1600,2596,,0.541203,0.078759,0.067551,0.599681,0.000929,0.874587,0.362637,0.548173,0.517150,0.100000,0.570738,0.837090,0.173278,0.531729
0.017980,0.071339,1266,1893,1134,2208,2276,2437,2126,2752,2946,1194,3150,2940,1600,2597,,0.541203,0.078759,0.066345,0.599681,0.000929,0.874587,0.361416,0.547342,0.514512,0.100000,0.569528,0.837090,0.173278,0.532823
0.018021,0.089361,1265,1893,1134,2209,2276,2437,2127,2753,2947,1194,3150,2941,1600,2597,,0.538975,0.078759,0.066345,0.601276,0.000929,0.874587,0.362637,0.548173,0.517150,0.100000,0.569528,0.838115,0.173278,0.532823
0.018004,0.107365,1266,1893,1134,2209,2276,2437,2126,2752,2947,1194,3150,2940,1601,2597,,0.541203,0.078759,0.066345,0.601276,0.000929,0.874587,0.361416,0.547342,0.517150,0.100000,0.569528,0.837090,0.174322,0.532823
0.017999,0.125363,1266,1893,1134,2209,2275,2437,2126,2751,2947,1194,3149,2939,1600,2596,,0.541203,0.078759,0.066345,0.601276,0.000000,0.874587,0.361416,0.546512,0.517150,0.100000,0.568319,0.836066,0.173278,0.531729
0.017980,0.143343,1266,1894,1134,2210,2275,2437,2127,2752,2947,1194,3151,2940,1600,2597,,0.541203,0.081146,0.066345,0.602871,0.000000,0.874587,0.362637,0.547342,0.517150,0.100000,0.570738,0.837090,0.173278,0.532823
0.018024,0.161367,1266,1895,1133,2211,2275,2437,2126,2752,2948,1194,3151,2940,1600,2596,,0.541203,0.083532,0.065139,0.604466,0.000000,0.874587,0.361416,0.547342,0.519789,0.100000,0.570738,0.837090,0.173278,0.531729
