GloveManager recording started on 11/02/16 at 15:26:36

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017674,0.017674,1651,2597,1308,2272,3061,2385,2319,2854,3040,1341,3303,2969,1679,2686,,0.963190,0.936468,0.276236,0.701754,0.731054,0.817382,0.597070,0.632060,0.762533,0.277108,0.754534,0.866803,0.255741,0.630197
0.018001,0.035675,1652,2597,1309,2272,3062,2386,2320,2855,3040,1342,3304,2969,1678,2686,,0.964724,0.936468,0.277443,0.701754,0.731978,0.818482,0.598291,0.632890,0.762533,0.278313,0.755744,0.866803,0.254697,0.630197
0.018001,0.053676,1652,2597,1309,2272,3062,2386,2320,2855,3040,1342,3304,2969,1678,2686,,0.964724,0.936468,0.277443,0.701754,0.731978,0.818482,0.598291,0.632890,0.762533,0.278313,0.755744,0.866803,0.254697,0.630197
0.018006,0.071682,1652,2596,1308,2271,3062,2386,2320,2854,3040,1342,3303,2969,1679,2686,,0.964724,0.935197,0.276236,0.700159,0.731978,0.818482,0.598291,0.632060,0.762533,0.278313,0.754534,0.866803,0.255741,0.630197
0.018000,0.089682,1652,2596,1308,2272,3061,2386,2320,2854,3040,1342,3304,2969,1679,2685,,0.964724,0.935197,0.276236,0.701754,0.731054,0.818482,0.598291,0.632060,0.762533,0.278313,0.755744,0.866803,0.255741,0.629103
0.018001,0.107683,1652,2595,1308,2271,3061,2386,2320,2854,3040,1342,3303,2969,1679,2686,,0.964724,0.933926,0.276236,0.700159,0.731054,0.818482,0.598291,0.632060,0.762533,0.278313,0.754534,0.866803,0.255741,0.630197
0.018001,0.125684,1651,2595,1308,2272,3062,2386,2320,2855,3041,1342,3304,2968,1679,2685,,0.963190,0.933926,0.276236,0.701754,0.731978,0.818482,0.598291,0.632890,0.765172,0.278313,0.755744,0.865779,0.255741,0.629103
0.018000,0.143684,1651,2594,1308,2272,3062,2386,2320,2854,3040,1343,3304,2969,1680,2686,,0.963190,0.932656,0.276236,0.701754,0.731978,0.818482,0.598291,0.632060,0.762533,0.279518,0.755744,0.866803,0.256785,0.630197
0.018000,0.161684,1651,2595,1308,2272,3061,2385,2320,2854,3040,1341,3303,2968,1679,2686,,0.963190,0.933926,0.276236,0.701754,0.731054,0.817382,0.598291,0.632060,0.762533,0.277108,0.754534,0.865779,0.255741,0.630197
