GloveManager recording started on 11/02/16 at 15:26:50

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017254,0.017254,1269,1914,1168,2203,2970,2284,2007,2122,3033,1159,2835,2914,1499,2188,,0.377301,0.068615,0.107358,0.591707,0.646950,0.758152,0.216117,0.024086,0.723077,0.057831,0.188634,0.810451,0.067850,0.085339
0.017998,0.035252,1269,1914,1168,2202,2971,2284,2007,2122,3032,1158,2835,2914,1499,2188,,0.377301,0.068615,0.107358,0.590112,0.647874,0.758152,0.216117,0.024086,0.720513,0.056627,0.188634,0.810451,0.067850,0.085339
0.018004,0.053256,1269,1915,1169,2200,2971,2284,2006,2122,3031,1158,2834,2914,1499,2187,,0.377301,0.069886,0.108565,0.586922,0.647874,0.758152,0.214896,0.024086,0.717949,0.056627,0.187424,0.810451,0.067850,0.084245
0.018121,0.071376,1269,1914,1168,2195,2971,2285,2008,2123,3028,1157,2834,2913,1499,2188,,0.377301,0.068615,0.107358,0.578947,0.647874,0.759058,0.217338,0.024917,0.710256,0.055422,0.187424,0.809426,0.067850,0.085339
0.017878,0.089254,1269,1914,1168,2195,2971,2285,2008,2123,3028,1157,2834,2913,1499,2188,,0.377301,0.068615,0.107358,0.578947,0.647874,0.759058,0.217338,0.024917,0.710256,0.055422,0.187424,0.809426,0.067850,0.085339
0.018004,0.107258,1271,1915,1168,2192,2970,2288,2009,2123,3026,1157,2834,2911,1499,2189,,0.380368,0.069886,0.107358,0.574163,0.646950,0.761775,0.218559,0.024917,0.705128,0.055422,0.187424,0.807377,0.067850,0.086433
0.018001,0.125260,1271,1915,1168,2192,2970,2288,2009,2123,3026,1157,2834,2911,1499,2189,,0.380368,0.069886,0.107358,0.574163,0.646950,0.761775,0.218559,0.024917,0.705128,0.055422,0.187424,0.807377,0.067850,0.086433
0.017998,0.143258,1272,1914,1169,2191,2970,2287,2011,2124,3025,1157,2835,2911,1499,2191,,0.381902,0.068615,0.108565,0.572568,0.646950,0.760870,0.221001,0.025748,0.702564,0.055422,0.188634,0.807377,0.067850,0.088621
0.018005,0.161263,1273,1915,1170,2191,2970,2287,2010,2123,3025,1157,2835,2912,1499,2190,,0.383436,0.069886,0.109771,0.572568,0.646950,0.760870,0.219780,0.024917,0.702564,0.055422,0.188634,0.808402,0.067850,0.087527
0.018000,0.179263,1272,1915,1168,2192,2970,2287,2010,2123,3025,1156,2835,2911,1498,2191,,0.381902,0.069886,0.107358,0.574163,0.646950,0.760870,0.219780,0.024917,0.702564,0.054217,0.188634,0.807377,0.066806,0.088621
0.017997,0.197260,1272,1914,1169,2193,2969,2287,2011,2121,3023,1157,2833,2910,1498,2190,,0.381902,0.068615,0.108565,0.575758,0.646026,0.760870,0.221001,0.023256,0.697436,0.055422,0.186215,0.806352,0.066806,0.087527
0.018022,0.215282,1272,1914,1169,2193,2969,2287,2011,2121,3023,1157,2833,2910,1498,2190,,0.381902,0.068615,0.108565,0.575758,0.646026,0.760870,0.221001,0.023256,0.697436,0.055422,0.186215,0.806352,0.066806,0.087527
0.018015,0.233298,1272,1914,1168,2192,2968,2287,2011,2123,3018,1158,2834,2911,1498,2190,,0.381902,0.068615,0.107358,0.574163,0.645102,0.760870,0.221001,0.024917,0.684615,0.056627,0.187424,0.807377,0.066806,0.087527
0.017994,0.251291,1272,1915,1169,2193,2969,2287,2011,2122,3018,1158,2833,2910,1499,2189,,0.381902,0.069886,0.108565,0.575758,0.646026,0.760870,0.221001,0.024086,0.684615,0.056627,0.186215,0.806352,0.067850,0.086433
0.018010,0.269302,1272,1914,1169,2193,2969,2288,2012,2122,3016,1157,2833,2910,1497,2189,,0.381902,0.068615,0.108565,0.575758,0.646026,0.761775,0.222222,0.024086,0.679487,0.055422,0.186215,0.806352,0.065762,0.086433
0.018001,0.287302,1272,1914,1169,2194,2969,2288,2012,2121,3017,1158,2833,2910,1498,2189,,0.381902,0.068615,0.108565,0.577352,0.646026,0.761775,0.222222,0.023256,0.682051,0.056627,0.186215,0.806352,0.066806,0.086433
0.017991,0.305293,1272,1915,1169,2194,2969,2288,2013,2121,3015,1157,2833,2910,1498,2189,,0.381902,0.069886,0.108565,0.577352,0.646026,0.761775,0.223443,0.023256,0.676923,0.055422,0.186215,0.806352,0.066806,0.086433
0.018002,0.323295,1272,1915,1169,2195,2969,2288,2013,2119,3014,1157,2832,2910,1497,2189,,0.381902,0.069886,0.108565,0.578947,0.646026,0.761775,0.223443,0.021595,0.674359,0.055422,0.185006,0.806352,0.065762,0.086433
0.018015,0.341311,1272,1915,1169,2197,2968,2287,2014,2120,3013,1158,2832,2910,1498,2190,,0.381902,0.069886,0.108565,0.582137,0.645102,0.760870,0.224664,0.022425,0.671795,0.056627,0.185006,0.806352,0.066806,0.087527
0.017996,0.359306,1272,1915,1169,2197,2968,2287,2014,2120,3013,1158,2832,2910,1498,2190,,0.381902,0.069886,0.108565,0.582137,0.645102,0.760870,0.224664,0.022425,0.671795,0.056627,0.185006,0.806352,0.066806,0.087527
0.018000,0.377306,1272,1914,1169,2198,2968,2286,2014,2120,3012,1157,2831,2909,1497,2189,,0.381902,0.068615,0.108565,0.583732,0.645102,0.759964,0.224664,0.022425,0.669231,0.055422,0.183797,0.805328,0.065762,0.086433
0.017994,0.395300,1272,1914,1169,2198,2968,2286,2014,2120,3012,1157,2831,2909,1497,2189,,0.381902,0.068615,0.108565,0.583732,0.645102,0.759964,0.224664,0.022425,0.669231,0.055422,0.183797,0.805328,0.065762,0.086433
0.018014,0.413314,1272,1913,1168,2199,2966,2284,2013,2120,3012,1157,2831,2909,1497,2189,,0.381902,0.067344,0.107358,0.585327,0.643253,0.758152,0.223443,0.022425,0.669231,0.055422,0.183797,0.805328,0.065762,0.086433
0.017998,0.431312,1273,1914,1168,2200,2965,2283,2013,2121,3012,1157,2831,2910,1498,2189,,0.383436,0.068615,0.107358,0.586922,0.642329,0.757246,0.223443,0.023256,0.669231,0.055422,0.183797,0.806352,0.066806,0.086433
0.018005,0.449317,1272,1914,1168,2200,2965,2284,2012,2121,3011,1158,2832,2910,1496,2188,,0.381902,0.068615,0.107358,0.586922,0.642329,0.758152,0.222222,0.023256,0.666667,0.056627,0.185006,0.806352,0.064718,0.085339
0.017994,0.467311,1272,1914,1168,2200,2965,2284,2012,2121,3011,1158,2832,2910,1496,2188,,0.381902,0.068615,0.107358,0.586922,0.642329,0.758152,0.222222,0.023256,0.666667,0.056627,0.185006,0.806352,0.064718,0.085339
0.018000,0.485312,1272,1913,1168,2199,2964,2283,2011,2121,3011,1157,2831,2909,1497,2188,,0.381902,0.067344,0.107358,0.585327,0.641405,0.757246,0.221001,0.023256,0.666667,0.055422,0.183797,0.805328,0.065762,0.085339
0.017993,0.503304,1272,1913,1168,2198,2964,2283,2010,2120,3012,1157,2831,2909,1495,2188,,0.381902,0.067344,0.107358,0.583732,0.641405,0.757246,0.219780,0.022425,0.669231,0.055422,0.183797,0.805328,0.063674,0.085339
0.017973,0.521277,1273,1913,1167,2199,2964,2283,2011,2120,3012,1157,2830,2910,1495,2188,,0.383436,0.067344,0.106152,0.585327,0.641405,0.757246,0.221001,0.022425,0.669231,0.055422,0.182588,0.806352,0.063674,0.085339
0.018031,0.539308,1273,1914,1167,2198,2964,2282,2010,2120,3011,1157,2831,2910,1496,2188,,0.383436,0.068615,0.106152,0.583732,0.641405,0.756341,0.219780,0.022425,0.666667,0.055422,0.183797,0.806352,0.064718,0.085339
0.017975,0.557283,1273,1914,1167,2198,2964,2282,2010,2120,3011,1157,2830,2910,1496,2186,,0.383436,0.068615,0.106152,0.583732,0.641405,0.756341,0.219780,0.022425,0.666667,0.055422,0.182588,0.806352,0.064718,0.083151
0.018027,0.575310,1272,1913,1167,2197,2963,2281,2009,2120,3011,1158,2830,2910,1494,2187,,0.381902,0.067344,0.106152,0.582137,0.640481,0.755435,0.218559,0.022425,0.666667,0.056627,0.182588,0.806352,0.062630,0.084245
0.018008,0.593318,1273,1914,1167,2198,2963,2281,2009,2119,3011,1157,2829,2911,1495,2186,,0.383436,0.068615,0.106152,0.583732,0.640481,0.755435,0.218559,0.021595,0.666667,0.055422,0.181378,0.807377,0.063674,0.083151
0.017992,0.611310,1273,1914,1167,2198,2963,2281,2009,2119,3011,1157,2829,2911,1495,2186,,0.383436,0.068615,0.106152,0.583732,0.640481,0.755435,0.218559,0.021595,0.666667,0.055422,0.181378,0.807377,0.063674,0.083151
0.018008,0.629318,1273,1913,1167,2196,2964,2281,2009,2119,3010,1158,2830,2910,1495,2185,,0.383436,0.067344,0.106152,0.580542,0.641405,0.755435,0.218559,0.021595,0.664103,0.056627,0.182588,0.806352,0.063674,0.082057
0.017993,0.647312,1273,1913,1168,2196,2964,2281,2009,2118,3011,1157,2829,2911,1494,2185,,0.383436,0.067344,0.107358,0.580542,0.641405,0.755435,0.218559,0.020764,0.666667,0.055422,0.181378,0.807377,0.062630,0.082057
0.017999,0.665310,1274,1913,1167,2196,2964,2281,2008,2118,3011,1157,2830,2910,1495,2184,,0.384969,0.067344,0.106152,0.580542,0.641405,0.755435,0.217338,0.020764,0.666667,0.055422,0.182588,0.806352,0.063674,0.080963
0.018012,0.683322,1273,1913,1168,2196,2964,2279,2008,2118,3011,1157,2829,2911,1495,2184,,0.383436,0.067344,0.107358,0.580542,0.641405,0.753623,0.217338,0.020764,0.666667,0.055422,0.181378,0.807377,0.063674,0.080963
0.017940,0.701263,1273,1913,1168,2196,2964,2279,2008,2118,3011,1157,2829,2911,1495,2184,,0.383436,0.067344,0.107358,0.580542,0.641405,0.753623,0.217338,0.020764,0.666667,0.055422,0.181378,0.807377,0.063674,0.080963
0.018025,0.719288,1273,1913,1168,2196,2964,2279,2009,2118,3011,1158,2829,2910,1495,2184,,0.383436,0.067344,0.107358,0.580542,0.641405,0.753623,0.218559,0.020764,0.666667,0.056627,0.181378,0.806352,0.063674,0.080963
0.018045,0.737332,1273,1912,1166,2196,2964,2279,2008,2117,3010,1158,2829,2911,1495,2183,,0.383436,0.066074,0.104946,0.580542,0.641405,0.753623,0.217338,0.019934,0.664103,0.056627,0.181378,0.807377,0.063674,0.079869
0.017996,0.755328,1273,1913,1167,2195,2963,2279,2009,2116,3011,1158,2829,2910,1495,2183,,0.383436,0.067344,0.106152,0.578947,0.640481,0.753623,0.218559,0.019103,0.666667,0.056627,0.181378,0.806352,0.063674,0.079869
0.017999,0.773326,1274,1913,1168,2195,2963,2277,2009,2116,3012,1158,2829,2910,1495,2182,,0.384969,0.067344,0.107358,0.578947,0.640481,0.751812,0.218559,0.019103,0.669231,0.056627,0.181378,0.806352,0.063674,0.078775
0.017993,0.791319,1274,1913,1167,2194,2963,2276,2008,2116,3011,1157,2828,2911,1496,2182,,0.384969,0.067344,0.106152,0.577352,0.640481,0.750906,0.217338,0.019103,0.666667,0.055422,0.180169,0.807377,0.064718,0.078775
0.018011,0.809331,1274,1913,1167,2194,2963,2276,2008,2116,3011,1157,2828,2911,1496,2182,,0.384969,0.067344,0.106152,0.577352,0.640481,0.750906,0.217338,0.019103,0.666667,0.055422,0.180169,0.807377,0.064718,0.078775
