GloveManager recording started on 11/02/16 at 15:27:09

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017564,0.017564,1104,1930,1340,2192,2388,2393,2347,3142,2860,1553,3390,3023,2079,2774,,0.124233,0.088945,0.314837,0.574163,0.109057,0.826923,0.631258,0.873881,0.279487,0.532530,0.859734,0.922131,0.673278,0.726477
0.018002,0.035566,1104,1931,1340,2191,2387,2393,2347,3142,2860,1554,3390,3022,2079,2775,,0.124233,0.090216,0.314837,0.572568,0.108133,0.826923,0.631258,0.873881,0.279487,0.533735,0.859734,0.921107,0.673278,0.727571
0.018005,0.053571,1105,1930,1340,2192,2387,2393,2347,3142,2860,1554,3391,3024,2080,2775,,0.125767,0.088945,0.314837,0.574163,0.108133,0.826923,0.631258,0.873881,0.279487,0.533735,0.860943,0.923156,0.674322,0.727571
0.017998,0.071569,1104,1931,1341,2192,2387,2393,2347,3141,2860,1554,3390,3023,2080,2774,,0.124233,0.090216,0.316043,0.574163,0.108133,0.826923,0.631258,0.873068,0.279487,0.533735,0.859734,0.922131,0.674322,0.726477
0.017997,0.089566,1105,1931,1340,2191,2387,2392,2347,3141,2859,1554,3390,3023,2079,2774,,0.125767,0.090216,0.314837,0.572568,0.108133,0.826049,0.631258,0.873068,0.276923,0.533735,0.859734,0.922131,0.673278,0.726477
0.017991,0.107556,1105,1931,1340,2192,2387,2393,2347,3142,2860,1554,3391,3023,2080,2775,,0.125767,0.090216,0.314837,0.574163,0.108133,0.826923,0.631258,0.873881,0.279487,0.533735,0.860943,0.922131,0.668058,0.727571
0.018014,0.125571,1104,1931,1340,2193,2387,2394,2347,3141,2859,1553,3391,3024,2080,2775,,0.124233,0.090216,0.314837,0.575758,0.108133,0.827797,0.631258,0.873068,0.276923,0.532530,0.860943,0.923156,0.674322,0.727571
0.018002,0.143573,1105,1931,1340,2192,2387,2394,2347,3141,2860,1554,3389,3023,2080,2775,,0.125767,0.090216,0.314837,0.574163,0.108133,0.827797,0.631258,0.873068,0.279487,0.533735,0.858525,0.922131,0.674322,0.727571
0.018010,0.161583,1105,1931,1340,2192,2387,2394,2347,3143,2860,1555,3391,3024,2080,2775,,0.125767,0.090216,0.314837,0.574163,0.108133,0.827797,0.631258,0.874695,0.279487,0.534940,0.860943,0.923156,0.674322,0.727571
0.017992,0.179574,1105,1931,1340,2193,2387,2394,2347,3142,2859,1554,3391,3024,2080,2775,,0.125767,0.090216,0.314837,0.575758,0.108133,0.827797,0.631258,0.873881,0.276923,0.533735,0.860943,0.923156,0.674322,0.727571
0.018002,0.197576,1105,1931,1340,2193,2387,2393,2347,3142,2859,1554,3390,3023,2079,2775,,0.125767,0.090216,0.314837,0.575758,0.108133,0.826923,0.631258,0.873881,0.276923,0.533735,0.859734,0.922131,0.673278,0.727571
0.017976,0.215552,1105,1931,1340,2192,2387,2394,2347,3142,2860,1554,3390,3023,2079,2775,,0.125767,0.090216,0.314837,0.574163,0.108133,0.827797,0.631258,0.873881,0.279487,0.533735,0.859734,0.922131,0.673278,0.727571
0.018035,0.233588,1105,1931,1341,2192,2387,2394,2347,3141,2860,1555,3390,3023,2079,2774,,0.125767,0.090216,0.316043,0.574163,0.108133,0.827797,0.631258,0.873068,0.279487,0.534940,0.859734,0.922131,0.673278,0.726477
0.017969,0.251556,1104,1931,1340,2192,2387,2394,2347,3141,2860,1554,3390,3022,2079,2776,,0.124233,0.090216,0.314837,0.574163,0.108133,0.827797,0.631258,0.873068,0.279487,0.533735,0.859734,0.921107,0.673278,0.728665
0.018021,0.269578,1104,1931,1340,2192,2387,2394,2347,3141,2860,1554,3390,3022,2079,2776,,0.124233,0.090216,0.314837,0.574163,0.108133,0.827797,0.631258,0.873068,0.279487,0.533735,0.859734,0.921107,0.673278,0.728665
0.018018,0.287595,1105,1930,1341,2192,2386,2394,2347,3142,2860,1555,3391,3023,2079,2775,,0.125767,0.088945,0.316043,0.574163,0.107209,0.827797,0.631258,0.873881,0.279487,0.534940,0.860943,0.922131,0.673278,0.727571
0.017986,0.305581,1105,1931,1340,2192,2387,2394,2348,3142,2859,1554,3391,3023,2079,2775,,0.125767,0.090216,0.314837,0.574163,0.108133,0.827797,0.632479,0.873881,0.276923,0.533735,0.860943,0.922131,0.673278,0.727571
0.018000,0.323581,1105,1930,1341,2192,2387,2394,2347,3141,2860,1555,3391,3024,2079,2775,,0.125767,0.088945,0.316043,0.574163,0.108133,0.827797,0.631258,0.873068,0.279487,0.534940,0.860943,0.923156,0.673278,0.727571
0.018008,0.341589,1104,1931,1340,2193,2386,2395,2347,3142,2859,1554,3390,3023,2079,2775,,0.124233,0.090216,0.314837,0.575758,0.107209,0.828671,0.631258,0.873881,0.276923,0.533735,0.859734,0.922131,0.673278,0.727571
0.017971,0.359561,1104,1930,1340,2192,2386,2395,2347,3142,2859,1554,3390,3023,2079,2775,,0.124233,0.088945,0.314837,0.574163,0.107209,0.828671,0.631258,0.873881,0.276923,0.533735,0.859734,0.922131,0.673278,0.727571
0.018019,0.377579,1104,1930,1340,2193,2387,2395,2348,3141,2860,1555,3391,3024,2079,2774,,0.124233,0.088945,0.314837,0.575758,0.108133,0.828671,0.632479,0.873068,0.279487,0.534940,0.860943,0.923156,0.673278,0.726477
0.018010,0.395590,1105,1931,1340,2193,2386,2395,2347,3142,2860,1554,3390,3024,2079,2775,,0.125767,0.090216,0.314837,0.575758,0.107209,0.828671,0.631258,0.873881,0.279487,0.533735,0.859734,0.923156,0.673278,0.727571
0.017993,0.413583,1105,1930,1340,2192,2386,2395,2347,3141,2860,1555,3391,3023,2080,2775,,0.125767,0.088945,0.314837,0.574163,0.107209,0.828671,0.631258,0.873068,0.279487,0.534940,0.860943,0.922131,0.674322,0.727571
0.017999,0.431582,1105,1930,1340,2192,2386,2394,2347,3142,2860,1554,3390,3024,2079,2775,,0.125767,0.088945,0.314837,0.574163,0.107209,0.827797,0.631258,0.873881,0.279487,0.533735,0.859734,0.923156,0.673278,0.727571
0.017981,0.449563,1105,1930,1340,2192,2386,2394,2347,3142,2860,1554,3390,3024,2079,2775,,0.125767,0.088945,0.314837,0.574163,0.107209,0.827797,0.631258,0.873881,0.279487,0.533735,0.859734,0.923156,0.673278,0.727571
0.018029,0.467592,1105,1931,1340,2192,2387,2395,2346,3141,2859,1553,3391,3023,2079,2774,,0.125767,0.090216,0.314837,0.574163,0.108133,0.828671,0.630037,0.873068,0.276923,0.532530,0.860943,0.922131,0.673278,0.726477
0.017998,0.485590,1105,1930,1340,2192,2386,2395,2347,3142,2859,1554,3390,3023,2079,2775,,0.125767,0.088945,0.314837,0.574163,0.107209,0.828671,0.631258,0.873881,0.276923,0.533735,0.859734,0.922131,0.673278,0.727571
0.018026,0.503616,1104,1931,1341,2193,2387,2395,2348,3142,2859,1554,3390,3023,2080,2775,,0.124233,0.090216,0.316043,0.575758,0.108133,0.828671,0.632479,0.873881,0.276923,0.533735,0.859734,0.922131,0.674322,0.727571
0.017981,0.521597,1105,1931,1340,2194,2387,2395,2347,3141,2860,1554,3390,3023,2079,2775,,0.125767,0.090216,0.314837,0.577352,0.108133,0.828671,0.631258,0.873068,0.279487,0.533735,0.859734,0.922131,0.673278,0.727571
0.017993,0.539589,1104,1931,1340,2193,2386,2395,2348,3142,2859,1555,3390,3023,2080,2775,,0.124233,0.090216,0.314837,0.575758,0.107209,0.828671,0.632479,0.873881,0.276923,0.534940,0.859734,0.922131,0.674322,0.727571
0.018007,0.557597,1104,1930,1340,2193,2387,2394,2349,3141,2860,1555,3391,3023,2079,2775,,0.124233,0.088945,0.314837,0.575758,0.108133,0.827797,0.633700,0.873068,0.279487,0.534940,0.860943,0.922131,0.673278,0.727571
0.018002,0.575598,1104,1930,1340,2193,2386,2394,2349,3142,2860,1554,3390,3023,2080,2775,,0.124233,0.088945,0.314837,0.575758,0.107209,0.827797,0.633700,0.873881,0.279487,0.533735,0.859734,0.922131,0.674322,0.727571
0.017994,0.593592,1104,1931,1340,2193,2386,2394,2349,3142,2859,1554,3391,3023,2079,2775,,0.124233,0.090216,0.314837,0.575758,0.107209,0.827797,0.633700,0.873881,0.276923,0.533735,0.860943,0.922131,0.673278,0.727571
0.018000,0.611592,1104,1931,1340,2193,2386,2394,2349,3142,2859,1554,3391,3023,2079,2775,,0.124233,0.090216,0.314837,0.575758,0.107209,0.827797,0.633700,0.873881,0.276923,0.533735,0.860943,0.922131,0.673278,0.727571
