GloveManager recording started on 11/02/16 at 15:27:30

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017612,0.017612,1120,1913,1494,2135,2279,2334,2111,2185,2952,1561,3438,3049,2081,2818,,0.148773,0.067344,0.500603,0.483254,0.008318,0.775350,0.343101,0.095199,0.515385,0.542169,0.917775,0.948770,0.675365,0.774617
0.018008,0.035621,1120,1912,1493,2134,2278,2334,2110,2185,2954,1561,3438,3048,2080,2818,,0.148773,0.066074,0.499397,0.481659,0.007394,0.775350,0.341880,0.095199,0.520513,0.542169,0.917775,0.947746,0.674322,0.774617
0.017991,0.053612,1121,1913,1494,2135,2279,2334,2111,2186,2954,1561,3438,3048,2082,2818,,0.150307,0.067344,0.500603,0.483254,0.008318,0.775350,0.343101,0.096013,0.520513,0.542169,0.917775,0.947746,0.676409,0.774617
0.018009,0.071621,1121,1912,1494,2135,2278,2333,2110,2186,2952,1561,3438,3049,2088,2818,,0.150307,0.066074,0.500603,0.483254,0.007394,0.774476,0.341880,0.096013,0.515385,0.542169,0.917775,0.948770,0.682672,0.774617
0.017992,0.089612,1120,1913,1493,2135,2278,2334,2110,2185,2954,1561,3437,3049,2081,2817,,0.148773,0.067344,0.499397,0.483254,0.007394,0.775350,0.341880,0.095199,0.520513,0.542169,0.916566,0.948770,0.675365,0.773523
0.018011,0.107624,1121,1912,1493,2135,2279,2333,2110,2185,2953,1561,3437,3048,2080,2817,,0.150307,0.066074,0.499397,0.483254,0.008318,0.774476,0.341880,0.095199,0.517949,0.542169,0.916566,0.947746,0.674322,0.773523
0.018003,0.125627,1120,1912,1493,2135,2279,2333,2111,2185,2953,1562,3438,3048,2080,2818,,0.148773,0.066074,0.499397,0.483254,0.008318,0.774476,0.343101,0.095199,0.517949,0.543373,0.917775,0.947746,0.674322,0.774617
0.018003,0.143630,1120,1913,1494,2135,2279,2334,2110,2185,2953,1561,3438,3049,2080,2817,,0.148773,0.067344,0.500603,0.483254,0.008318,0.775350,0.341880,0.095199,0.517949,0.542169,0.917775,0.948770,0.674322,0.773523
0.017990,0.161620,1120,1913,1493,2134,2278,2333,2109,2185,2953,1561,3438,3049,2079,2817,,0.148773,0.067344,0.499397,0.481659,0.007394,0.774476,0.340659,0.095199,0.517949,0.542169,0.917775,0.948770,0.673278,0.773523
