GloveManager recording started on 11/02/16 at 15:33:40

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017242,0.017242,1290,2148,1180,2413,3557,2499,2487,3194,3080,1701,3279,2304,1758,2062,,0.409509,0.395884,0.135392,0.825284,0.993056,0.919580,0.635397,0.916192,0.734375,0.550373,0.725514,0.285714,0.313043,0.012320
0.017974,0.035216,1290,2148,1180,2413,3557,2499,2486,3196,3080,1702,3279,2304,1758,2061,,0.409509,0.395884,0.135392,0.825284,0.993056,0.919580,0.634429,0.917819,0.734375,0.551306,0.725514,0.285714,0.313043,0.011294
0.018024,0.053240,1291,2148,1180,2412,3558,2499,2486,3196,3080,1701,3278,2304,1757,2062,,0.411043,0.395884,0.135392,0.823864,0.993827,0.919580,0.634429,0.917819,0.734375,0.550373,0.724305,0.285714,0.312077,0.012320
0.018016,0.071256,1291,2148,1180,2412,3558,2499,2486,3196,3080,1701,3278,2304,1757,2062,,0.411043,0.395884,0.135392,0.823864,0.993827,0.919580,0.634429,0.917819,0.734375,0.550373,0.724305,0.285714,0.312077,0.012320
0.017986,0.089243,1289,2147,1179,2411,3558,2499,2486,3195,3080,1701,3279,2305,1757,2061,,0.407975,0.394673,0.134204,0.822443,0.993827,0.919580,0.634429,0.917006,0.734375,0.550373,0.725514,0.286613,0.312077,0.011294
0.017998,0.107241,1289,2147,1179,2412,3558,2500,2486,3195,3080,1700,3278,2305,1757,2062,,0.407975,0.394673,0.134204,0.823864,0.993827,0.920455,0.634429,0.917006,0.734375,0.549440,0.724305,0.286613,0.312077,0.012320
0.018000,0.125241,1290,2147,1180,2412,3558,2498,2486,3196,3081,1700,3279,2306,1757,2061,,0.409509,0.394673,0.135392,0.823864,0.993827,0.918706,0.634429,0.917819,0.736607,0.549440,0.725514,0.287511,0.312077,0.011294
0.018005,0.143246,1290,2147,1180,2413,3558,2499,2486,3195,3080,1702,3279,2307,1758,2061,,0.409509,0.394673,0.135392,0.825284,0.993827,0.919580,0.634429,0.917006,0.734375,0.551306,0.725514,0.288410,0.313043,0.011294
0.018012,0.161258,1290,2147,1179,2412,3557,2499,2486,3196,3080,1701,3279,2307,1757,2061,,0.409509,0.394673,0.134204,0.823864,0.993056,0.919580,0.634429,0.917819,0.734375,0.550373,0.725514,0.288410,0.312077,0.011294
0.017990,0.179248,1290,2148,1179,2412,3558,2498,2485,3196,3080,1701,3279,2307,1757,2061,,0.409509,0.395884,0.134204,0.823864,0.993827,0.918706,0.633462,0.917819,0.734375,0.550373,0.725514,0.288410,0.312077,0.011294
0.017998,0.197245,1290,2148,1179,2412,3558,2498,2485,3196,3080,1701,3279,2307,1757,2061,,0.409509,0.395884,0.134204,0.823864,0.993827,0.918706,0.633462,0.917819,0.734375,0.550373,0.725514,0.288410,0.312077,0.011294
0.017981,0.215226,1289,2147,1180,2412,3557,2499,2486,3195,3080,1701,3280,2307,1756,2061,,0.407975,0.394673,0.135392,0.823864,0.993056,0.919580,0.634429,0.917006,0.734375,0.550373,0.726723,0.288410,0.311111,0.011294
0.018024,0.233250,1289,2147,1180,2413,3557,2498,2486,3196,3080,1700,3278,2307,1756,2062,,0.407975,0.394673,0.135392,0.825284,0.993056,0.918706,0.634429,0.917819,0.734375,0.549440,0.724305,0.288410,0.311111,0.012320
