GloveManager recording started on 11/02/16 at 15:33:52

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017270,0.017270,1093,1964,1561,2245,2369,1617,2464,2246,2753,1756,3441,3055,2048,2943,,0.107362,0.173123,0.587886,0.586648,0.076389,0.148601,0.613153,0.144833,0.109780,0.601679,0.908224,0.960467,0.593237,0.847249
0.018004,0.035274,1093,1963,1561,2245,2369,1617,2464,2246,2753,1756,3442,3054,2048,2943,,0.107362,0.171913,0.587886,0.586648,0.076389,0.148601,0.613153,0.144833,0.109780,0.601679,0.909416,0.959569,0.593237,0.847249
0.017977,0.053251,1094,1964,1560,2245,2369,1618,2464,2246,2753,1755,3442,3055,2048,2943,,0.108896,0.173123,0.586698,0.586648,0.076389,0.149476,0.613153,0.144833,0.109780,0.600746,0.909416,0.960467,0.593237,0.847249
0.018025,0.071276,1094,1964,1561,2246,2369,1619,2464,2247,2753,1756,3441,3055,2048,2943,,0.108896,0.173123,0.587886,0.588068,0.076389,0.150350,0.613153,0.145647,0.109780,0.601679,0.908224,0.960467,0.593237,0.847249
0.018004,0.089279,1094,1964,1561,2245,2369,1618,2464,2247,2752,1756,3442,3054,2048,2943,,0.108896,0.173123,0.587886,0.586648,0.076389,0.149476,0.613153,0.145647,0.107784,0.601679,0.909416,0.959569,0.593237,0.847249
0.017998,0.107278,1093,1964,1560,2245,2369,1618,2464,2247,2752,1755,3442,3055,2049,2943,,0.107362,0.173123,0.586698,0.586648,0.076389,0.149476,0.613153,0.145647,0.107784,0.600746,0.909416,0.960467,0.594203,0.847249
0.017978,0.125256,1093,1964,1560,2245,2368,1618,2464,2246,2753,1756,3442,3053,2048,2943,,0.107362,0.173123,0.586698,0.586648,0.075617,0.149476,0.613153,0.144833,0.109780,0.601679,0.909416,0.958670,0.593237,0.847249
0.018000,0.143256,1093,1963,1560,2245,2368,1618,2464,2245,2753,1755,3442,3054,2048,2943,,0.107362,0.171913,0.586698,0.586648,0.075617,0.149476,0.613153,0.144020,0.109780,0.600746,0.909416,0.959569,0.593237,0.847249
0.018024,0.161280,1093,1963,1560,2245,2368,1618,2464,2245,2753,1755,3442,3054,2048,2943,,0.107362,0.171913,0.586698,0.586648,0.075617,0.149476,0.613153,0.144020,0.109780,0.600746,0.909416,0.959569,0.593237,0.847249
0.018001,0.179282,1093,1963,1561,2246,2368,1619,2465,2244,2753,1755,3442,3055,2048,2943,,0.107362,0.171913,0.587886,0.588068,0.075617,0.150350,0.614120,0.143206,0.109780,0.600746,0.909416,0.960467,0.593237,0.847249
0.018000,0.197282,1094,1964,1560,2245,2368,1619,2465,2243,2753,1755,3442,3054,2048,2943,,0.108896,0.173123,0.586698,0.586648,0.075617,0.150350,0.614120,0.142392,0.109780,0.600746,0.909416,0.959569,0.593237,0.847249
0.018001,0.215283,1093,1964,1560,2245,2368,1619,2465,2243,2754,1755,3442,3055,2047,2943,,0.107362,0.173123,0.586698,0.586648,0.075617,0.150350,0.614120,0.142392,0.111776,0.600746,0.909416,0.960467,0.592271,0.847249
